"counter","r","version","value"
cpu-cycles,one,n.n,26891525
cpu-cycles,one,n.t,23999913
cpu-cycles,one,n.t.f,19767997
cpu-cycles,one,n.x,20087800
cpu-cycles,one,t.n,22461926
cpu-cycles,one,t.t,22913643
cpu-cycles,one,t.t.f,19689239
cpu-cycles,one,t.x,19603974
cpu-cycles,one,x.n,4729309
cpu-cycles,one,x.t,4683766
cpu-cycles,rep,n.n,11823954576
cpu-cycles,rep,n.t,11945924979
cpu-cycles,rep,n.t.f,19913975
cpu-cycles,rep,n.x,8112430415
cpu-cycles,rep,t.n,9623314488
cpu-cycles,rep,t.t,9655481563
cpu-cycles,rep,t.t.f,19909703
cpu-cycles,rep,t.x,6680766456
cpu-cycles,rep,x.n,2525022650
cpu-cycles,rep,x.t,2512789525
mem_load_retired.l3_miss,one,n.n,77051
mem_load_retired.l3_miss,one,n.t,89123
mem_load_retired.l3_miss,one,n.t.f,3077
mem_load_retired.l3_miss,one,n.x,2721
mem_load_retired.l3_miss,one,t.n,14299
mem_load_retired.l3_miss,one,t.t,12968
mem_load_retired.l3_miss,one,t.t.f,3931
mem_load_retired.l3_miss,one,t.x,4011
mem_load_retired.l3_miss,one,x.n,15020
mem_load_retired.l3_miss,one,x.t,12140
mem_load_retired.l3_miss,rep,n.n,80704935
mem_load_retired.l3_miss,rep,n.t,79908281
mem_load_retired.l3_miss,rep,n.t.f,3460
mem_load_retired.l3_miss,rep,n.x,11549
mem_load_retired.l3_miss,rep,t.n,3143826
mem_load_retired.l3_miss,rep,t.t,2952371
mem_load_retired.l3_miss,rep,t.t.f,4173
mem_load_retired.l3_miss,rep,t.x,9829
mem_load_retired.l3_miss,rep,x.n,24692
mem_load_retired.l3_miss,rep,x.t,13339
mem_load_retired.l3_hit,one,n.n,2365
mem_load_retired.l3_hit,one,n.t,2810
mem_load_retired.l3_hit,one,n.t.f,1736
mem_load_retired.l3_hit,one,n.x,1304
mem_load_retired.l3_hit,one,t.n,9769
mem_load_retired.l3_hit,one,t.t,12671
mem_load_retired.l3_hit,one,t.t.f,2134
mem_load_retired.l3_hit,one,t.x,2575
mem_load_retired.l3_hit,one,x.n,13369
mem_load_retired.l3_hit,one,x.t,18626
mem_load_retired.l3_hit,rep,n.n,221123
mem_load_retired.l3_hit,rep,n.t,221866
mem_load_retired.l3_hit,rep,n.t.f,2212
mem_load_retired.l3_hit,rep,n.x,4589
mem_load_retired.l3_hit,rep,t.n,13145505
mem_load_retired.l3_hit,rep,t.t,12850700
mem_load_retired.l3_hit,rep,t.t.f,2590
mem_load_retired.l3_hit,rep,t.x,195288
mem_load_retired.l3_hit,rep,x.n,15912931
mem_load_retired.l3_hit,rep,x.t,16547746
LLC-load-misses,one,n.n,92901
LLC-load-misses,one,n.t,82975
LLC-load-misses,one,n.t.f,3799
LLC-load-misses,one,n.x,3278
LLC-load-misses,one,t.n,16516
LLC-load-misses,one,t.t,12044
LLC-load-misses,one,t.t.f,4441
LLC-load-misses,one,t.x,4309
LLC-load-misses,one,x.n,13367
LLC-load-misses,one,x.t,14188
LLC-load-misses,rep,n.n,83189900
LLC-load-misses,rep,n.t,81305797
LLC-load-misses,rep,n.t.f,3741
LLC-load-misses,rep,n.x,13177
LLC-load-misses,rep,t.n,3327597
LLC-load-misses,rep,t.t,3321831
LLC-load-misses,rep,t.t.f,4485
LLC-load-misses,rep,t.x,13352
LLC-load-misses,rep,x.n,18883
LLC-load-misses,rep,x.t,14469
LLC-loads,one,n.n,97759
LLC-loads,one,n.t,81180
LLC-loads,one,n.t.f,6392
LLC-loads,one,n.x,5289
LLC-loads,one,t.n,28164
LLC-loads,one,t.t,28365
LLC-loads,one,t.t.f,7863
LLC-loads,one,t.x,7594
LLC-loads,one,x.n,28314
LLC-loads,one,x.t,18507
LLC-loads,rep,n.n,82554973
LLC-loads,rep,n.t,84825379
LLC-loads,rep,n.t.f,6238
LLC-loads,rep,n.x,24967
LLC-loads,rep,t.n,18285269
LLC-loads,rep,t.t,16743774
LLC-loads,rep,t.t.f,8073
LLC-loads,rep,t.x,253939
LLC-loads,rep,x.n,15278157
LLC-loads,rep,x.t,14245328
LLC-store-misses,one,n.n,13094
LLC-store-misses,one,n.t,12993
LLC-store-misses,one,n.t.f,12998
LLC-store-misses,one,n.x,12959
LLC-store-misses,one,t.n,18528
LLC-store-misses,one,t.t,17685
LLC-store-misses,one,t.t.f,17023
LLC-store-misses,one,t.x,17095
LLC-store-misses,one,x.n,155
LLC-store-misses,one,x.t,102
LLC-store-misses,rep,n.n,24822
LLC-store-misses,rep,n.t,24346
LLC-store-misses,rep,n.t.f,12703
LLC-store-misses,rep,n.x,20335
LLC-store-misses,rep,t.n,1279198
LLC-store-misses,rep,t.t,1252670
LLC-store-misses,rep,t.t.f,17842
LLC-store-misses,rep,t.x,1238124
