"size","overhead","temp","cyca","l3ra","l3ma","repsb"
16384,32,n,13671414418,1008648834,560985396,26
128,0,t,2184099573,16199,6292,52
3072,1,n,4811053380,1006634014,208589,83
65536,2,n,20918263797,1008782784,941712026,311
6144,1,t,5715462484,1008666776,40321131,132
4096,16,t,4806375578,1006797364,282218,21
3072,2,t,4828848647,1006634846,236579,113
3072,4,n,4807878402,1006634225,244953,61
128,1,t,2184209630,36818,7603,52
12288,4,n,11444780884,1008639650,395299889,132
1024,0,n,4810224078,1006633822,91371,91
6144,4,n,5503092579,1008614979,38984920,67
6144,16,t,5645654049,1008623047,47193073,24
4096,2,n,5100392163,1006799217,16705787,81
5120,0,t,6638712162,1008720843,95071569,151
12288,2,n,11582615910,1008629750,396467438,174
7168,16,t,6220585519,1008613281,77879029,26
1024,8,t,4805544283,1006634088,115079,41
2048,8,t,4806533984,1006634199,147704,41
3072,0,t,4828872976,1006635417,245288,115
4096,4,t,4827619613,1006797752,354977,76
16384,8,n,13967775415,1008650933,560706622,96
65536,0,t,22422865116,1016417692,1002755257,473
65536,4,t,21677869476,1015517054,988635409,319
5120,1,n,4835395043,1008615835,482283,83
2048,0,n,4812081054,1006633900,197125,91
3072,1,t,4829271371,1006635002,255114,114
128,32,n,2182104448,28008,4342,4
2048,0,t,4826043377,1006634639,176541,115
6144,32,t,7218086076,1008619584,146033744,22
7168,4,n,6299830853,1008599916,80919775,75
8192,8,n,7208864876,1008618655,138018370,50
6144,8,t,5474509265,1008626046,35189902,45
8192,0,t,7986663431,1008957237,167743370,177
4096,1,n,4817402790,1006799029,339854,83
8192,1,t,8217518774,1008992254,180425369,181
512,2,t,4821657817,1006631877,51083,113
4096,32,t,4804337577,1006799220,275001,15
5120,32,n,5487455958,1008616405,40474874,11
2048,8,n,4803535823,1006633839,232581,34
6144,2,t,7797601558,1008618545,160863729,172
5120,16,t,5038471025,1008616399,12387307,21
4096,1,t,4837234806,1006799333,277479,114
128,2,t,2200746942,4547249,5419,52
32768,32,t,17798815251,1009384540,823841258,54
5120,16,n,5044668502,1008615975,13803612,17
7168,16,n,6054198676,1008598352,71993337,20
128,1,n,2182161791,5537,3375,37
4096,8,n,4805176259,1006797155,256529,34
32768,2,t,20256639912,1010605013,881450929,422
16384,2,t,15845295579,1010845035,630492977,329
32768,8,t,18972204825,1015998468,846746734,153
4096,0,t,4912093042,1006800183,4074784,117
7168,0,t,6752272994,1008814024,98472665,153
12288,8,n,11298844031,1008630412,396335255,78
1024,16,n,4798070702,1006633833,97044,16
12288,32,n,11106189043,1008641319,396503884,21
8192,16,n,6931844727,1008616436,128320922,23
5120,0,n,4873678358,1008615754,2129045,92
16384,16,t,13929842453,1009071588,574334902,58
7168,1,t,6870383903,1008804830,107230639,155
16384,0,t,15935254237,1012273463,633060390,336
1024,2,n,4808821707,1006633884,128080,77
8192,32,n,7210840729,1008619586,141010413,14
3072,16,t,4802306288,1006634388,183671,21
5120,8,t,5108480987,1008621579,14648917,42
512,0,n,4809108573,1006631300,35959,91
1024,8,n,4800882457,1006633837,93574,34
512,16,n,4796957104,1006633189,33991,16
4096,4,n,5112636325,1006799522,17968365,64
7168,32,n,6099600842,1008597613,74272127,12
8192,1,n,7425329874,1008616247,144556634,122
128,0,n,2182132907,15958,4457,41
32768,0,n,18967040202,1008720253,813032590,334
32768,1,t,20290548006,1012510185,883856011,427
16384,1,t,15869908698,1011296186,631331252,334
3072,32,t,4801372210,1006634271,218290,15
12288,8,t,11722142052,1009376223,420853056,94
1024,4,t,4814632321,1006634358,147133,76
65536,8,t,21294082419,1021621002,978022163,171
32768,8,n,18116178471,1008710042,813174302,125
3072,16,n,4800063930,1006633951,221118,16
8192,0,n,7338520335,1008615080,138027610,132
32768,16,n,17695430595,1008720071,813576152,58
16384,0,n,14528652018,1008658359,562240719,257
32768,32,n,17602732226,1008735547,813389692,33
512,4,n,4644847556,943778911,35879,58
1024,0,t,4825340998,1006634213,146611,116
2048,1,n,4810546649,1006633852,184189,83
16384,1,n,14398978878,1008653409,560888420,234
5120,4,n,4827955812,1008616083,319675,61
5120,2,t,4936231215,1008617403,4548295,114
32768,2,n,18714939117,1008724216,813366448,278
6144,0,n,5414772318,1008614818,31919378,100
1024,32,t,4799208895,1006633884,107054,15
2048,4,t,4815672299,1006634356,177759,75
65536,4,n,20639651118,1008753533,941514729,235
12288,1,n,11645815436,1008650715,397842343,191
2048,32,n,4799689967,1006633867,178517,9
7168,0,n,6173080919,1008598026,70493681,113
65536,8,n,20235481062,1008750037,941669799,139
512,8,n,4799832366,1006632452,36556,34
512,2,n,4806970643,1006631289,34267,77
7168,4,t,6493474717,1008732025,91166356,99
8192,4,t,7709499413,1008853052,160943122,116
2048,4,n,4807614258,1006633920,232408,61
1024,16,t,4800705320,1006633950,108255,21
65536,0,n,21235440636,1008777615,941885510,374
2048,32,t,4800679662,1006634057,198971,15
1024,1,t,4823390316,1006634104,145162,115
2048,1,t,4827011232,1006634747,216667,113
12288,0,n,11660558589,1008626626,395711564,208
32768,4,n,18438551986,1008719220,812749843,211
12288,4,t,12258218860,1010307740,440435183,179
128,4,t,2183148904,7175,4265,34
32768,16,t,18103941385,1010482503,828577901,75
4096,0,n,5130965427,1006799325,18001140,96
128,4,n,2182123354,3415,2422,27
5120,8,n,6308912312,1008617004,80369690,44
4096,32,n,4803951177,1006800315,321845,9
7168,8,t,6464598004,1008660801,92632847,52
1024,4,n,4805387691,1006633816,101845,61
3072,8,t,4807626463,1006634534,205986,40
6144,0,t,5945941681,1008711768,56794038,137
6144,8,n,7697033495,1008616820,164591567,53
5120,1,t,5301649307,1008632851,21561247,124
5120,2,n,6373030246,1008617096,88565248,99
6144,16,n,5487596509,1008614782,39108503,18
12288,16,t,11314923327,1008802064,407920154,47
16384,16,n,13708237539,1008656646,560468370,45
512,16,t,4799257104,1006632668,29530,21
7168,2,n,6465736693,1008600183,90665958,99
16384,4,n,14179464462,1008645700,561502806,163
6144,4,t,7348296476,1008617699,142977007,112
512,0,t,4821978242,1006634072,9065,116
16384,8,t,14480513212,1010750699,589053026,116
4096,8,t,4923183330,1006799379,6486650,41
3072,4,t,4818043938,1006634663,196398,76
65536,32,n,19586550130,1008750578,941526712,37
32768,0,t,20415874852,1015290403,887891571,429
12288,0,t,13032105972,1010806498,464858091,277
65536,1,n,21028348881,1008771362,941593263,341
8192,16,t,7348095969,1008648857,149629231,30
2048,2,n,4809545608,1006633916,183927,77
3072,0,n,4812729543,1006634058,228664,91
512,1,n,4807832852,1006631317,35555,83
512,8,t,4803922572,1006632043,44055,41
7168,1,n,6448517601,1008598493,91302931,107
65536,16,n,19682666843,1008757627,941707167,64
8192,2,n,7263951412,1008618146,135937851,110
3072,32,n,4800858451,1006634109,244916,9
8192,2,t,8118898926,1008999804,173287989,177
128,8,t,2182783666,7472,5371,18
2048,2,t,4825987928,1006634649,170096,112
128,16,n,2181918916,34810,4181,7
