""size"",""overhead"",""temp"","cyca","l3ra","l3ma","repsb"
4096,10,t,2419596452,503401960,558043,19
7168,10,t,3136574682,504257231,38293275,24
2048,5,n,2404819686,503317349,204164,27
16384,10,n,7066236251,504322961,280680570,40
128,50,n,1091284144,5598,3110,1
1024,0,n,2406269334,503316990,103721,45
512,50,n,2398258663,503314764,44415,4
6144,50,t,4047342726,504314209,94349370,6
6144,50,n,2827548069,504307949,23006368,4
131072,5,t,10943283738,504489216,504466749,135
8192,50,t,3590067784,504312455,68952575,6
3072,50,n,2402098231,503317177,274883,4
1024,50,n,2399404075,503317028,107936,4
2048,10,n,2402956001,503317046,212651,15
131072,50,n,10132883035,504383744,500120556,15
131072,10,t,10714345815,505270612,505246494,80
7168,10,n,3069587217,504243167,35613091,18
12288,0,t,6589365785,504879155,231088607,139
2048,50,n,2400477427,503317029,177861,4
65536,5,n,10344767839,504377296,471532802,104
131072,5,n,10765447718,504392009,500207565,108
2048,0,t,2414998212,503317956,180505,57
1024,5,n,2402980191,503317172,95099,27
1024,5,t,2406227923,503317184,97784,31
6144,0,t,2983660479,504341574,27646911,68
3072,5,t,2409603742,503317800,238380,31
32768,5,t,9704681321,506019842,428151796,119
12288,5,n,5835157549,504319762,199418632,59
4096,5,n,2558984378,503397332,9168627,28
2048,0,n,2409078541,503317007,246836,45
8192,5,t,3921967774,504397846,82220532,49
3072,50,t,2404425681,503317262,348226,4
4096,50,n,2402537759,503395874,249213,4
4096,0,t,2422041403,503400338,336483,57
512,50,t,2397939609,503317004,8329,4
1024,0,t,2416194312,503319988,64100,57
3072,5,n,2406444950,503317218,298525,27
3072,0,t,2420641969,503320466,321064,57
5120,50,t,2992312893,504309066,33651032,5
128,50,t,1091190531,4498,2183,1
4096,0,n,2559833843,503397321,8635587,48
131072,50,t,10188085062,504582462,501575242,16
65536,10,n,10160871797,504387927,471004190,59
4096,5,t,2464871293,503398332,2694315,32
128,10,n,1091161064,23874,5157,6
128,5,t,1091702338,4815,3737,14
8192,10,n,3703936974,504311816,73385107,21
131072,0,n,11164881431,504389175,500486529,198
512,0,t,2411906588,503315002,48440,57
5120,10,n,2995588651,504308512,34432313,18
12288,0,n,5956882082,504315721,197942065,106
8192,0,n,3703423825,504310321,69139169,67
4096,10,n,2408756102,503396424,492270,15
512,5,t,2335287237,475801307,42606,30
65536,5,t,10751757311,506789974,490546864,133
1024,10,t,2403436058,503317102,110217,19
6144,10,n,3700086314,504308355,76147318,22
65536,0,t,11265937885,506197003,499205434,237
6144,5,t,2719678214,504317688,14960639,34
16384,0,n,7398513498,504332442,280862679,130
16384,10,t,7321983936,504926305,293598705,55
3072,0,n,2408748799,503317141,242750,45
6144,0,n,3872794314,504308520,80803365,70
32768,10,n,9158887453,504358327,406705239,53
16384,5,t,7552229871,505202406,301439660,92
7168,0,n,3191137011,504246092,40523608,58
131072,0,t,11316447949,506188559,506173316,239
128,5,n,1464938720,140890704,3405,16
5120,0,n,2532053246,504308067,6374563,47
65536,10,t,10475375183,507099230,484433337,78
2048,5,t,2408547680,503317973,222765,31
512,10,n,2399968956,503316536,39940,15
12288,50,t,5670946815,504333800,200177093,9
32768,10,t,9440751306,506039983,420470125,71
7168,50,n,3045792962,504243943,35435179,4
7168,5,t,3259083892,504273315,44546033,40
16384,0,t,8091844522,505257549,315959214,169
8192,10,t,3688072277,504345418,70750509,27
8192,5,n,3614223875,504309739,66898834,37
16384,50,t,6942400750,504357778,283264288,11
512,0,n,2405062711,503313674,42923,45
32768,50,n,8847429335,504353399,406907554,13
12288,10,t,5945950579,504568318,209608315,44
7168,5,n,3139176340,504241790,40095524,33
128,0,n,1091667478,36024,5717,20
32768,0,n,9625309269,504363689,407826914,170
7168,50,t,3046280280,504245058,36506921,5
2048,50,t,2400397278,503317129,144731,4
512,10,t,2401558086,503317021,8346,19
4096,50,t,2535994214,503399640,8431651,4
8192,0,t,4100667885,504446441,86779696,90
3072,10,t,2408666646,503318182,221912,19
65536,50,n,9762920836,504375389,471043435,15
16384,50,n,6897375788,504326872,280552331,10
131072,10,n,10577831677,504406258,500297777,61
12288,5,t,6163975388,504743976,217394555,75
7168,0,t,3481970354,504314111,52965500,78
32768,50,t,8901693608,504451490,409351110,14
128,0,t,1092368925,23702,6567,26
1024,10,n,2401513963,503316980,123059,15
5120,5,n,2553925279,504308270,7960139,28
5120,5,t,2525165601,504310706,5016970,32
32768,5,n,9285114848,504356450,406761368,93
512,5,n,2401868408,503315209,39693,27
65536,0,n,10700077595,504384590,470940800,189
8192,50,n,3547837413,504309035,66165031,5
32768,0,t,10305160675,505794415,442094688,216
2048,10,t,2404594278,503317718,170235,19
1024,50,t,2398164475,503317004,17047,4
65536,50,t,9835663012,504531489,473566738,16
6144,5,n,2726496522,504309168,15829681,29
3072,10,n,2591164735,503317170,11399255,16
5120,0,t,3160357218,504310252,40386575,72
12288,10,n,5751713676,504317135,198255585,33
12288,50,n,5646634454,504318713,198335653,8
5120,10,t,3127241526,504310182,41391918,24
128,10,t,1091879949,17712,2242,8
16384,5,n,7169704978,504331269,280587280,72
5120,50,n,2861918298,504308577,27775424,4
6144,10,t,3538416105,504309543,65045561,27
131072,5,n,10764118396,504389037,500176825,108
1024,50,t,2399700992,503317022,101064,4
131072,0,n,11164281771,504398532,500193438,198
2048,5,t,2408831461,503317667,218669,31
128,50,n,1091189555,9824,3800,1
2048,0,n,2408078212,503317031,210593,45
65536,0,n,10727625529,504372252,472113439,190
1024,0,n,2406237788,503317006,107584,45
131072,0,t,11282569861,504380281,504359875,239
7168,0,t,3446072027,504309117,50952841,77
12288,0,n,5946100251,504316488,197947261,106
8192,50,n,3534476447,504307486,65397920,5
512,5,t,2405039939,503315307,43032,31
32768,0,t,10308648048,505780922,442122989,216
7168,10,n,3120816119,504244629,38839942,18
4096,0,n,2410431455,503398575,288570,45
32768,10,n,9153062209,504355563,406796994,53
1024,0,t,2413844682,503317420,145896,57
8192,50,t,3598549920,504315042,68034861,6
1024,5,n,2403102456,503316972,103360,27
131072,10,n,10574662862,504386384,500152028,61
16384,10,t,7323916242,504943502,293648603,55
2048,50,n,2400040886,503317064,148699,4
16384,5,t,7550787077,505204588,301411436,92
2048,0,t,2419532287,503321097,257246,57
4096,0,t,2462936241,503398852,2185359,58
3072,10,n,2403982018,503318805,270692,15
32768,10,t,9440593664,505993418,420676854,70
131072,50,n,10179994760,504386845,503267726,15
6144,10,t,2835003504,504319768,21875554,22
3072,50,n,2401779398,503317258,256537,4
12288,5,t,6161011961,504749573,217155674,75
128,5,t,1091774187,8562,5805,14
5120,10,n,2566229302,504308561,6922058,15
12288,50,n,5647420687,504315438,198262435,8
6144,50,t,2827664001,504310751,22774343,5
7168,0,n,3237959199,504245996,43732032,59
32768,5,n,9295619454,504353180,407417626,93
512,10,n,2399870079,503313500,34608,15
3072,0,n,2409684341,503317224,295586,45
128,5,n,1091303198,13157,5725,12
6144,5,n,2823061914,504307593,22806779,30
16384,50,n,6900389666,504320152,280794760,10
7168,50,t,3035468649,504245555,35160559,5
512,50,n,2398268267,503311540,44916,4
128,0,n,1091306629,6797,6235,20
3072,10,t,2406306471,503317650,235312,19
128,10,n,1091247776,10986,4434,6
512,50,t,2397952212,503116960,36768,4
4096,50,n,2403662314,503397225,318918,4
3072,50,t,2401651004,503317200,215431,4
8192,0,t,4091498033,504441387,86797296,89
2048,50,t,2402899514,503317081,276502,4
512,0,t,2340859175,475798568,8480,55
8192,10,n,3642719330,504311950,69354490,21
65536,5,t,10747074884,506759928,490546508,133
128,10,t,1091581962,26478,4097,8
12288,10,t,5945913795,504560977,209245567,44
65536,0,t,11269922547,506241975,499278680,237
32768,0,n,9621801691,504356727,407549587,170
8192,0,n,3725613518,504311319,69543665,67
65536,5,n,10327631896,504368642,471263691,104
5120,0,t,2748005244,504313041,15659662,63
16384,50,t,6951558342,504358423,283367726,11
8192,10,t,3778658874,504351637,74645217,28
512,0,n,2404654131,503138658,48703,45
5120,5,t,2874904780,504309569,25913509,36
65536,50,n,9766879781,504384195,471032343,15
131072,10,t,10730874047,505727559,505694512,80
4096,10,t,2457128245,503398216,3064558,19
5120,5,n,2889951724,504308382,27578434,31
4096,5,t,2415123061,503399154,422575,31
128,0,t,1092382662,27388,5241,26
6144,5,t,2915643396,504326768,26775865,37
6144,0,n,3647279383,504308110,68224001,66
6144,0,t,2876624708,504326799,21252976,66
5120,50,n,2486637565,504308212,4507995,4
1024,5,t,2407023608,503317095,126356,31
12288,50,t,5673629255,504331930,199824727,9
131072,50,t,10177925592,504574961,501652251,16
8192,5,t,3900524294,504399066,80096013,48
8192,5,n,3672000102,504310003,69826986,37
3072,0,t,2417338440,503318015,237433,57
3072,5,t,2408973366,503318122,208707,31
16384,10,n,7076647531,504328712,280562001,41
4096,5,n,2550910827,503398101,8692666,28
6144,50,n,2757902794,504307510,19753984,4
65536,10,n,10163764094,504380620,471287844,59
2048,10,t,2406591285,503317487,286173,19
12288,5,n,5806644427,504321237,197621434,58
5120,50,t,2545321354,504308488,8425412,4
65536,50,t,9822163814,504528518,473363501,16
7168,5,t,3273378614,504281380,44580804,41
12288,10,n,5754083635,504316675,198317455,33
7168,10,t,3174725352,504262922,42159846,24
32768,5,t,9696486781,506032731,427992172,119
3072,5,n,2406478446,503317162,298838,27
5120,0,n,2683656004,504308234,14951029,50
131072,5,t,10974023494,506242644,506225131,136
