"size","overhead","temp","cyca","l3ra","l3ma","repsb"
16384,32,n,14044363499,1008647552,565936733,36
128,0,t,2184503633,13890,7367,51
3072,1,n,4811232389,1006634112,231105,80
65536,2,n,21128901884,1008754332,944672095,308
6144,1,t,22263197527,1008668612,955252718,459
4096,16,t,4805858486,1006800303,108731,24
3072,2,t,4826441522,1006635393,200277,110
3072,4,n,4806728026,1006634104,191035,59
128,1,t,2932823500,281852568,6543,68
12288,4,n,11672822221,1008641565,396209195,132
1024,0,n,4810418877,1006633856,107409,91
6144,4,n,5391075488,1008614931,30819525,65
6144,16,t,7661720404,1008617818,161571281,37
4096,2,n,4812986250,1006797275,301584,77
5120,0,t,5687741118,1008618623,43738215,131
12288,2,n,11796336722,1008637914,396959220,172
7168,16,t,6352708702,1008614613,84143854,31
1024,8,t,4805349115,1006634110,102622,41
2048,8,t,4805776944,1006634439,126085,41
3072,0,t,4825184762,1006634502,67368,114
4096,4,t,4863146961,1006798429,2372203,75
16384,8,n,14331729702,1008646851,562645136,98
65536,0,t,22570254590,1012404613,998743643,475
65536,4,t,21771637321,1012223149,984797381,316
5120,1,n,5887848320,1008616728,55906651,95
2048,0,n,4811813207,1006633902,187513,91
3072,1,t,4917133435,1006639352,4902207,114
128,32,n,2182363660,6258,4626,6
2048,0,t,4825699460,1006635218,207568,114
6144,32,t,8078344708,1008619313,189401015,25
7168,4,n,6205777956,1008603610,75618430,73
8192,8,n,7186201023,1008619503,134963057,49
6144,8,t,5472202646,1008628897,33202857,45
8192,0,t,8259915729,1008892607,178262169,181
4096,1,n,5160680965,1006799381,19931904,85
8192,1,t,8162517635,1008862319,173764761,177
512,2,t,4821067507,1006624328,52072,109
4096,32,t,4922833317,1006799117,7535781,15
5120,32,n,5054726252,1008616309,13610426,13
2048,8,n,4803577580,1006634036,238771,34
6144,2,t,5839366275,1008654475,47300851,128
5120,16,t,5123259132,1008618592,16414359,25
4096,1,t,4863932310,1006801193,1890166,113
128,2,t,2183726013,54846,5880,49
32768,32,t,18142058061,1009379916,824021306,55
5120,16,n,5085644111,1008616210,14211746,17
7168,16,n,6183879784,1008598967,74771012,20
128,1,n,2182597931,27423,5464,36
4096,8,n,4804814841,1006797080,239636,34
32768,2,t,20691999391,1010711477,880927269,415
16384,2,t,16145706828,1010162673,628113197,321
32768,8,t,19067236169,1011753294,842328606,153
