"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp"
"1","83",1,83,"9","9","tn"
"2","199",2,199,"10","10","nt"
"3","49",3,49,"15","10","nn"
"4","68",4,68,"10","5","nt"
"5","152",5,152,"11","8","nn"
"6","309",6,309,"8","5","nt"
"7","260",7,260,"9","6","tn"
"8","187",8,187,"13","9","tt"
"9","202",9,202,"12","6","tt"
"10","184",10,184,"11","5","tt"
"11","244",11,244,"17","8","nn"
"12","113",12,113,"17","4","nt"
"13","401",13,401,"16","13","nn"
"14","316",14,316,"12","10","nt"
"15","307",15,307,"7","4","nt"
"16","348",16,348,"11","8","nt"
"17","344",17,344,"17","6","tn"
"18","364",18,364,"9","6","tt"
"19","51",19,51,"11","8","tn"
"20","13",20,13,"8","5","tn"
"21","257",21,257,"15","12","tn"
"22","350",22,350,"16","4","tn"
"23","412",23,412,"15","15","tn"
"24","286",24,286,"15","4","nn"
"25","143",25,143,"12","4","nn"
"26","347",26,347,"5","4","nn"
"27","135",27,135,"14","5","tt"
"28","224",28,224,"14","4","tt"
"29","410",29,410,"16","6","tn"
"30","160",30,160,"11","7","tn"
"31","220",31,220,"12","8","tn"
"32","250",32,250,"10","9","tt"
"33","151",33,151,"13","5","tn"
"34","306",34,306,"14","5","tn"
"35","182",35,182,"15","11","nn"
"36","389",36,389,"11","6","nn"
"37","292",37,292,"16","12","tt"
"38","284",38,284,"15","13","nt"
"39","189",39,189,"10","4","nt"
"40","21",40,21,"17","11","nn"
"41","392",41,392,"12","4","tn"
"42","406",42,406,"14","13","tn"
"43","150",43,150,"14","11","nt"
"44","5",44,5,"16","11","nt"
"45","188",45,188,"16","6","nn"
"46","259",46,259,"13","10","tt"
"47","417",47,417,"6","5","tt"
"48","79",48,79,"17","5","nn"
"49","414",49,414,"10","4","nn"
"50","321",50,321,"16","15","tt"
"51","233",51,233,"9","7","tt"
"52","258",52,258,"14","9","nt"
"53","243",53,243,"9","7","nt"
"54","82",54,82,"14","12","nn"
"55","420",55,420,"14","8","tn"
"56","112",56,112,"17","13","tn"
"57","365",57,365,"8","7","tt"
"58","131",58,131,"16","6","tt"
"59","140",59,140,"14","13","nt"
"60","67",60,67,"14","12","tn"
"61","340",61,340,"15","4","nt"
"62","30",62,30,"13","10","nt"
"63","218",63,218,"17","13","tt"
"64","200",64,200,"7","5","nt"
"65","91",65,91,"13","11","nn"
"66","24",66,24,"15","8","nn"
"67","164",67,164,"8","6","tn"
"68","4",68,4,"12","8","nt"
"69","205",69,205,"13","12","nn"
"70","191",70,191,"9","8","nn"
"71","274",71,274,"17","4","tn"
"72","299",72,299,"15","4","tt"
"73","251",73,251,"14","5","nt"
"74","64",74,64,"8","4","nn"
"75","95",75,95,"8","6","nn"
"76","122",76,122,"14","5","nn"
"77","399",77,399,"8","8","tn"
"78","300",78,300,"16","5","tt"
"79","158",79,158,"14","14","tt"
"80","382",80,382,"8","5","nn"
"81","168",81,168,"13","8","nn"
"82","228",82,228,"16","5","nt"
"83","287",83,287,"10","8","nn"
"84","54",84,54,"12","10","tn"
"85","197",85,197,"13","13","nt"
"86","381",86,381,"13","8","tt"
"87","329",87,329,"10","5","nn"
"88","178",88,178,"15","15","nt"
"89","295",89,295,"9","9","tt"
"90","170",90,170,"12","7","tt"
"91","325",91,325,"9","5","nt"
"92","357",92,357,"15","5","tt"
"93","27",93,27,"17","15","nt"
"94","115",94,115,"12","7","tn"
"95","31",95,31,"17","7","tn"
"96","367",96,367,"6","4","tt"
"97","291",97,291,"17","9","tn"
"98","176",98,176,"10","7","nt"
"99","372",99,372,"15","5","nn"
"100","368",100,368,"17","6","nt"
"101","194",101,194,"13","5","nt"
"102","119",102,119,"7","5","tn"
"103","276",103,276,"12","8","nn"
"104","375",104,375,"17","5","tt"
"105","264",105,264,"16","7","nt"
"106","39",106,39,"11","10","tn"
"107","163",107,163,"16","6","nt"
"108","11",108,11,"11","9","tn"
"109","169",109,169,"16","13","tn"
"110","322",110,322,"15","10","tt"
"111","330",111,330,"7","5","nn"
"112","172",112,172,"17","11","tt"
"113","148",113,148,"12","8","tt"
"114","413",114,413,"17","17","tt"
"115","23",115,23,"13","7","nn"
"116","216",116,216,"8","7","tn"
"117","35",117,35,"17","14","tn"
"118","28",118,28,"13","12","tt"
"119","235",119,235,"8","4","nt"
"120","222",120,222,"11","11","nt"
"121","59",121,59,"6","6","tt"
"122","96",122,96,"9","5","nn"
"123","339",123,339,"12","6","nn"
"124","319",124,319,"14","14","nn"
"125","262",125,262,"13","10","nn"
"126","229",126,229,"15","14","nn"
"127","162",127,162,"15","7","tn"
"128","25",128,25,"16","15","nt"
"129","81",129,81,"17","12","nn"
