"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","575",1,575,"8","7","nt",".2"
"2","1554",2,1554,"13","10","nt",".4"
"3","162",3,162,"15","7","tn",".1"
"4","1900",4,1900,"17","7","nn",".5"
"5","1038",5,1038,"14","6","tn",".3"
"6","2071",6,2071,"11","6","nt",".5"
"7","494",7,494,"16","4","tn",".2"
"8","1094",8,1094,"8","8","nn",".3"
"9","838",9,838,"16","12","nt",".2"
"10","976",10,976,"17","9","tn",".3"
"11","551",11,551,"17","9","nt",".2"
"12","1317",12,1317,"12","6","nn",".4"
"13","631",13,631,"12","5","tn",".2"
"14","1171",14,1171,"16","7","nt",".3"
"15","997",15,997,"14","5","tn",".3"
"16","1979",16,1979,"14","14","nn",".5"
"17","1418",17,1418,"12","4","tn",".4"
"18","19",18,19,"9","7","tn",".1"
"19","2081",19,2081,"10","5","nn",".5"
"20","1365",20,1365,"7","7","nt",".4"
"21","1341",21,1341,"16","4","nt",".4"
"22","1138",22,1138,"16","8","nt",".3"
"23","461",23,461,"14","7","nt",".2"
"24","619",24,619,"14","5","nn",".2"
"25","66",25,66,"13","5","nn",".1"
"26","1533",26,1533,"12","12","tt",".4"
"27","697",27,697,"10","9","tn",".2"
"28","1135",28,1135,"7","7","tt",".3"
"29","1395",29,1395,"16","4","tn",".4"
"30","777",30,777,"17","8","tt",".2"
"31","757",31,757,"11","10","tn",".2"
"32","1075",32,1075,"13","10","tn",".3"
"33","1153",33,1153,"17","10","nn",".3"
"34","1762",34,1762,"11","6","tn",".5"
"35","168",35,168,"13","8","nn",".1"
"36","1750",36,1750,"6","5","tn",".5"
"37","485",37,485,"12","4","tn",".2"
"38","699",38,699,"10","10","nt",".2"
"39","587",39,587,"17","8","tn",".2"
"40","2014",40,2014,"17","12","nn",".5"
"41","1921",41,1921,"16","16","nn",".5"
"42","1912",42,1912,"13","5","nn",".5"
"43","2008",43,2008,"9","9","nt",".5"
