"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
524288,3072,tt,5026583208,252193873,252188950,5014324534,1031262707,108498
12288,7168,nn,12808915506,535,50,16311407113,437,4
32768,2048,nt,7429348235,3151,2101,5075534248,1047364623,192331
8192,3072,nt,14752710467,947,714,5005293328,1031262848,573053
6144,6144,nt,19155775571,116556,116084,5626908097,740309165,103412286
262144,12288,tt,5740761845,252173259,252161699,7931054421,457048745,334229256
262144,4096,tt,5081011527,252208097,252202185,5087482375,1023256432,5156455
131072,8192,nt,6570028472,326109,283944,4176268953,577198786,71894561
524288,524288,tn,5628949517,252195972,252186575,6671003037,523861,496304
5120,2048,tn,4837765956,913894257,25218372,27263847784,366,172
5120,4096,nn,24122210176,483,91,26929450429,603,249
65536,12288,tn,5455814512,252194508,235518396,11955465673,344106,343817
6144,2048,tn,5599747414,740308965,112243679,27424801168,287,66
65536,4096,tt,5140343395,252233673,248485120,5154397054,1023274304,12497940
262144,5120,nn,6619170311,485787,17125,23352528605,585,68
32768,8192,nn,7611231501,1799,170,14844263675,930,551
8192,2048,nn,15254409447,757,390,27454567179,244,26
524288,16384,tt,5704552939,253657998,253653561,5886016915,373448070,234968095
262144,5120,tn,5678039258,252195924,252186474,23781201610,196563,196164
131072,131072,nn,6615759562,119033,8310,6614327492,82312,338
7168,7168,nn,16209836361,1161,848,16204522777,951,628
32768,7168,nn,7616916205,5620,4610,15193772021,760,354
524288,6144,tn,5620552431,252195498,252188952,19313959558,216334,215660
12288,8192,tt,7436101343,457373277,309548801,4948064029,577454463,108207195
8192,5120,tn,4274236147,577196193,81738311,23649371813,229029,227973
262144,6144,nt,6674368127,483587,151076,6308028055,740309521,145527895
8192,7168,nt,14906256822,78830,78054,3866904747,591002297,52579540
524288,8192,tn,5628756114,252186034,252179092,15089364187,281455,280516
262144,8192,nn,6637084168,481377,11486,14802905815,651,282
4096,3072,tn,4897712318,1023249782,484921,26930454751,446,72
8192,3072,nn,15873320545,549,153,27851342657,420,149
12288,6144,tt,6944132860,457165519,294080354,4472070766,740359353,38743999
