"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
8192,3072,tn,4242277985,577198078,80341413,27173939947,5915,5558
8192,5120,tn,8422045247,577204713,309191500,23947358542,383770,381973
524288,4096,tt,5007256616,252166830,252156650,4989577024,1023260399,144768
8192,2048,nt,14842553692,5350,5062,5072848274,1047364721,37756
262144,32768,tn,5603801293,252166341,252158078,7777325571,395661,393728
32768,32768,nt,7713503214,365197,364393,5551837072,290536227,235655916
524288,8192,nt,6733160435,483777,376145,8224829182,577200926,304710939
524288,8192,tt,5229131549,252360952,252356407,4089459176,577279462,70034164
131072,6144,nt,6690328657,186799,129823,6294741715,740309817,143890411
262144,4096,tt,5150015587,252164798,252154950,5954380244,1023267973,53294273
524288,16384,nt,6663996919,505072,431594,5497951722,371678565,209899507
262144,65536,tn,5621213798,252165059,252155851,6786943973,413754,411670
131072,5120,tn,5614529986,252163430,252138294,23959706759,245047,243300
262144,7168,nt,6763345243,459132,276463,6635614851,591004192,204165590
6144,4096,nt,19109431793,526,125,5253784837,1023252109,17080269
32768,32768,tn,5556364182,290533365,235415441,7759991020,360956,360042
262144,12288,tn,5593843174,252163619,252154577,12103370314,413286,411528
32768,8192,tn,5542687425,290528391,235280348,15108180158,130191,129292
524288,65536,tn,5593763864,252163779,252154656,6770670810,410910,409172
5120,3072,tn,4821858342,913894295,24481214,27148560598,488,202
16384,16384,tn,5480589823,371678393,207813745,9865171270,328853,327032
12288,3072,nt,11771959344,713,150,4994887860,1031259490,54434
65536,5120,tt,5328202238,252174472,252153708,6393219286,913902965,102695956
12288,8192,nt,11863746707,327296,326425,4362213056,577200918,82474313
5120,3072,tn,5509936145,913894823,62510401,27100731830,852,418
8192,6144,tn,8569173217,577204986,316768584,19445431058,257670,256491
524288,8192,nn,6514299584,490323,80941,14733690163,1318,1004
4096,3072,nt,26768815829,1055,612,4996520110,1031263002,152772
4096,4096,tn,5510789545,1023251157,34087615,26870830086,1042,270
7168,5120,tn,6280306079,591004171,187026790,23880752387,4304,2970
12288,7168,nn,12421221940,864,94,15885872353,644,78
7168,3072,tt,6651819895,591012071,241435654,5016912820,1031264278,155999
5120,5120,tt,14692325953,914167132,565524908,13556590766,913925417,490584766
524288,32768,nt,6662381692,497911,430594,5582248308,290528256,236484758
524288,32768,tt,5585083425,252171318,252160651,6235304532,290524515,283384821
262144,5120,tt,5011846049,252164600,252155180,4481191235,913905247,1262535
262144,131072,tn,5606932594,252163118,252153678,6743707256,431660,420758
16384,3072,tn,5476842082,371677417,207358531,27332681776,6992,6528
16384,12288,nt,9801377552,380441,378131,5490240904,457040510,181757015
16384,4096,tt,6167199584,371690303,281307578,4993402787,1023253548,319168
524288,524288,nt,6685256082,505800,438705,5618965194,252163449,252154791
16384,7168,nn,9960150493,3069,2562,15585105325,902,649
131072,4096,tt,5030595849,252163797,252152997,5002014191,1023256847,809237
65536,32768,nn,6735645660,7654,4982,7670191826,1371,7
7168,2048,nn,17708231702,842,405,30031355361,288,107
12288,8192,nt,12155783756,115293,114166,8596591296,577205641,315758554
524288,65536,nt,6686809708,503139,438965,5655385146,252163821,252028566
8192,6144,nt,15086219574,113207,112240,5571549712,740309058,103284784
5120,2048,tt,7525087584,913896628,198766501,5078501359,1047364796,36256
524288,32768,nn,6516617047,489584,66249,7467045046,1498,66
32768,3072,nn,8286312387,6939,5516,27620891003,528,368
8192,4096,nn,16333745225,1787,1394,28430650328,1134,883
131072,32768,tt,5663622640,252171878,252160735,6305075382,290522793,283498506
32768,5120,nn,8187283922,1782,575,24246786463,702,346
262144,5120,nt,6486184772,498267,76877,5333403043,913894797,49952044
131072,3072,tn,5607478230,252163208,252140211,27285709137,9909,9375
16384,6144,nt,9718130783,135927,135165,5430564014,740308973,101339265
65536,65536,nt,6779750972,425085,423201,5685933304,252164831,252035055
16384,12288,tn,5480385867,371676904,207637690,12078681814,266680,264921
262144,7168,tt,5024073850,252196788,252189794,3000931982,591006913,4985461
524288,2048,tt,5004863016,252163152,252154657,5097576151,1047372246,42220
262144,131072,tt,5637465970,252169992,252159261,5631596891,252169557,252158900
262144,131072,tt,5629150648,252169596,252159239,5622081673,252169875,252159538
8192,3072,tn,8487929638,577204849,312819648,27357568292,15173,14549
5120,3072,nn,25276321198,407,39,28706237980,404,2
12288,5120,nt,11857489554,71146,70318,5649209237,913895074,67108165
8192,3072,tt,8873824059,577207221,388791016,5019944255,1031270589,76681
16384,3072,tt,5932596458,371684484,266745147,5021195260,1031261961,84453
524288,7168,tn,5571038099,252163013,252154350,15486522458,377220,375429
12288,4096,tn,5441357052,457037111,180721259,26966271556,51209,49578
32768,6144,nt,7713297690,201992,199891,6523460927,740309948,161809309
65536,6144,tt,5180808442,252314874,251502161,4472087085,740399337,49061444
