"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
4096,16,tt,4877019121,1023246782,168502,8176,312,288
6144,16,nt,19012445463,2653,2322,10051,324,287
32768,16,tt,4915314362,290532278,234169370,8460,309,292
32768,16,nt,7437621367,3404,2127,8429,310,290
524288,16,tt,4985477014,252196996,252190404,10657,316,287
524288,16,nt,6382362889,489608,58694,8353,309,293
2048,16,nt,27475000514,266,59,9335,303,292
4096,16,nt,26756037458,465,186,8706,315,288
16384,16,nt,9557446326,687,25,8682,312,287
5120,16,nt,23540503586,560,204,9456,320,287
3072,16,nt,26954034979,425,94,8318,329,289
3072,16,tt,4914120712,1031259208,186928,7640,316,291
131072,16,tt,4965462360,252194286,250042984,9793,315,289
16384,16,tt,4925783490,371680804,206523844,8765,309,289
8192,16,tt,3922582329,577195331,70148042,8183,308,288
65536,16,nt,6432398448,7266,4442,8048,313,296
2048,16,tt,4990269267,1047364538,156392,8038,313,290
262144,16,tt,4999250338,252186582,252178309,8576,321,292
8192,16,nt,14900090530,600,142,9019,313,292
5120,16,tt,4640430722,913894089,17082930,7427,303,284
12288,16,tt,4956400368,457036387,179253640,8038,322,293
131072,16,nt,6406949230,178200,19438,8920,310,290
6144,16,tt,4118027247,740307724,34845009,10707,353,322
12288,16,nt,11768688854,2216,1681,9583,308,292
262144,16,nt,6392837522,481417,15950,9128,320,292
7168,16,tt,3556825747,591001504,45183940,8351,318,292
65536,16,tt,4742244158,252190974,235397859,8144,309,287
7168,16,nt,15265013015,999,620,8151,314,287
6144,16,nt,19068220465,675,206,9001,312,287
3072,16,tt,4914009537,1031262409,185929,8355,310,287
262144,16,nt,6392038992,485139,15621,10673,312,289
16384,16,nt,9561793468,721,10,7993,303,285
131072,16,tt,4970960109,252188335,250055967,8816,319,289
7168,16,nt,15214566758,750,227,8275,316,293
2048,16,tt,4990555504,1047364510,175881,7770,313,280
8192,16,nt,14833531995,529,127,8040,301,290
4096,16,nt,26659241489,487,63,8151,306,288
7168,16,tt,3475780007,591001349,40171933,7761,321,289
5120,16,tt,4987525455,913894367,39752642,8889,322,291
4096,16,tt,4876886480,1023250396,201983,8336,315,292
524288,16,nt,6382607722,488428,60688,9122,314,297
32768,16,nt,7444942902,2459,1263,9175,318,294
2048,16,nt,27169356404,228,24,8867,317,288
65536,16,nt,6432681119,7544,4906,8619,304,288
6144,16,tt,4047707274,740307372,31910905,7560,302,288
12288,16,nt,11777435512,908,346,9112,318,289
65536,16,tt,4732321805,252194844,235386377,8565,309,282
12288,16,tt,4981681185,457034448,180064712,9514,305,293
8192,16,tt,3951459494,577195826,71774283,8374,316,287
3072,16,nt,26949269146,333,73,8104,313,294
524288,16,tt,4979531275,252196709,252188630,9204,329,292
262144,16,tt,4988746038,252195290,252185674,9462,308,292
131072,16,nt,6406995024,152126,17056,8186,316,287
16384,16,tt,4919070520,371675866,206435493,9559,312,291
5120,16,nt,23604033119,808,326,8358,320,290
32768,16,tt,4918625664,290532209,234157129,8912,307,285
12288,16,tt,4960383256,457038627,179065934,8486,308,284
131072,16,nt,6407614785,145147,11461,9557,318,290
131072,16,tt,4965384958,252194701,250064425,8419,303,283
4096,16,nt,26747726278,911,571,9218,314,292
6144,16,tt,4168503375,740309684,37653657,8666,337,287
524288,16,nt,6382218805,490650,57277,8921,313,291
65536,16,tt,4732443782,252191876,235355621,9295,311,292
4096,16,tt,4878627546,1023246614,294222,8692,305,288
16384,16,tt,4920305545,371673257,206796185,8923,315,290
