"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
12288,8192,"nt",8863148981,154,19,4688182524,751469581,2767814
32768,16384,"nt",9805797440,1831,872,1703470414,195419656,26924824
131072,8192,"tn",6302559948,260568743,241020635,22705130158,478,361
524288,8192,"nn",7713503517,95748,230,22700607292,303,3
65536,6144,"tn",6854722307,284732055,262202326,29061794378,904,615
20480,6144,"nt",6610804152,730,652,5923179459,952886284,187385
262144,2048,"tn",6312950679,252162911,244250781,31935706112,224,131
12288,12288,"nn",8938883389,451,8,8888118333,483,36
262144,24576,"nt",7679374039,10930,5010,4307249588,281706325,133765767
524288,14336,"tn",6408799638,252162909,249299423,6915424149,686,585
524288,14336,"nt",7644123644,104654,15697,1692943328,228218905,16394197
24576,6144,"nn",8600859195,946,137,29062017981,252,243
24576,4096,"tn",4154105666,281704731,123716967,31120299591,1158,956
262144,8192,"nt",7638728420,12581,9116,4705285473,751469397,2717179
65536,4096,"tn",6816030422,284732419,260335354,31144781977,227,41
65536,65536,"nn",8688990040,2153,2063,8621618414,2153,2064
24576,2048,"tn",4217348106,281704857,125870952,31926010215,2646,2537
14336,8192,"tn",1793308513,228218847,19827033,22597479340,360,85
16384,4096,"nn",5967851044,714,122,31049467668,328,173
8192,8192,"nt",22749588960,406,313,4774701410,751468561,7089459
262144,2048,"nt",7648400650,10111,75,6444966152,1037353851,44909
262144,12288,"nt",7638645272,8922,2656,2017614330,292537123,13133302
65536,8192,"nt",8624297636,2533,321,4713638544,751469009,3828488
65536,4096,"nn",8693563195,2451,2240,31030535094,304,70
32768,4096,"nn",9875648583,1108,6,31150108462,215,5
24576,24576,"tt",4285173345,281704791,130193821,4778219859,281707558,155742719
16384,14336,"tn",1707837876,195419577,25188285,6887178846,1058,836
8192,8192,"tt",10696096734,751477406,72372381,5869450656,751477286,5940236
262144,2048,"tn",6374221083,252163147,247427318,31933236079,663,389
524288,12288,"tt",6363474091,252162311,250532581,1950869954,292536916,7628850
20480,16384,"tn",2529377309,218009977,59634108,5913278261,1337,578
32768,16384,"tn",6871333630,323603678,250130876,5949639416,1245,588
524288,16384,"nn",7686188708,102854,18642,5945985867,578,529
20480,6144,"tn",2516346450,218009209,58839356,28978474748,334,303
32768,12288,"nn",9877158195,1218,1040,8843497612,504,437
6144,4096,"tn",5927212555,953122130,1694448,31090413516,214,144
24576,2048,"tn",4024111460,281703742,116910197,31900166570,1307,1078
16384,16384,"nt",5930122213,2422,2015,1727213488,195420332,27498858
524288,12288,"tn",6362072808,252162552,246814467,8875899030,478,52
524288,24576,"nn",7706599517,88085,19950,8553478094,104,47
262144,262144,"nn",7707362820,13442,9378,7662734919,9769,8589
32768,4096,"nn",9876233793,1120,1031,31155829544,272,140
14336,14336,"nt",6914624449,1393,693,1716002132,228218830,18267023
20480,2048,"nn",6653404460,716,645,31918019493,157,77
65536,8192,"tn",6574124030,284731265,247621186,22727124412,431,121
131072,2048,"tn",6444636728,260568438,248397607,31943410655,292,100
24576,4096,"nn",8606213083,850,22,31146382264,99,2
131072,131072,"nt",7957291982,4715,483,6458782276,260567474,251695354
524288,262144,"tn",6425654523,252162455,250081491,7647754628,12942,8728
14336,4096,"nt",7289682337,560,470,6338897069,1020200960,109814
524288,524288,"tn",6402360360,252162630,248571866,7669759310,157474,116973
12288,6144,"tn",2023030336,292537045,12145561,28925942647,318,268
131072,65536,"nt",7955206769,4178,4144,7132560813,284731563,278669211
6144,2048,"nn",29363952298,232,200,31999870225,202,74
2048,2048,"tt",6436126783,1026902599,42564,6435479298,1005353128,42691
524288,6144,"tn",6431047679,252162421,250610227,29085801729,439,349
262144,2048,"nn",7701483280,11534,172,31969586075,141,97
524288,65536,"nt",7699530860,115583,35166,6481234817,284730572,245672718
65536,14336,"nt",8625712109,2695,1664,1735381418,228219242,19198413
6144,6144,"nt",29056570500,288,231,5929355448,953001805,568743
12288,12288,"tt",2257271692,292541684,21504320,6091038884,292543701,89889919
524288,14336,"nt",7643109169,95147,15229,1745433694,228218013,19121766
