"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
8192,3072,tn,4289243194,577197272,79686412,27118847131,3592,3140
8192,5120,tn,4283073756,577200404,80847113,23641210145,10574,9447
524288,4096,tt,4993800029,252195202,252190049,4976895977,1023254987,104619
8192,2048,nt,14832896294,655,189,5072517776,1047364645,35485
262144,32768,tn,5599424615,252203404,252196400,7750118541,384958,383985
32768,32768,nt,7732779917,440411,439104,5571751363,290533753,234340615
524288,8192,nt,6508534216,494265,362237,4263433061,577198606,80497527
524288,8192,tt,5210147346,252356664,252351921,4036454427,577254888,67716323
131072,6144,nt,6475451153,178962,104419,4144650180,740307780,28427218
262144,4096,tt,5011347811,252183011,252176411,4984969675,1023256442,250326
524288,16384,nt,6651673231,527811,502312,5478203206,371678889,207079396
262144,65536,tn,5602812703,252196288,252187503,6735308462,254193,250815
131072,5120,tn,5575972136,252195674,250245296,23891209315,184974,184559
262144,7168,nt,6496963080,471370,162159,3721628960,591006028,43467924
6144,4096,nt,19124477458,1279,893,5255976006,1023250804,17215570
32768,32768,tn,5569389698,290535174,234513932,7790653303,437813,436023
262144,12288,tn,5585839568,252198462,252190555,12055013820,294358,293806
32768,8192,tn,5545942030,290528212,234380595,15140436952,373139,371854
524288,65536,tn,5582969267,252196748,252190239,6734993648,265505,262565
5120,3072,tn,4614938562,913899377,11800153,27167916725,3515,3234
16384,16384,tn,5477201239,371682308,207089963,9885472286,422066,419949
12288,3072,nt,11767200708,1309,971,4998004258,1031259774,225464
65536,5120,tt,5141802460,252302012,250213131,5410385022,913897057,53290673
12288,8192,nt,11909351042,86568,84831,4341965794,577197520,80842106
5120,3072,tn,5126479649,913894748,41236080,27138392426,768,529
8192,6144,tn,4314246500,577198400,81562211,19163857699,117303,116326
524288,8192,nn,6506145146,489158,58223,14711499449,902,451
4096,3072,nt,26766410432,1185,948,4996860971,1031262372,172850
4096,4096,tn,4943952128,1023247202,2592125,26883502021,1141,742
7168,5120,tn,3748896389,591004016,48578405,23733849945,6479,4695
12288,7168,nn,12551722444,1735,970,16033649713,521,36
7168,3072,tt,5856592786,591011338,189606587,5051602070,1031264167,1284382
5120,5120,tt,4843630411,913907779,16080967,7768640378,913963734,205907733
524288,32768,nt,6662098116,529666,510476,5556623765,290537311,234512502
524288,32768,tt,5819399875,258537834,258532556,6002341721,297639499,261014783
262144,5120,tt,5005163435,252195855,252190636,4454393409,913894921,147817
262144,131072,tn,5608864823,252197415,252188952,6720067311,429674,404210
16384,3072,tn,5468314436,371677084,206993939,27304126352,13522,11159
16384,12288,nt,9824743177,428702,426036,5471761175,457044291,180577629
16384,4096,tt,6155930122,371691517,281129028,5025617968,1023251784,1218924
524288,524288,nt,6667298632,499898,431864,5606464938,252184529,252177124
16384,7168,nn,9929725973,1277,520,15533388285,831,448
131072,4096,tt,5029024640,252167733,252155560,5060583649,1023262562,3909047
65536,32768,nn,6743697381,7072,4556,7670035672,3155,1169
7168,2048,nn,17739977396,813,388,30125365007,229,33
12288,8192,nt,11885035371,335882,333820,4284419732,577200636,77415136
524288,65536,nt,6631892041,526405,494034,5359846382,252196216,235578013
8192,6144,nt,15113202175,139773,138797,5856805034,740308967,123884653
5120,2048,tt,7192553831,913904182,175667260,5080651417,1047373071,44408
524288,32768,nn,6516703504,489434,57178,7462745631,1758,17
32768,3072,nn,8214767474,3342,2563,27535248100,368,90
8192,4096,nn,16494495603,630,122,28551267100,613,166
131072,32768,tt,5736904811,254426799,254420200,5889907939,292927253,255880852
32768,5120,nn,8204664738,4305,3403,24222213579,511,173
262144,5120,nt,6413269197,485911,132790,4642974790,913894532,10838708
131072,3072,tn,5579448582,252195288,250118195,27257343517,4588,4453
16384,6144,nt,9647296124,55198,54363,4452516786,740308443,43554574
65536,65536,nt,6728702280,366111,363818,5393714494,252189079,235845508
16384,12288,tn,5466894433,371677931,207086852,12100762349,408256,405994
262144,7168,tt,5025825641,252200153,252194193,3020131925,591004560,5315563
524288,2048,tt,4990558784,252191513,252186070,5089689035,1047366078,37382
262144,131072,tt,5645621806,252172773,252161630,5640615390,252169965,252159387
262144,131072,tt,5639476642,252183714,252173301,5634283911,252182617,252171927
8192,3072,tn,4206384715,577201670,76260703,27135305090,5458,4923
5120,3072,nn,25217531973,683,356,28627864799,407,172
12288,5120,nt,11800824027,64590,63990,4620017893,913895028,9060105
8192,3072,tt,6173091656,577205644,215260811,5028861367,1031264493,383962
16384,3072,tt,5924586533,371690407,266299301,5026721841,1031265499,250049
524288,7168,tn,5569996174,252199605,252191733,15480014197,91972,91577
12288,4096,tn,5446601507,457043057,180559903,27059128180,40680,38615
32768,6144,nt,7492312422,39979,38816,3983036772,740307605,19874194
65536,6144,tt,5287456146,252442634,251355438,5578861688,740313922,110115745
131072,5120,tt,5013673695,252199655,252114338,4489749980,913894734,2026006
65536,2048,nt,6434923111,10091,8382,5074055829,1047364646,112767
12288,3072,tn,5347148550,457044724,179849343,27207538346,9803,9392
16384,4096,tt,6154863565,371687158,281229819,5029252934,1023251798,1295246
131072,65536,tn,5580771371,252200313,250095748,6730534476,411043,409191
7168,3072,tn,3677577506,591001701,44361916,27135793739,1987,954
7168,3072,tn,3751201183,591004385,49040588,27114645699,3693,3036
262144,131072,nn,6614018596,486742,31655,6568437191,124242,260
262144,2048,nn,6605787981,485356,13509,27021481901,265,63
262144,12288,tn,5599248835,252166098,252155809,12099016505,392206,390717
65536,65536,nt,6717367907,429039,427645,5383856682,252195463,235467377
262144,2048,tn,5591223216,252200641,252193501,27546844303,2226,2077
32768,2048,nt,7432926176,4041,2762,5073234028,1047364656,68822
8192,4096,nn,16450071416,1607,1318,28594264820,1257,895
12288,5120,nn,12547816170,941,240,24147563512,510,74
32768,3072,tt,5377916610,290533556,260464218,5019060615,1031265533,250085
12288,7168,tn,5415351527,457038543,181292959,15410198446,241129,239401
65536,6144,tn,5338158303,252195149,235518969,19287351755,274644,274219
65536,12288,nt,6705116880,418957,415360,5397686346,457038006,180446539
65536,6144,nt,6644973615,91675,89622,5670811603,740309357,114163974
5120,3072,tn,5323753946,913895126,52571907,27139989839,867,390
524288,16384,nn,6558769546,489173,62376,9561277216,826,51
12288,12288,tt,8150281140,457943774,338629659,6182914578,457954502,220487917
131072,32768,tn,5595296932,252198506,250139378,7766988508,135147,133854
131072,4096,tt,5023860275,252166506,252153483,5000714342,1023256370,695769
4096,3072,nn,28445460148,373,37,28649577986,323,7
12288,4096,nt,11768056763,17181,16797,4960366525,1023246796,248639
262144,7168,nt,6521113201,465666,171931,3908201344,591002100,52804609
524288,2048,nt,6386437911,489598,54712,5075073510,1047364601,163615
16384,2048,tt,5651911451,371682564,250043627,5101287462,1047366992,204102
524288,2048,tn,5576295371,252171224,252163284,27629021925,7195,6957
32768,3072,tn,5553820414,290528407,234298428,27307086336,6544,6188
2048,2048,nn,29173575738,220,77,29342524276,257,22
131072,5120,nt,6502042938,187358,48834,5376307242,913894842,52307135
262144,6144,nt,6455031201,487325,87179,4119614964,740307582,27729819
524288,3072,nn,6568140302,489693,55176,26585784504,466,164
65536,32768,tn,5365049513,252195367,235429630,7768650305,395445,394063
4096,4096,tn,5517808099,1023251238,34177326,26847321503,4303,3839
131072,2048,nt,6413666622,126478,10311,5075210241,1047364609,170792
524288,12288,tn,5579784545,252197461,252190488,12077849504,116857,116213
524288,12288,nt,6619891267,519412,504065,5448233563,457037394,181561491
8192,8192,nt,15038997772,150352,148526,4389324205,577200003,84348576
524288,3072,tt,4998799491,252164015,252155124,5021209390,1031269634,67046
32768,6144,nn,8203694575,2396,188,19768709356,523,92
8192,4096,nn,16432953768,823,233,28401602722,890,346
4096,4096,nn,28713436941,1006,702,28735156757,1027,683
6144,6144,nt,19035411267,19182,18335,4148601717,740307764,27879983
65536,65536,nt,6723855419,375617,374842,5390531123,252192930,235906468
3072,2048,nn,30366818800,357,131,31076591524,250,75
262144,6144,tt,5012570433,252190366,252184327,3620565430,740309474,516338
131072,12288,nn,6634030732,116901,8041,11833403374,800,399
131072,12288,nn,6624961659,132013,15917,11857478366,663,2
3072,2048,tn,4928927495,1031259269,187945,27182813152,256,18
6144,4096,tn,5101901984,740308400,81176268,26959635693,2556,1478
32768,6144,nn,8286266521,4423,2252,19893146163,1447,1158
8192,7168,nn,16515079009,773,216,16952086913,695,287
524288,12288,nt,6613251468,524641,503101,5418945412,457036934,180593214
32768,8192,tn,5554410349,290536047,234366824,15248546729,370414,369159
524288,3072,tn,5575255896,252193085,252185940,27252056741,1714,1401
16384,4096,nt,9566241443,936,310,4959091305,1023248643,176137
262144,8192,tt,5221349190,252359518,252355012,4016720568,577254906,66809320
12288,12288,tn,5437591132,457039830,181407375,12031273525,255479,253171
32768,12288,nt,7754983242,417697,415258,5505752776,457038541,182236977
524288,32768,nn,6532084648,488147,53658,7477275733,1481,4
262144,65536,tn,5600984368,252166636,252154763,6755792650,407638,404485
32768,2048,tn,5559416851,290533580,234434163,27621857749,5407,5186
8192,2048,nt,14887715430,961,534,5075209103,1047364640,181801
16384,8192,nn,9807411027,738,144,14954408127,960,582
16384,12288,tn,5458464977,371678983,206984884,12068412144,405329,403293
524288,5120,tt,4991913411,252198430,252192773,4454280211,913895859,191640
7168,3072,tn,6689958713,591010025,205522420,27260941061,9063,8817
8192,3072,tn,4344507026,577200179,83195891,27096636438,11661,11103
524288,65536,tt,5600012341,252668694,252659869,5590547190,252681566,252248407
65536,6144,tn,5339688896,252188960,235609642,19289319902,47557,47085
7168,2048,nn,16795587583,601,30,29135767578,304,10
262144,3072,nt,6395690783,482795,35307,4997060750,1031262984,153436
262144,65536,tt,5688697758,254113241,254106876,5662386415,254112896,252751781
32768,4096,nn,8272591676,3505,2464,27262167974,502,168
131072,8192,tn,5628708834,252164675,252134839,15160644479,372633,370764
16384,6144,nn,9785557203,1385,443,19055019023,629,74
5120,2048,nn,24938385884,2043,1773,28648277196,308,119
65536,2048,tn,5356865450,252192278,235595607,27452113175,1569,1382
32768,16384,nt,7731464587,441360,439335,5494090275,371681817,206725552
6144,3072,nn,20969738856,660,283,28685032843,383,115
524288,16384,nn,6508309376,490767,53060,9507797306,896,230
262144,12288,nt,6677484563,511414,450732,5469323153,457039937,180661905
6144,6144,tn,4128824809,740307512,29706700,19027096752,15510,14650
262144,6144,tn,5606621162,252167242,252156682,19377245689,244753,243663
131072,5120,nn,6624249477,138733,8262,23469978795,772,313
262144,3072,tn,5601054104,252163884,252155560,27388270000,12959,11999
16384,6144,nn,10095388394,834,40,19481715980,469,2
7168,5120,nn,16754824898,1033,661,25201785551,1074,648
524288,8192,nn,6523521211,489419,55732,14727955133,710,258
65536,3072,tn,5359763534,252187381,235479577,27338808258,2182,1937
6144,6144,nn,20742541990,1590,931,20740951774,855,385
131072,5120,nt,6501580829,137532,97735,5424754904,913894903,52015921
262144,6144,nt,6460835928,479497,127408,4085355216,740310870,24750691
12288,2048,tt,6024789563,457040182,243817801,5101616274,1047367392,188418
131072,8192,tn,5608127319,252191199,252055862,15147245083,60777,60330
262144,6144,tt,5011127333,252190976,252185545,3621098393,740309761,539629
131072,4096,nt,6410837053,150965,26123,4961846106,1023249094,295811
524288,131072,nn,6515562124,490732,96993,6492267932,107702,11488
524288,3072,nt,6386205723,489099,55339,4998777851,1031259787,248552
262144,6144,nt,6460633126,484031,155018,4149325378,740307906,27033562
131072,131072,nt,6712107865,432222,409369,5620269588,252193931,250294470
7168,4096,nn,17326246420,1042,602,28794833302,788,276
32768,32768,nn,7809135275,2428,96,7754375333,1592,230
12288,5120,nt,11887297103,99706,99090,5795978612,913895232,75833760
262144,3072,nn,6612872342,485661,16193,26608623264,341,55
524288,131072,nt,6645395249,496445,430510,5607527736,252198856,250636359
32768,5120,tt,5611513862,290602854,270533574,4804186512,913945884,19005232
