"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
524288,6144,nt,5629248724,252167079,252158439,19612667681,243288,241823
16384,8192,nn,9948071434,1015,208,15053445739,726,384
6144,5120,tt,7819865342,740366592,265928733,4875146111,913915866,14769317
65536,5120,tt,5059697844,252215163,249153676,4634587611,913901152,8519320
5120,4096,nt,5034326132,913894426,36727065,26883533443,1022,596
131072,32768,tt,5768668785,254227246,254222044,5902269463,292680559,255938226
262144,262144,tt,5672765060,252183399,252171558,5653990903,252181818,252170921
524288,6144,nn,6517802811,489726,53916,18847420805,942,630
6144,5120,nt,6456984524,740309760,156042596,24109140268,166974,165950
16384,2048,tt,5694773676,371683799,249267657,5098732887,1047365902,57134
4096,3072,tt,6351472979,1023256379,91321536,5002804341,1031261121,161125
131072,16384,nn,6661489869,98203,7477,9658796441,724,4
12288,8192,nt,5428322727,457037246,179828424,15239259523,249680,247614
131072,4096,tt,5063353291,252165079,252153040,5144195130,1023257986,8728145
524288,6144,nt,5616389254,252163309,252154433,19617955251,269318,267626
16384,16384,tt,7551399249,372929718,320018829,6277246399,372970924,243760955
524288,32768,nt,5610245212,252164375,252154201,7792728049,411009,408657
131072,65536,nn,6642169043,176016,18203,6668799501,10594,6660
12288,12288,tt,6242469240,457901490,218915278,8257980664,457941924,338275136
32768,8192,nn,8252906380,5567,4455,15547037846,710,233
5120,4096,tt,7762771304,914052857,213252129,5245170098,1023256269,13715652
8192,4096,tt,7852560022,577202863,321677969,5001331702,1023252338,688389
131072,6144,tt,5402259219,252539494,252527245,6293773291,740319161,153068496
3072,3072,tt,7186535699,1031259962,142017098,5512724956,1031262579,29861444
12288,3072,nn,13574155431,802,278,28962429330,387,141
7168,7168,tt,8809417888,591986162,334590306,7444482060,591010077,242448616
8192,7168,tt,6789522212,577423834,238435351,4288813032,591126703,67264876
524288,5120,tt,5023419680,252168733,252157983,4468188745,913903931,579689
16384,16384,nt,5511232021,371685295,207040303,9961545029,423029,420854
8192,6144,nn,16676903514,1208,758,21037508965,1177,785
5120,2048,nt,5348338876,913894713,53340730,27347007588,286,117
32768,16384,nn,8061408230,4705,3472,10144942991,723,76
131072,16384,nt,5674878256,252163776,252134824,9962273162,415975,414112
65536,2048,nt,5404467924,252185619,235345822,27620797097,1481,1258
524288,4096,nt,5607628101,252164740,252156361,27196429641,63292,61802
3072,3072,nn,29790767581,316,67,30568578923,367,46
32768,4096,nn,8262029924,3728,2531,27417760239,778,427
8192,4096,nn,16411154051,775,227,27871132361,503,128
524288,16384,tt,5707294270,255192148,255187058,5925271416,376579249,237030251
12288,5120,nn,13384966957,615,33,25266625876,422,2
65536,7168,tt,5170785806,252324850,247411225,3858820495,591090221,52110691
524288,524288,nn,6559605330,490652,49923,6522506726,489508,54943
65536,32768,nn,6765251859,10085,7216,7690264393,1457,22
131072,16384,nt,5672001930,252163456,252134541,9952418443,416341,414239
262144,4096,nn,6642814281,484040,10232,26418129140,563,293
32768,16384,tt,6549286800,291748900,285570642,6009646088,372985171,233522279
65536,8192,nt,5428932415,252190807,235381952,15323118796,306516,306136
16384,4096,nt,5505737048,371691498,206987337,27194502007,61162,59301
12288,5120,nn,13419342769,3015,2403,25408918966,515,47
524288,12288,nt,5615776158,252165043,252155547,12160484327,403338,401579
65536,5120,tt,5094931683,252229201,249405424,4803040714,913914456,16392512
