"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
4096,16,tt,4886409307,1023249920,555815,8866,309,283
6144,16,nt,18979041657,4265,3999,9517,320,292
32768,16,tt,4969233887,290533271,234198528,9426,321,295
32768,16,nt,7447305861,1352,197,8673,308,291
524288,16,tt,4988168618,252191564,252184989,9903,310,289
524288,16,nt,6381746316,490679,62025,8747,309,299
2048,16,nt,27610448467,222,49,8208,320,289
4096,16,nt,26816683907,596,191,9622,321,295
16384,16,nt,9570495584,1772,1302,7784,313,293
5120,16,nt,23594541564,529,185,8701,318,288
3072,16,nt,27012372050,308,92,8263,302,294
3072,16,tt,4914964174,1031263102,243207,8611,312,287
131072,16,tt,4968263798,252192964,250085942,9237,323,281
16384,16,tt,4982245899,371677012,206710706,8720,305,292
8192,16,tt,4114019675,577196639,83437156,8031,309,291
65536,16,nt,6433007934,7875,5179,8745,312,288
2048,16,tt,4989963393,1047364525,138164,9195,318,286
262144,16,tt,4995650557,252194005,252185526,9990,316,298
8192,16,nt,14914293243,556,120,9557,309,290
5120,16,tt,4480766130,913894003,7383799,7887,315,294
12288,16,tt,5029904314,457036352,180168547,8289,314,294
131072,16,nt,6408133984,161766,9683,8539,317,290
6144,16,tt,4029023920,740307569,29078589,8076,310,293
12288,16,nt,11764552950,2041,1554,8874,306,289
262144,16,nt,6392160733,481186,26045,8785,312,290
7168,16,tt,3736738376,591002151,54199162,8243,316,287
65536,16,tt,4759987246,252187345,235345312,8827,302,289
7168,16,nt,15266450538,1274,904,8418,317,293
6144,16,nt,19122191977,611,249,8065,316,293
3072,16,tt,4914205362,1031259287,195149,7541,311,282
262144,16,nt,6391531403,484022,43509,8973,307,291
16384,16,nt,9566928150,1820,1387,9641,314,294
131072,16,tt,4970812724,252193707,250073160,8986,299,273
7168,16,nt,15175126771,697,315,8046,312,292
2048,16,tt,4990570349,1047364542,176200,9762,303,281
8192,16,nt,14835972608,647,302,10142,318,293
4096,16,nt,26795192676,629,164,8596,314,292
7168,16,tt,3568324468,591001702,44257403,8412,313,288
5120,16,tt,4542098632,913894013,11363170,7738,304,289
4096,16,tt,4900612418,1023247359,980799,8160,311,292
524288,16,nt,6383220244,487771,60380,9197,320,286
32768,16,nt,7439142048,8930,8283,9176,314,293
2048,16,nt,27228130800,205,16,9088,319,292
65536,16,nt,6431961893,4630,1280,9192,306,288
6144,16,tt,4053527018,740307874,30855248,8412,321,286
12288,16,nt,11797201439,914,304,8154,312,291
65536,16,tt,4755491915,252185999,235366487,8454,306,283
12288,16,tt,5036545755,457037621,180621554,8352,319,290
8192,16,tt,4266004473,577196713,92147541,8491,320,293
3072,16,nt,27039877136,410,177,7642,316,297
524288,16,tt,4986343848,252194899,252188779,9938,314,286
262144,16,tt,5002473407,252195050,252184406,9147,321,292
131072,16,nt,6408322410,139413,7893,8046,310,291
16384,16,tt,4971827923,371677903,206499513,8019,314,294
5120,16,nt,23626195887,822,438,8977,338,296
32768,16,tt,4975026955,290528446,234188069,8978,307,288
12288,16,tt,5024632067,457035955,179401870,8616,312,296
131072,16,nt,6408876062,95130,8577,8237,317,294
131072,16,tt,4972054262,252197203,250060971,8758,314,292
4096,16,nt,26859791233,670,357,7598,310,293
6144,16,tt,5341107883,740308749,113334722,8231,308,289
524288,16,nt,6382678258,490752,62167,9517,307,292
65536,16,tt,4763731138,252194849,235334791,9478,324,291
4096,16,tt,5156277953,1023249137,18240297,7906,315,291
16384,16,tt,4969858721,371672417,206451401,8531,309,291
3072,16,nt,27009539611,299,67,9292,309,295
8192,16,tt,4188786977,577196340,87410496,8366,314,288
5120,16,nt,23642077326,908,497,7728,302,288
7168,16,nt,15192202067,584,201,9195,311,291
5120,16,tt,4746455213,913894273,20892315,8669,311,284
524288,16,tt,4989820813,252192933,252184878,9664,307,294
32768,16,nt,7438625003,3350,1658,8050,317,296
2048,16,nt,27813027490,203,30,8405,317,287
32768,16,tt,4979928650,290525396,234197164,7732,318,289
7168,16,tt,3599376880,591001371,47561465,8484,306,290
6144,16,nt,19140986136,1418,1135,8574,307,289
2048,16,tt,4990359162,1047364609,162713,8987,316,289
3072,16,tt,4915397465,1031259174,271858,7936,307,289
8192,16,nt,14863727525,997,496,10070,330,295
262144,16,tt,4998821995,252188805,252181073,9485,308,294
262144,16,nt,6393038639,485743,11454,8941,313,284
16384,16,nt,9567349207,797,267,7949,306,292
12288,16,nt,11777388559,942,478,7993,316,284
65536,16,nt,6435227567,3778,329,9383,317,289
2048,16,tt,4991085879,1047364576,196405,8432,311,290
8192,16,nt,14928279016,2480,2046,8251,308,291
3072,16,tt,4914562916,1031259257,220423,8065,306,287
65536,16,tt,4763581606,252186585,235482136,9289,326,293
7168,16,tt,3667223409,591002384,51113346,8987,319,293
6144,16,tt,4086915317,740307455,32444989,7988,311,290
65536,16,nt,6434195944,13419,10499,8710,307,291
7168,16,nt,15312164912,716,357,8315,316,295
32768,16,tt,4972129725,290527463,234158492,9189,316,286
6144,16,nt,19161468868,603,223,7904,313,289
131072,16,tt,4968541505,252192170,250044034,9115,313,295
524288,16,nt,6382582344,489083,48604,8450,313,292
5120,16,nt,23696211800,957,550,8918,311,292
16384,16,tt,4980685408,371676598,206838975,9271,311,286
3072,16,nt,27008474257,523,289,9137,314,293
16384,16,nt,9567318803,1064,326,8651,314,287
131072,16,nt,6408667155,83826,10204,8476,310,290
262144,16,nt,6392871997,486693,27922,9166,312,289
524288,16,tt,4983343798,252199257,252192049,9865,318,297
4096,16,nt,26864626279,437,6,9570,300,281
32768,16,nt,7442174309,1355,55,8922,324,284
2048,16,nt,27713555070,205,61,9117,308,285
8192,16,tt,4215276870,577197513,87849445,7515,311,286
12288,16,nt,11781393585,2118,1618,9847,303,290
262144,16,tt,5003332671,252183678,252176269,9983,322,293
12288,16,tt,4999389939,457034094,179086891,7533,304,289
5120,16,tt,4627875148,913894146,16291134,9265,314,292
4096,16,tt,4882556376,1023247269,458306,7417,317,290
32768,16,nt,7440581386,2274,448,8593,312,284
16384,16,tt,4980398068,371673605,206654725,7724,315,285
65536,16,tt,4761324117,252186037,235337339,8070,310,289
524288,16,tt,4993158085,252186391,252180346,9211,320,294
7168,16,tt,3550574938,591001230,44137219,7787,309,289
7168,16,nt,15264539780,704,272,8573,303,287
6144,16,nt,19044005530,897,484,7959,316,287
8192,16,tt,4002189128,577201176,78042677,10087,317,290
131072,16,tt,4969975631,252196799,250044509,7460,318,291
2048,16,nt,27547414313,263,179,9597,310,291
12288,16,nt,11782826691,2746,2128,8014,312,294
65536,16,nt,6434408865,8216,5326,8600,316,285
5120,16,tt,4797706398,913894580,27635247,7899,315,291
4096,16,nt,26857007344,430,44,9250,305,288
4096,16,tt,4875068275,1023251012,82634,8626,309,283
131072,16,nt,6408796275,161044,8798,9272,322,302
6144,16,tt,3972307700,740307240,26079092,10056,308,277
262144,16,tt,4999776860,252199132,252191794,9312,307,289
8192,16,nt,14848147739,1714,1247,9094,315,285
262144,16,nt,6393465332,486583,12940,9162,315,291
32768,16,tt,4980137098,290529417,234251265,8259,310,294
3072,16,nt,26973262168,485,240,8072,323,292
524288,16,nt,6382672033,488195,55281,9338,308,291
5120,16,nt,23549697586,617,300,9781,297,278
16384,16,nt,9569786932,851,277,8301,310,287
3072,16,tt,4914915818,1031259223,239865,8767,312,289
2048,16,tt,4990223671,1047364550,157247,8083,312,291
12288,16,tt,4995173354,457033939,178767332,8087,313,289
4096,16,nt,26847599136,661,292,8714,308,291
16384,16,nt,9579717962,760,187,8048,315,289
3072,16,tt,4916285694,1031259253,303179,9054,318,291
4096,16,tt,4877438659,1023249460,235812,8405,307,287
524288,16,nt,6383323756,488381,67027,8356,306,289
5120,16,nt,23590680491,952,589,9746,318,297
12288,16,nt,11779450548,2156,1663,8462,304,289
131072,16,tt,4969542877,252199300,250051425,9740,306,291
65536,16,nt,6433306110,13332,8967,8648,314,288
6144,16,tt,4004394054,740307368,28698797,8475,314,288
7168,16,nt,15282208577,546,261,8083,312,291
16384,16,tt,4977940189,371674427,206482304,7970,311,293
32768,16,tt,4974500880,290529477,234140700,7669,299,288
32768,16,nt,7447144277,6968,6041,9448,320,292
8192,16,nt,14910045501,990,634,8644,307,288
6144,16,nt,19023108642,969,683,9194,319,284
8192,16,tt,4019494113,577195926,75827926,7866,311,288
2048,16,nt,27137387229,246,21,7948,316,290
7168,16,tt,3559254142,591001604,43910638,7567,312,287
2048,16,tt,4990592338,1047364572,177311,7048,315,286
3072,16,nt,27022256012,292,7,8560,310,284
131072,16,nt,6409297029,96476,9434,9461,307,292
262144,16,nt,6393574957,485703,11664,9145,316,292
12288,16,tt,4991953586,457034616,178376545,7703,313,291
262144,16,tt,4999102224,252193874,252184172,8631,306,285
5120,16,tt,5215972036,913894687,54308795,8572,315,293
65536,16,tt,4760551005,252183315,235291429,9274,320,292
524288,16,tt,4983032925,252195970,252187583,8476,319,294
2048,16,nt,27363455114,203,8,9311,329,294
8192,16,tt,4012332302,577196444,75573837,9095,317,292
12288,16,tt,5010476780,457036241,179999067,8474,307,291
5120,16,nt,23565416757,667,250,8384,316,292
524288,16,tt,4982036009,252197177,252189105,9059,315,293
4096,16,nt,26835077900,439,2,9552,315,290
16384,16,nt,9569217305,741,124,8088,309,287
65536,16,nt,6436473797,3154,213,8619,315,295
131072,16,nt,6409878032,81988,9987,7848,306,290
262144,16,tt,4995535871,252197726,252189285,10021,316,287
32768,16,tt,4973649062,290525442,234164949,8918,310,286
7168,16,nt,15225930528,730,467,8219,309,292
262144,16,nt,6392516162,482694,27402,8832,314,288
6144,16,nt,19109973361,716,515,8128,312,294
3072,16,tt,4914021328,1031259241,186969,7688,310,287
524288,16,nt,6381042220,487931,98391,8623,314,300
12288,16,nt,11774032221,1166,482,9283,323,290
7168,16,tt,3647762055,591003853,48448118,7492,326,284
2048,16,tt,4990153492,1047364576,154987,6990,309,291
65536,16,tt,4758023943,252192860,235338031,10064,363,345
16384,16,tt,4978352224,371677866,206955345,8240,315,288
6144,16,tt,4023477678,740307586,29601820,8587,317,293
3072,16,nt,27151433748,416,183,8718,310,284
5120,16,tt,4591170173,913894193,14327385,8804,318,291
4096,16,tt,4885891158,1023247072,427097,7021,310,285
32768,16,nt,7438388472,1950,153,8768,311,288
131072,16,tt,4967901650,252187954,250055512,8253,311,292
8192,16,nt,14885152433,528,197,8787,310,290
7168,16,tt,3668439615,591001878,51047077,8842,310,290
262144,16,nt,6393322578,484820,27141,9057,315,291
16384,16,nt,9573672403,766,129,9211,306,290
12288,16,tt,5001074994,457032864,179764611,7863,307,286
4096,16,tt,4881012613,1023249670,418283,8620,313,287
32768,16,tt,4966848527,290525066,234057120,9686,314,288
131072,16,nt,6409448629,90739,10843,7777,302,289
4096,16,nt,26912137749,859,487,8603,311,289
2048,16,nt,27334351929,241,76,8711,311,293
3072,16,tt,4914169380,1031259308,196654,8465,300,276
3072,16,nt,27224868731,361,65,9558,318,296
65536,16,nt,6436324055,13764,10753,9375,327,285
6144,16,tt,4050899862,740307652,31078240,8839,315,283
262144,16,tt,4996235757,252194753,252186444,9952,314,293
524288,16,nt,6382901155,488336,53760,9754,327,304
5120,16,nt,23648162674,1127,681,8379,305,285
12288,16,nt,11787997310,1302,710,9457,320,288
2048,16,tt,4991116985,1047364559,199490,7970,313,289
16384,16,tt,4995143630,371676692,206442431,7195,316,298
65536,16,tt,4761755406,252189157,235356103,8992,317,294
5120,16,tt,4941549778,913894706,36824659,8232,311,292
131072,16,tt,4971057406,252192438,250082292,10218,320,297
8192,16,nt,14878173611,1184,654,9020,317,290
32768,16,nt,7456678161,4107,2765,8985,321,288
524288,16,tt,4990793489,252195622,252189998,9168,309,289
6144,16,nt,19201339066,681,190,8772,309,289
7168,16,nt,15208227755,672,391,9035,328,294
8192,16,tt,4220928565,577200156,88012395,7424,312,285
6144,16,tt,3972054287,740307516,26097510,7443,309,290
65536,16,nt,6437539949,9492,4455,8806,314,295
6144,16,nt,19142746553,934,488,9042,309,291
8192,16,nt,14914729843,689,270,9155,319,286
16384,16,tt,4984671548,371670747,206450393,7755,310,289
7168,16,tt,3557680946,591001809,44523385,7595,311,285
262144,16,tt,5002734530,252193608,252183775,9048,310,289
5120,16,tt,4567227472,913894066,12437399,8399,320,289
4096,16,tt,5009252070,1023248144,8290716,7853,316,288
65536,16,tt,4762567502,252186895,235329099,8307,316,288
12288,16,nt,11799164949,1303,514,8554,309,290
32768,16,nt,7442382427,4393,2716,8513,312,291
2048,16,tt,4991077160,1047364533,197069,8683,313,286
5120,16,nt,23616832580,1134,748,7822,310,287
7168,16,nt,15211905257,1435,986,8708,321,288
32768,16,tt,4979221149,290525518,234194327,7694,314,296
524288,16,nt,6382683459,490608,58016,8229,309,296
2048,16,nt,27744905261,242,29,9407,310,289
3072,16,tt,4914230942,1031262259,193502,8001,303,288
131072,16,tt,4971817034,252199062,250067333,9249,314,284
262144,16,nt,6393081953,480511,46337,8328,311,285
131072,16,nt,6410528727,138169,5966,8661,310,291
8192,16,tt,4127466353,577200296,82620239,7637,309,290
524288,16,tt,4989262567,252195250,252187665,10396,307,287
12288,16,tt,5032115120,457036105,180190643,8913,308,292
16384,16,nt,9569060322,749,189,8693,321,293
3072,16,nt,27151622769,351,141,8573,308,290
4096,16,nt,26819888404,610,268,8351,310,293
131072,16,tt,4970445762,252192969,250083922,8929,317,290
4096,16,nt,26815557647,482,163,9693,307,294
3072,16,tt,4913924772,1031259219,181613,7670,304,287
7168,16,tt,3664620858,591001434,49891883,8867,323,285
7168,16,nt,15181879834,715,244,8112,312,291
16384,16,nt,9577081732,1684,1256,8527,312,289
8192,16,tt,4130157742,577195749,84188187,8644,311,291
4096,16,tt,5409778059,1023254116,34254485,8399,320,292
262144,16,tt,4996805759,252195053,252184827,9033,311,285
65536,16,tt,4767086017,252188290,235325814,8054,309,292
8192,16,nt,14870815822,885,608,8888,315,285
32768,16,nt,7458292260,3633,2495,9122,324,294
5120,16,tt,4643994157,913894481,17173482,7714,304,281
2048,16,tt,4990995116,1047364553,189303,8554,310,289
2048,16,nt,27160539320,233,73,8679,311,290
6144,16,nt,19180600731,896,477,9061,322,295
524288,16,tt,4986638831,252196171,252189304,10281,313,285
12288,16,tt,5031936947,457040855,179875266,8642,313,293
3072,16,nt,26995170000,485,235,8982,312,286
32768,16,tt,4979217384,290523994,234183596,9848,325,286
12288,16,nt,11780184938,1962,1432,8246,319,295
6144,16,tt,3929827814,740307443,23752649,7940,307,286
131072,16,nt,6409669205,153292,11308,8249,310,294
65536,16,nt,6435614106,4198,292,8372,312,293
5120,16,nt,23524280302,573,218,9133,322,297
262144,16,nt,6393707387,480674,15352,9380,308,286
16384,16,tt,4978710702,371673141,206427565,7490,316,293
524288,16,nt,6381329372,487672,96997,8931,321,291
131072,16,tt,4969720279,252193868,250056961,7919,316,292
7168,16,nt,15219706867,1601,982,9174,318,289
4096,16,tt,4878071543,1023247192,280673,7955,313,289
8192,16,tt,4101434546,577198748,81175621,9055,314,291
65536,16,nt,6437517188,8412,4943,8579,320,288
524288,16,nt,6384035784,489358,52717,8904,311,287
3072,16,nt,27119974656,505,206,9873,317,294
7168,16,tt,3545796282,591001514,43666172,7683,315,293
32768,16,tt,4982098874,290529679,234193324,8042,313,292
32768,16,nt,7450499826,3829,1808,8815,319,294
