"counter","version","value"
cpu-cycles,naotemporal,32289916
cpu-cycles,temporal,32249292
cycle_activity.stalls_ldm_pending,naotemporal,4972550
cycle_activity.stalls_ldm_pending,temporal,4785172
cycle_activity.stalls_l1d_pending,naotemporal,466305
cycle_activity.stalls_l1d_pending,temporal,413694
resource_stalls.any,naotemporal,21818727
resource_stalls.any,temporal,22560859
uops_retired.stall_cycles,naotemporal,24525479
uops_retired.stall_cycles,temporal,27497343
L1-dcache-load-misses,naotemporal,305046
L1-dcache-load-misses,temporal,301458
L1-dcache-loads,naotemporal,4496329
L1-dcache-loads,temporal,4504183
l2_rqsts.demand_data_rd_miss,naotemporal,7904
l2_rqsts.demand_data_rd_miss,temporal,7589
l2_rqsts.all_demand_data_rd,naotemporal,24520
l2_rqsts.all_demand_data_rd,temporal,19678
LLC-load-misses,naotemporal,4337
LLC-load-misses,temporal,3639
LLC-loads,naotemporal,10139
LLC-loads,temporal,10427
