"counter","version","value"
cpu-cycles,naotemporal,42606368
cpu-cycles,temporal,53165130
cycle_activity.stalls_ldm_pending,naotemporal,5503103
cycle_activity.stalls_ldm_pending,temporal,5124418
cycle_activity.stalls_l1d_pending,naotemporal,620410
cycle_activity.stalls_l1d_pending,temporal,501035
resource_stalls.any,naotemporal,31767178
resource_stalls.any,temporal,32544272
uops_retired.stall_cycles,naotemporal,35360437
uops_retired.stall_cycles,temporal,35525269
L1-dcache-load-misses,naotemporal,297599
L1-dcache-load-misses,temporal,299231
L1-dcache-loads,naotemporal,4508016
L1-dcache-loads,temporal,4491646
l2_rqsts.demand_data_rd_miss,naotemporal,12019
l2_rqsts.demand_data_rd_miss,temporal,11792
l2_rqsts.all_demand_data_rd,naotemporal,26139
l2_rqsts.all_demand_data_rd,temporal,26960
LLC-load-misses,naotemporal,4157
LLC-load-misses,temporal,2056
LLC-loads,naotemporal,12202
LLC-loads,temporal,11714
