"counter","size","memtype","temp","opt","value"
PAPI_TOT_CYC,small,wb,t,O2.4,3178255915
PAPI_TOT_CYC,small,wb,nt,O2.4,3313002709
PAPI_TOT_CYC,small,wc,t,O2.4,271790374283
PAPI_TOT_CYC,small,wc,nt,O2.4,15947774859
PAPI_TOT_CYC,small,unc,t,O2.4,271913002872
PAPI_TOT_CYC,small,unc,nt,O2.4,272951908975
PAPI_TOT_CYC,small,wb,t,O2.4,3159465670
PAPI_TOT_CYC,small,wb,nt,O2.4,3331367857
PAPI_TOT_CYC,small,wc,t,O2.4,271973243740
PAPI_TOT_CYC,small,wc,nt,O2.4,15926724855
PAPI_TOT_CYC,small,unc,t,O2.4,271918467047
PAPI_TOT_CYC,small,unc,nt,O2.4,272843088031
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.4,895560213
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.4,893196228
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.4,684994
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.4,166983
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.4,599169
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.4,634663
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.4,916233912
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.4,874871829
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.4,466080
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.4,116141
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.4,587254
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.4,422516
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.4,897729158
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.4,882107474
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.4,268207556739
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.4,12677031303
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.4,269287106432
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.4,267801072484
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.4,914359956
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.4,902582217
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.4,269065999125
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.4,12662774267
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.4,268222348808
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.4,268601212877
L1-DCACHE-LOADS,small,wb,t,O2.4,1310721687
L1-DCACHE-LOADS,small,wb,nt,O2.4,1310721932
L1-DCACHE-LOADS,small,wc,t,O2.4,1310800278
L1-DCACHE-LOADS,small,wc,nt,O2.4,1310724769
L1-DCACHE-LOADS,small,unc,t,O2.4,1310802839
L1-DCACHE-LOADS,small,unc,nt,O2.4,1310800221
L1-DCACHE-LOADS,small,wb,t,O2.4,1310721701
L1-DCACHE-LOADS,small,wb,nt,O2.4,1310721841
L1-DCACHE-LOADS,small,wc,t,O2.4,1310800341
L1-DCACHE-LOADS,small,wc,nt,O2.4,1310724860
L1-DCACHE-LOADS,small,unc,t,O2.4,1310800216
L1-DCACHE-LOADS,small,unc,nt,O2.4,1310800203
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.4,655466073
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.4,655478989
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.4,78325
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.4,12935
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.4,56098
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.4,38275
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.4,655470645
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.4,655481457
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.4,77136
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.4,11963
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.4,45524
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.4,51986
PAPI_L2_DCM,small,wb,t,O2.4,655469404
PAPI_L2_DCM,small,wb,nt,O2.4,655478581
PAPI_L2_DCM,small,wc,t,O2.4,2311
PAPI_L2_DCM,small,wc,nt,O2.4,277
PAPI_L2_DCM,small,unc,t,O2.4,2493
PAPI_L2_DCM,small,unc,nt,O2.4,4079
PAPI_L2_DCM,small,wb,t,O2.4,655465864
PAPI_L2_DCM,small,wb,nt,O2.4,655480378
PAPI_L2_DCM,small,wc,t,O2.4,691
PAPI_L2_DCM,small,wc,nt,O2.4,403
PAPI_L2_DCM,small,unc,t,O2.4,976
PAPI_L2_DCM,small,unc,nt,O2.4,1137
PAPI_L2_DCR,small,wb,t,O2.4,655470155
PAPI_L2_DCR,small,wb,nt,O2.4,655480661
PAPI_L2_DCR,small,wc,t,O2.4,80456
PAPI_L2_DCR,small,wc,nt,O2.4,18789
PAPI_L2_DCR,small,unc,t,O2.4,46750
PAPI_L2_DCR,small,unc,nt,O2.4,81524
PAPI_L2_DCR,small,wb,t,O2.4,655469624
