"counter","size","memtype","temp","opt","value"
PAPI_TOT_CYC,huge,wb,t,O2.pchasing,406720025810
PAPI_TOT_CYC,huge,wb,nt,O2.pchasing,412082003834
PAPI_TOT_CYC,huge,wc,t,O2.pchasing,432730197010
PAPI_TOT_CYC,huge,wc,nt,O2.pchasing,464508934131
PAPI_TOT_CYC,huge,unc,t,O2.pchasing,432735251100
PAPI_TOT_CYC,huge,unc,nt,O2.pchasing,439837797885
PAPI_TOT_CYC,small,wb,t,O2.pchasing,79553528337
PAPI_TOT_CYC,small,wb,nt,O2.pchasing,113716233034
PAPI_TOT_CYC,small,wc,t,O2.pchasing,432550371780
PAPI_TOT_CYC,small,wc,nt,O2.pchasing,464191200309
PAPI_TOT_CYC,small,unc,t,O2.pchasing,432721907995
PAPI_TOT_CYC,small,unc,nt,O2.pchasing,440578016272
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,t,O2.pchasing,392860265386
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,nt,O2.pchasing,390231337974
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,t,O2.pchasing,230200808
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,nt,O2.pchasing,216496378
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,t,O2.pchasing,233724721
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,nt,O2.pchasing,205002890
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.pchasing,67054880962
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.pchasing,67366184712
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.pchasing,4918826
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.pchasing,4396576
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.pchasing,5326399
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.pchasing,4682090
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,t,O2.pchasing,403994273214
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,nt,O2.pchasing,406101021318
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,t,O2.pchasing,430509751420
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,nt,O2.pchasing,458430607387
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,t,O2.pchasing,430511444860
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,nt,O2.pchasing,433794887102
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.pchasing,105698684480
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.pchasing,110601878423
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.pchasing,430337532397
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.pchasing,458453043020
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.pchasing,430276351638
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.pchasing,434374552184
L1-DCACHE-LOADS,huge,wb,t,O2.pchasing,2027729813
L1-DCACHE-LOADS,huge,wb,nt,O2.pchasing,2027732403
L1-DCACHE-LOADS,huge,wc,t,O2.pchasing,2027662906
L1-DCACHE-LOADS,huge,wc,nt,O2.pchasing,2027672358
L1-DCACHE-LOADS,huge,unc,t,O2.pchasing,2027664036
L1-DCACHE-LOADS,huge,unc,nt,O2.pchasing,2027669913
L1-DCACHE-LOADS,small,wb,t,O2.pchasing,2027581549
L1-DCACHE-LOADS,small,wb,nt,O2.pchasing,2027592588
L1-DCACHE-LOADS,small,wc,t,O2.pchasing,2027662571
L1-DCACHE-LOADS,small,wc,nt,O2.pchasing,2027660311
L1-DCACHE-LOADS,small,unc,t,O2.pchasing,2027651452
L1-DCACHE-LOADS,small,unc,nt,O2.pchasing,2027659114
L1-DCACHE-LOAD-MISSES,huge,wb,t,O2.pchasing,1970616166
L1-DCACHE-LOAD-MISSES,huge,wb,nt,O2.pchasing,1970612306
L1-DCACHE-LOAD-MISSES,huge,wc,t,O2.pchasing,4000675
L1-DCACHE-LOAD-MISSES,huge,wc,nt,O2.pchasing,3996278
L1-DCACHE-LOAD-MISSES,huge,unc,t,O2.pchasing,4020080
L1-DCACHE-LOAD-MISSES,huge,unc,nt,O2.pchasing,3992687
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.pchasing,1970049067
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.pchasing,1970057528
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.pchasing,739043
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.pchasing,528488
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.pchasing,686384
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.pchasing,686421
PAPI_L2_DCM,huge,wb,t,O2.pchasing,1970578696
PAPI_L2_DCM,huge,wb,nt,O2.pchasing,1970569294
PAPI_L2_DCM,huge,wc,t,O2.pchasing,3846756
PAPI_L2_DCM,huge,wc,nt,O2.pchasing,3849089
PAPI_L2_DCM,huge,unc,t,O2.pchasing,3848004
PAPI_L2_DCM,huge,unc,nt,O2.pchasing,3846728
PAPI_L2_DCM,small,wb,t,O2.pchasing,1970051478
PAPI_L2_DCM,small,wb,nt,O2.pchasing,1970125297
PAPI_L2_DCM,small,wc,t,O2.pchasing,1669
PAPI_L2_DCM,small,wc,nt,O2.pchasing,2315
PAPI_L2_DCM,small,unc,t,O2.pchasing,2130
PAPI_L2_DCM,small,unc,nt,O2.pchasing,1622
PAPI_L2_DCR,huge,wb,t,O2.pchasing,1970617140
PAPI_L2_DCR,huge,wb,nt,O2.pchasing,1970585364
PAPI_L2_DCR,huge,wc,t,O2.pchasing,3991466
PAPI_L2_DCR,huge,wc,nt,O2.pchasing,3988813
PAPI_L2_DCR,huge,unc,t,O2.pchasing,4010995
PAPI_L2_DCR,huge,unc,nt,O2.pchasing,4007515
PAPI_L2_DCR,small,wb,t,O2.pchasing,1970108863
PAPI_L2_DCR,small,wb,nt,O2.pchasing,1970059953
PAPI_L2_DCR,small,wc,t,O2.pchasing,763507
PAPI_L2_DCR,small,wc,nt,O2.pchasing,534684
PAPI_L2_DCR,small,unc,t,O2.pchasing,614646
PAPI_L2_DCR,small,unc,nt,O2.pchasing,617314
PAPI_L3_TCM,huge,wb,t,O2.pchasing,1970167227
PAPI_L3_TCM,huge,wb,nt,O2.pchasing,1970176269
PAPI_L3_TCM,huge,wc,t,O2.pchasing,571215
PAPI_L3_TCM,huge,wc,nt,O2.pchasing,515490
PAPI_L3_TCM,huge,unc,t,O2.pchasing,561008
PAPI_L3_TCM,huge,unc,nt,O2.pchasing,611796
PAPI_L3_TCM,small,wb,t,O2.pchasing,61263137
PAPI_L3_TCM,small,wb,nt,O2.pchasing,254812318
PAPI_L3_TCM,small,wc,t,O2.pchasing,1677
PAPI_L3_TCM,small,wc,nt,O2.pchasing,1268
PAPI_L3_TCM,small,unc,t,O2.pchasing,1155
PAPI_L3_TCM,small,unc,nt,O2.pchasing,3096
PAPI_L3_TCR,huge,wb,t,O2.pchasing,1970591195
PAPI_L3_TCR,huge,wb,nt,O2.pchasing,1970562851
PAPI_L3_TCR,huge,wc,t,O2.pchasing,3848921
PAPI_L3_TCR,huge,wc,nt,O2.pchasing,3852831
PAPI_L3_TCR,huge,unc,t,O2.pchasing,3849215
PAPI_L3_TCR,huge,unc,nt,O2.pchasing,3849005
PAPI_L3_TCR,small,wb,t,O2.pchasing,1970032652
PAPI_L3_TCR,small,wb,nt,O2.pchasing,1970112766
PAPI_L3_TCR,small,wc,t,O2.pchasing,1904
PAPI_L3_TCR,small,wc,nt,O2.pchasing,2700
PAPI_L3_TCR,small,unc,t,O2.pchasing,2691
PAPI_L3_TCR,small,unc,nt,O2.pchasing,3380
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,t,O2.pchasing,2027729807
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,nt,O2.pchasing,2027732389
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,t,O2.pchasing,2027656430
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,nt,O2.pchasing,2027666432
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,t,O2.pchasing,2027660771
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,nt,O2.pchasing,2027660434
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.pchasing,2027562742
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.pchasing,2027565705
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.pchasing,2027662168
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.pchasing,2027664547
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.pchasing,2027662402
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.pchasing,2027666907
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,t,O2.pchasing,1970572382
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,nt,O2.pchasing,1970560563
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,t,O2.pchasing,1969928806
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,nt,O2.pchasing,1969935638
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,t,O2.pchasing,1969929030
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,nt,O2.pchasing,1969929948
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.pchasing,1970045603
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.pchasing,1970071076
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.pchasing,1966081844
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.pchasing,1966086473
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.pchasing,1966081585
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.pchasing,1966083099
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wb,t,O2.pchasing,1970562842
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wb,nt,O2.pchasing,1970567970
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wc,t,O2.pchasing,3849670
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wc,nt,O2.pchasing,3846994
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,unc,t,O2.pchasing,3847776
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,unc,nt,O2.pchasing,3846621
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,t,O2.pchasing,1970049901
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,nt,O2.pchasing,1970110942
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,t,O2.pchasing,2276
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,nt,O2.pchasing,2442
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,t,O2.pchasing,3467
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,nt,O2.pchasing,2035
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wb,t,O2.pchasing,1970558127
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wb,nt,O2.pchasing,1970581003
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wc,t,O2.pchasing,3847304
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wc,nt,O2.pchasing,3848895
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,unc,t,O2.pchasing,3846899
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,unc,nt,O2.pchasing,3846091
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,t,O2.pchasing,1970051825
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,nt,O2.pchasing,1970069398
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,t,O2.pchasing,3743
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,nt,O2.pchasing,3333
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,t,O2.pchasing,1593
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,nt,O2.pchasing,2066
L1D_PEND_MISS:FB_FULL,huge,wb,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,huge,wb,nt,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,huge,wc,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,huge,wc,nt,O2.pchasing,3378394836
L1D_PEND_MISS:FB_FULL,huge,unc,t,O2.pchasing,1
L1D_PEND_MISS:FB_FULL,huge,unc,nt,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.pchasing,3378093548
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,wb,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,wb,nt,O2.pchasing,0
