"counter","size","memtype","temp","opt","value"
PAPI_TOT_CYC,huge,wb,t,O2,19638136662
PAPI_TOT_CYC,huge,wb,t,O2.double,19830637930
PAPI_TOT_CYC,huge,wb,t,O2.stride,38779615145
PAPI_TOT_CYC,huge,wb,nt,O2,20373516515
PAPI_TOT_CYC,huge,wb,nt,O2.double,19535679870
PAPI_TOT_CYC,huge,wb,nt,O2.stride,38984528785
PAPI_TOT_CYC,huge,wc,t,O2,413547117174
PAPI_TOT_CYC,huge,wc,t,O2.double,413550469112
PAPI_TOT_CYC,huge,wc,t,O2.stride,432911801970
PAPI_TOT_CYC,huge,wc,nt,O2,23738106819
PAPI_TOT_CYC,huge,wc,nt,O2.double,22858303420
PAPI_TOT_CYC,huge,wc,nt,O2.stride,50218729344
PAPI_TOT_CYC,huge,unc,t,O2,413556053535
PAPI_TOT_CYC,huge,unc,t,O2.double,413547832464
PAPI_TOT_CYC,huge,unc,t,O2.stride,432913649638
PAPI_TOT_CYC,huge,unc,nt,O2,413549202735
PAPI_TOT_CYC,huge,unc,nt,O2.double,407523953213
PAPI_TOT_CYC,huge,unc,nt,O2.stride,432912171468
PAPI_TOT_CYC,small,wb,t,O2,5532314829
PAPI_TOT_CYC,small,wb,t,O2.double,6029492992
PAPI_TOT_CYC,small,wb,t,O2.stride,10545653944
PAPI_TOT_CYC,small,wb,nt,O2,7956605946
PAPI_TOT_CYC,small,wb,nt,O2.double,5601847237
PAPI_TOT_CYC,small,wb,nt,O2.stride,14978147479
PAPI_TOT_CYC,small,wc,t,O2,413268815592
PAPI_TOT_CYC,small,wc,t,O2.double,413248897095
PAPI_TOT_CYC,small,wc,t,O2.stride,433179844780
PAPI_TOT_CYC,small,wc,nt,O2,23892286945
PAPI_TOT_CYC,small,wc,nt,O2.double,23248380893
PAPI_TOT_CYC,small,wc,nt,O2.stride,50788758127
PAPI_TOT_CYC,small,unc,t,O2,413229339939
PAPI_TOT_CYC,small,unc,t,O2.double,413245898627
PAPI_TOT_CYC,small,unc,t,O2.stride,433299747804
PAPI_TOT_CYC,small,unc,nt,O2,413291539100
PAPI_TOT_CYC,small,unc,nt,O2.double,407684914389
PAPI_TOT_CYC,small,unc,nt,O2.stride,433434609264
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,t,O2,15010133016
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,t,O2.double,15942155152
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,t,O2.stride,33644850286
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,nt,O2,15230974732
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,nt,O2.double,15843929329
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,nt,O2.stride,33634408592
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,t,O2,84202753
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,t,O2.double,85293432
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,t,O2.stride,144902050
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,nt,O2,49516985
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,nt,O2.double,52161583
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,nt,O2.stride,109312124
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,t,O2,83409916
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,t,O2.double,91556945
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,t,O2.stride,150013029
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,nt,O2,82530239
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,nt,O2.double,83810450
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,nt,O2.stride,146591219
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2,2166199611
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.double,3053018256
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.stride,11119351348
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2,2862457437
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.double,2794508496
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.stride,7176456933
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2,5673201
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.double,3575798
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.stride,4729794
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2,269134
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.double,208651
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.stride,531698
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2,3916357
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.double,3457607
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.stride,4559190
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2,3251399
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.double,3292377
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.stride,4392006
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,t,O2,15042641992
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,t,O2.double,15946189491
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,t,O2.stride,33619172206
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,nt,O2,15212616651
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,nt,O2.double,15834552104
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,nt,O2.stride,33855512617
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,t,O2,407957200954
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,t,O2.double,409574899938
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,t,O2.stride,427333094184
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,nt,O2,18887707335
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,nt,O2.double,19208815202
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,nt,O2.stride,44808396945
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,t,O2,407955529356
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,t,O2.double,409577271552
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,t,O2.stride,427338770809
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,nt,O2,407233396425
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,nt,O2.double,403605365691
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,nt,O2.stride,426981172090
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2,3565896428
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.double,2593903040
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.stride,9357766773
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2,3257248963
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.double,3454231952
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.stride,8868522845
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2,407649587954
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.double,409238290850
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.stride,427840917380
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2,19070026532
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.double,19640996415
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.stride,45417852916
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2,407649540861
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.double,409139287399
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.stride,427625501284
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2,406915342078
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.double,403764560449
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.stride,427332785810
L1-DCACHE-LOADS,huge,wb,t,O2,1966090234
L1-DCACHE-LOADS,huge,wb,t,O2.double,1966090220
L1-DCACHE-LOADS,huge,wb,t,O2.stride,1966100132
L1-DCACHE-LOADS,huge,wb,nt,O2,1966090479
L1-DCACHE-LOADS,huge,wb,nt,O2.double,1966090269
L1-DCACHE-LOADS,huge,wb,nt,O2.stride,1966100244
L1-DCACHE-LOADS,huge,wc,t,O2,1966202391
L1-DCACHE-LOADS,huge,wc,t,O2.double,1966202445
L1-DCACHE-LOADS,huge,wc,t,O2.stride,1966209120
L1-DCACHE-LOADS,huge,wc,nt,O2,1966092327
L1-DCACHE-LOADS,huge,wc,nt,O2.double,1966091880
L1-DCACHE-LOADS,huge,wc,nt,O2.stride,1966105997
L1-DCACHE-LOADS,huge,unc,t,O2,1966202435
L1-DCACHE-LOADS,huge,unc,t,O2.double,1966202396
L1-DCACHE-LOADS,huge,unc,t,O2.stride,1966208935
L1-DCACHE-LOADS,huge,unc,nt,O2,1966202591
L1-DCACHE-LOADS,huge,unc,nt,O2.double,1966200701
L1-DCACHE-LOADS,huge,unc,nt,O2.stride,1966209479
L1-DCACHE-LOADS,small,wb,t,O2,1966083696
L1-DCACHE-LOADS,small,wb,t,O2.double,1966083941
L1-DCACHE-LOADS,small,wb,t,O2.stride,1966086895
L1-DCACHE-LOADS,small,wb,nt,O2,1966084480
L1-DCACHE-LOADS,small,wb,nt,O2.double,1966082940
L1-DCACHE-LOADS,small,wb,nt,O2.stride,1966087259
L1-DCACHE-LOADS,small,wc,t,O2,1966202311
L1-DCACHE-LOADS,small,wc,t,O2.double,1966202415
L1-DCACHE-LOADS,small,wc,t,O2.stride,1966208919
L1-DCACHE-LOADS,small,wc,nt,O2,1966088849
L1-DCACHE-LOADS,small,wc,nt,O2.double,1966087904
L1-DCACHE-LOADS,small,wc,nt,O2.stride,1966098928
L1-DCACHE-LOADS,small,unc,t,O2,1966202401
L1-DCACHE-LOADS,small,unc,t,O2.double,1966202314
L1-DCACHE-LOADS,small,unc,t,O2.stride,1966208991
L1-DCACHE-LOADS,small,unc,nt,O2,1966202382
L1-DCACHE-LOADS,small,unc,nt,O2.double,1966200689
L1-DCACHE-LOADS,small,unc,nt,O2.stride,1966208890
L1-DCACHE-LOAD-MISSES,huge,wb,t,O2,985007064
L1-DCACHE-LOAD-MISSES,huge,wb,t,O2.double,985006452
L1-DCACHE-LOAD-MISSES,huge,wb,t,O2.stride,1970014003
L1-DCACHE-LOAD-MISSES,huge,wb,nt,O2,985006258
L1-DCACHE-LOAD-MISSES,huge,wb,nt,O2.double,985006803
L1-DCACHE-LOAD-MISSES,huge,wb,nt,O2.stride,1970012523
L1-DCACHE-LOAD-MISSES,huge,wc,t,O2,1927622
L1-DCACHE-LOAD-MISSES,huge,wc,t,O2.double,1926397
L1-DCACHE-LOAD-MISSES,huge,wc,t,O2.stride,3991692
L1-DCACHE-LOAD-MISSES,huge,wc,nt,O2,1938068
L1-DCACHE-LOAD-MISSES,huge,wc,nt,O2.double,1937609
L1-DCACHE-LOAD-MISSES,huge,wc,nt,O2.stride,3877714
L1-DCACHE-LOAD-MISSES,huge,unc,t,O2,1926475
L1-DCACHE-LOAD-MISSES,huge,unc,t,O2.double,1926191
L1-DCACHE-LOAD-MISSES,huge,unc,t,O2.stride,3976243
L1-DCACHE-LOAD-MISSES,huge,unc,nt,O2,1926312
L1-DCACHE-LOAD-MISSES,huge,unc,nt,O2.double,1926550
L1-DCACHE-LOAD-MISSES,huge,unc,nt,O2.stride,3960467
L1-DCACHE-LOAD-MISSES,small,wb,t,O2,984978122
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.double,984978643
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.stride,1969959455
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2,984977812
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.double,984979851
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.stride,1969961818
L1-DCACHE-LOAD-MISSES,small,wc,t,O2,441302
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.double,410863
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.stride,609224
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2,42549
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.double,47291
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.stride,80807
L1-DCACHE-LOAD-MISSES,small,unc,t,O2,419117
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.double,508504
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.stride,598029
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2,428907
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.double,410491
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.stride,607745
PAPI_L2_DCM,huge,wb,t,O2,985004040
PAPI_L2_DCM,huge,wb,t,O2.double,985004844
PAPI_L2_DCM,huge,wb,t,O2.stride,1970009066
PAPI_L2_DCM,huge,wb,nt,O2,985004592
PAPI_L2_DCM,huge,wb,nt,O2.double,985003745
PAPI_L2_DCM,huge,wb,nt,O2.stride,1970008034
PAPI_L2_DCM,huge,wc,t,O2,1924135
PAPI_L2_DCM,huge,wc,t,O2.double,1924215
