"micro","microsize","size","memtyp","temp","cycles","l3m","l3l"
memory_load_ind,524288,huge,wb,t,26266851048,991343384,991762992
memory_load_ind,524288,huge,wb,nt,26604167826,988402956,988830120
memory_load_ind,524288,huge,wc,t,476215611033,13540287,22103194
memory_load_ind,524288,huge,wc,nt,50391365616,7832315,15986067
memory_load_ind,524288,small,wb,t,8820338906,192356329,985217360
memory_load_ind,524288,small,wb,nt,9203424320,178942421,985222949
memory_load_ind,524288,small,wc,t,450977016875,7990344,8308577
memory_load_ind,524288,small,wc,nt,28162043873,2106948,2174579
memory_load_ind,262144,huge,wb,t,26014042681,986410071,986919804
memory_load_ind,262144,huge,wb,nt,26556169293,987630984,988045164
memory_load_ind,262144,huge,wc,t,478524377223,9501065,19082857
memory_load_ind,262144,huge,wc,nt,42488277770,4988687,14555877
memory_load_ind,262144,small,wb,t,6926011911,50992421,985198014
memory_load_ind,262144,small,wb,nt,8237038040,51382913,985204038
memory_load_ind,262144,small,wc,t,452758892545,6421542,6711111
memory_load_ind,262144,small,wc,nt,27805251629,1155239,1261611
memory_load_ind,131072,huge,wb,t,26173650542,986671329,986968704
memory_load_ind,131072,huge,wb,nt,25630356743,987035198,987338113
memory_load_ind,131072,huge,wc,t,460864694187,8131965,16826283
memory_load_ind,131072,huge,wc,nt,54475500308,5121841,14200900
memory_load_ind,131072,small,wb,t,9009419016,199107485,985209669
memory_load_ind,131072,small,wb,nt,9643023305,211650712,985216845
memory_load_ind,131072,small,wc,t,436875359648,5737516,6031129
memory_load_ind,131072,small,wc,nt,26334690135,1465074,1545132
memory_load_ind,65536,huge,wb,t,24113529961,986263672,986842267
memory_load_ind,65536,huge,wb,nt,24554093412,986286022,986886248
memory_load_ind,65536,huge,wc,t,443404738455,4154014,14383559
memory_load_ind,65536,huge,wc,nt,52383829902,3085684,14260031
memory_load_ind,65536,small,wb,t,18803821784,847114840,985344747
memory_load_ind,65536,small,wb,nt,19175896148,843414258,985346158
memory_load_ind,65536,small,wc,t,418638432333,496707,863933
memory_load_ind,65536,small,wc,nt,24895534238,135780,220492
memory_load_ind,32768,huge,wb,t,23613673818,986237039,986870608
memory_load_ind,32768,huge,wb,nt,24117255026,986166158,986803701
memory_load_ind,32768,huge,wc,t,442240034637,3007460,13069179
memory_load_ind,32768,huge,wc,nt,37957108900,2665182,12822317
memory_load_ind,32768,small,wb,t,13077845763,497883088,985259850
memory_load_ind,32768,small,wb,nt,13590488710,510072034,985265958
memory_load_ind,32768,small,wc,t,417429621293,92893,419876
memory_load_ind,32768,small,wc,nt,24604657870,83553,172116
memory_load_ind,16384,huge,wb,t,23502977401,986283826,986941774
memory_load_ind,16384,huge,wb,nt,23941429004,986145548,986798611
memory_load_ind,16384,huge,wc,t,443241625013,2936975,14583669
memory_load_ind,16384,huge,wc,nt,47977288387,2590381,13774157
memory_load_ind,16384,small,wb,t,6494152376,76475752,985170925
memory_load_ind,16384,small,wb,nt,10864353702,325248162,985231971
memory_load_ind,16384,small,wc,t,416653333389,90837,472415
memory_load_ind,16384,small,wc,nt,24750657343,97957,180564
