"micro","microsize","size","memtyp","temp","cycles","l3m","l3l"
memory_load_ind,524288,huge,wb,t,22491120397,990381027,990386676
memory_load_ind,524288,huge,wb,nt,22811302961,986724137,986766179
memory_load_ind,524288,huge,wc,t,448907772870,4047827,4051089
memory_load_ind,524288,huge,wc,nt,26720681472,2082498,2082964
memory_load_ind,524288,small,wb,t,6669499834,51806762,984992728
memory_load_ind,524288,small,wb,nt,7934534649,62037517,984983011
memory_load_ind,524288,small,wc,t,449800184256,4051818,4129131
memory_load_ind,524288,small,wc,nt,27457603824,1698677,1684226
memory_load_ind,262144,huge,wb,t,22479415946,987749108,987751966
memory_load_ind,262144,huge,wb,nt,22915980917,986023069,985980886
memory_load_ind,262144,huge,wc,t,451854304291,3948648,3946259
memory_load_ind,262144,huge,wc,nt,26733150323,2069638,2075007
memory_load_ind,262144,small,wb,t,6372335405,51438327,985001422
memory_load_ind,262144,small,wb,nt,8353278104,55443471,984983565
memory_load_ind,262144,small,wc,t,452702464545,3552453,3697743
memory_load_ind,262144,small,wc,nt,27497206991,1887934,1938154
memory_load_ind,131072,huge,wb,t,21444293582,985787469,985793306
memory_load_ind,131072,huge,wb,nt,21928946698,985391177,985398303
memory_load_ind,131072,huge,wc,t,437873881713,3178464,3190238
memory_load_ind,131072,huge,wc,nt,25420859117,1950689,2020381
memory_load_ind,131072,small,wb,t,19215439069,822263085,985599310
memory_load_ind,131072,small,wb,nt,20395200605,833252547,985234918
memory_load_ind,131072,small,wc,t,438169854405,1768479,1309472
memory_load_ind,131072,small,wc,nt,26081554006,696976,1372606
memory_load_ind,65536,huge,wb,t,19815929848,985121015,985141899
memory_load_ind,65536,huge,wb,nt,20338831047,985105684,985121706
memory_load_ind,65536,huge,wc,t,416671038386,1934164,1944519
memory_load_ind,65536,huge,wc,nt,24111904258,801149,1922601
memory_load_ind,65536,small,wb,t,12221819281,437549631,985018284
memory_load_ind,65536,small,wb,nt,14378086093,438202937,985002037
memory_load_ind,65536,small,wc,t,417429233288,85664,66611
memory_load_ind,65536,small,wc,nt,24186805575,28023,21228
memory_load_ind,32768,huge,wb,t,19833958986,985072372,985124199
memory_load_ind,32768,huge,wb,nt,20310209077,985086266,985077878
memory_load_ind,32768,huge,wc,t,416568145638,1922748,1928457
memory_load_ind,32768,huge,wc,nt,24088315652,446591,1921348
memory_load_ind,32768,small,wb,t,8228700564,166212956,985001682
memory_load_ind,32768,small,wb,nt,10238121270,162516480,984989678
memory_load_ind,32768,small,wc,t,417308251050,65549,78783
memory_load_ind,32768,small,wc,nt,24120636899,15689,12284
memory_load_ind,16384,huge,wb,t,19771548578,985093204,985119554
memory_load_ind,16384,huge,wb,nt,20280014171,985082515,985107657
memory_load_ind,16384,huge,wc,t,416352570147,1916118,1926943
memory_load_ind,16384,huge,wc,nt,24077352993,345065,1921220
memory_load_ind,16384,small,wb,t,6883956940,111519575,984992987
memory_load_ind,16384,small,wb,nt,8573408046,81163934,984983821
memory_load_ind,16384,small,wc,t,416284845444,17387,50433
memory_load_ind,16384,small,wc,nt,24120310524,13082,6684
memory_load_ind,8192,huge,wb,t,19790719555,985090647,985114705
memory_load_ind,8192,huge,wb,nt,20250708031,985076889,985107535
memory_load_ind,8192,huge,wc,t,416348731073,1907384,1926911
memory_load_ind,8192,huge,wc,nt,24062076610,354652,1921443
memory_load_ind,8192,small,wb,t,6289124665,55230196,984987954
