"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
on,huge,wb,t,memory_load_ind, 32768KB,7.667.065.989,244.958.357,437.788.947
on,huge,wb,t,memory_load_ind, 16384KB,7.054.018.898,217.159.426,430.614.303
on,huge,wb,t,memory_load_ind, 8192KB,3.641.061.715,77.201.492,341.312.067
on,huge,wb,t,memory_load_ind, 4096KB,2.485.780.004,2.702.878,363.487.989
on,huge,wb,t,memory_load_ind, 2048KB,2.447.392.424,58.524,359.828.603
on,huge,wb,t,memory_load_ind, 1024KB,2.439.680.359,41.970,365.488.765
on,huge,wb,t,memory_load_ind, 512KB,2.436.529.737,25.989,364.819.196
on,huge,wb,t,memory_load_ind, 256KB,1.846.160.454,16.994,185.088.601
on,huge,wb,t,memory_load_dep, 32768KB,12.843.395.732,42.948.101,123.138.117
on,huge,wb,t,memory_load_dep, 16384KB,11.914.337.068,38.720.147,105.217.951
on,huge,wb,t,memory_load_dep, 8192KB,9.876.576.821,28.523.380,41.342.578
on,huge,wb,t,memory_load_dep, 4096KB,7.080.090.685,886.822,9.440.522
on,huge,wb,t,memory_load_dep, 2048KB,6.975.910.748,48.230,8.545.565
on,huge,wb,t,memory_load_dep, 1024KB,6.966.556.792,50.455,8.557.992
on,huge,wb,t,memory_load_dep, 512KB,6.957.217.440,40.366,8.579.447
on,huge,wb,t,memory_load_dep, 256KB,6.667.386.508,440.280,5.334.005
on,huge,wb,t,memory_load_random, 32768KB,9.620.622.201,274.138.131,479.926.514
on,huge,wb,t,memory_load_random, 16384KB,7.880.228.881,205.135.471,461.126.148
on,huge,wb,t,memory_load_random, 8192KB,4.450.943.027,63.920.607,434.890.260
on,huge,wb,t,memory_load_random, 4096KB,2.767.512.961,320.250,463.282.135
on,huge,wb,t,memory_load_random, 2048KB,2.645.184.186,62.301,432.122.667
on,huge,wb,t,memory_load_random, 1024KB,2.488.878.192,40.704,365.559.654
on,huge,wb,t,memory_load_random, 512KB,2.177.522.791,29.672,232.942.729
on,huge,wb,t,memory_load_random, 256KB,1.748.019.332,20.416,65.059.626
on,huge,wb,nt,memory_load_ind, 32768KB,7.681.498.627,251.422.074,437.562.753
on,huge,wb,nt,memory_load_ind, 16384KB,6.982.642.497,218.000.092,430.318.283
on,huge,wb,nt,memory_load_ind, 8192KB,3.231.179.627,62.700.906,327.591.430
on,huge,wb,nt,memory_load_ind, 4096KB,2.443.801.552,37.847,364.863.109
on,huge,wb,nt,memory_load_ind, 2048KB,2.438.483.980,16.916,364.821.444
on,huge,wb,nt,memory_load_ind, 1024KB,2.437.794.256,42.984,364.414.482
on,huge,wb,nt,memory_load_ind, 512KB,2.436.710.142,24.446,364.417.477
on,huge,wb,nt,memory_load_ind, 256KB,1.548.580.636,8.168,102.406.381
on,huge,wb,nt,memory_load_dep, 32768KB,13.032.162.505,44.738.038,125.008.203
on,huge,wb,nt,memory_load_dep, 16384KB,11.975.309.256,39.741.642,106.630.283
on,huge,wb,nt,memory_load_dep, 8192KB,9.737.690.928,28.702.427,39.793.293
on,huge,wb,nt,memory_load_dep, 4096KB,7.034.759.489,497.232,9.075.883
on,huge,wb,nt,memory_load_dep, 2048KB,6.974.945.888,33.947,8.534.219
on,huge,wb,nt,memory_load_dep, 1024KB,6.885.138.105,36.808,8.578.870
on,huge,wb,nt,memory_load_dep, 512KB,6.875.996.880,37.625,8.607.478
on,huge,wb,nt,memory_load_dep, 256KB,6.700.041.783,239.705,4.928.498
on,huge,wb,nt,memory_load_random, 32768KB,9.644.796.752,277.121.278,479.174.195
on,huge,wb,nt,memory_load_random, 16384KB,7.831.138.837,204.677.991,462.417.337
on,huge,wb,nt,memory_load_random, 8192KB,4.746.089.403,77.424.695,424.426.580
on,huge,wb,nt,memory_load_random, 4096KB,2.754.567.490,868.063,465.332.750
on,huge,wb,nt,memory_load_random, 2048KB,2.674.296.082,75.801,429.934.022
on,huge,wb,nt,memory_load_random, 1024KB,2.513.340.302,44.824,364.604.727
on,huge,wb,nt,memory_load_random, 512KB,2.190.400.291,25.276,231.888.191
on,huge,wb,nt,memory_load_random, 256KB,1.777.929.432,16.040,84.221.026
on,huge,wc,t,memory_load_ind, 32768KB,6.712.798.276,222.468.205,427.396.269
