"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
on,none,none,none,memory_load_ind, 32768KB,6.703.999.005,222.547.650,427.393.048
on,none,none,none,memory_load_ind, 16384KB,5.855.387.072,185.982.605,410.794.839
on,none,none,none,memory_load_ind, 8192KB,3.604.509.024,74.621.587,353.957.002
on,none,none,none,memory_load_ind, 4096KB,2.467.103.597,1.904.645,359.307.711
on,none,none,none,memory_load_ind, 2048KB,2.441.188.127,53.149,360.454.356
on,none,none,none,memory_load_ind, 1024KB,2.431.198.716,23.149,365.965.323
on,none,none,none,memory_load_ind, 512KB,2.430.410.692,7.586,365.796.332
on,none,none,none,memory_load_ind, 256KB,1.798.749.141,1.410,171.286.836
on,none,none,none,memory_load_dep, 32768KB,11.444.205.469,27.846.060,95.584.760
on,none,none,none,memory_load_dep, 16384KB,10.602.473.192,25.651.243,61.623.771
on,none,none,none,memory_load_dep, 8192KB,8.710.102.997,12.558.434,25.669.377
on,none,none,none,memory_load_dep, 4096KB,7.003.255.937,86.898,8.729.734
on,none,none,none,memory_load_dep, 2048KB,6.988.000.820,13.725,8.553.000
on,none,none,none,memory_load_dep, 1024KB,6.971.688.604,8.067,8.554.467
on,none,none,none,memory_load_dep, 512KB,6.955.229.312,3.260,8.578.808
on,none,none,none,memory_load_dep, 256KB,6.612.469.439,2.818,7.651.730
on,none,none,none,memory_load_random, 32768KB,8.356.262.127,251.761.437,475.145.572
on,none,none,none,memory_load_random, 16384KB,6.781.540.635,180.628.038,456.569.128
on,none,none,none,memory_load_random, 8192KB,3.903.949.269,45.605.469,435.280.232
on,none,none,none,memory_load_random, 4096KB,2.715.416.647,101.327,468.365.266
on,none,none,none,memory_load_random, 2048KB,2.631.841.703,30.476,433.182.297
on,none,none,none,memory_load_random, 1024KB,2.476.008.065,10.404,366.631.675
on,none,none,none,memory_load_random, 512KB,2.185.029.478,2.909,232.499.768
on,none,none,none,memory_load_random, 256KB,1.733.237.434,2.019,62.487.032
off,none,none,none,memory_load_ind, 32768KB,9.217.243.283,424.117.206,525.555.562
off,none,none,none,memory_load_ind, 16384KB,7.136.411.157,293.604.877,525.473.230
off,none,none,none,memory_load_ind, 8192KB,3.701.972.692,74.186.774,525.390.875
off,none,none,none,memory_load_ind, 4096KB,2.640.466.185,8.832.718,524.358.355
off,none,none,none,memory_load_ind, 2048KB,2.502.375.149,187.916,524.320.627
off,none,none,none,memory_load_ind, 1024KB,2.536.819.917,119.537,524.321.420
off,none,none,none,memory_load_ind, 512KB,2.497.054.425,19.443,524.109.048
off,none,none,none,memory_load_ind, 256KB,2.025.205.600,993,344.080.974
off,none,none,none,memory_load_dep, 32768KB,93.883.426.730,431.957.948,526.835.781
off,none,none,none,memory_load_dep, 16384KB,72.415.258.728,303.358.344,526.484.016
off,none,none,none,memory_load_dep, 8192KB,34.529.667.148,86.966.063,525.904.048
off,none,none,none,memory_load_dep, 4096KB,19.760.933.209,9.689.442,524.841.856
off,none,none,none,memory_load_dep, 2048KB,18.072.830.679,14.303,524.518.459
off,none,none,none,memory_load_dep, 1024KB,17.645.464.429,64.494,524.514.259
off,none,none,none,memory_load_dep, 512KB,17.603.539.133,5.519,524.543.767
off,none,none,none,memory_load_dep, 256KB,8.300.929.676,2.709,90.617.254
off,none,none,none,memory_load_random, 32768KB,10.636.822.963,396.924.191,535.796.862
off,none,none,none,memory_load_random, 16384KB,8.067.254.337,267.027.633,529.160.442
off,none,none,none,memory_load_random, 8192KB,3.983.146.446,53.149.199,517.374.894
off,none,none,none,memory_load_random, 4096KB,2.548.256.036,232.099,492.437.281
off,none,none,none,memory_load_random, 2048KB,2.476.094.339,57.862,459.559.874
off,none,none,none,memory_load_random, 1024KB,2.314.530.759,12.066,394.243.508
off,none,none,none,memory_load_random, 512KB,2.065.059.237,9.386,261.700.718
off,none,none,none,memory_load_random, 256KB,1.707.054.446,1.821,66.230.994
