"counter","version","value"
cpu-cycles,rep.nt.big,22334652165.75
cpu-cycles,rep.nt.small,7581502988.5
cpu-cycles,rep.t.big,22032257502.75
cpu-cycles,rep.t.small,7263581629.25
cpu-cycles,rep.unc.nt.big,457058869685.25
cpu-cycles,rep.unc.nt.small,455101927498.0
cpu-cycles,rep.unc.t.big,465127219592.25
cpu-cycles,rep.unc.t.small,463728556243.75
LLC-load-misses,rep.nt.big,975132941.5
LLC-load-misses,rep.nt.small,128255269.0
LLC-load-misses,rep.t.big,977094216.75
LLC-load-misses,rep.t.small,134208764.25
LLC-load-misses,rep.unc.nt.big,88186.75
LLC-load-misses,rep.unc.nt.small,9680.75
LLC-load-misses,rep.unc.t.big,87893.5
LLC-load-misses,rep.unc.t.small,9607.0
