"counter","version","value"
cpu-cycles,naotemporal,37256990.86666667
cpu-cycles,pre,35210279.166666664
cpu-cycles,temporal,37888068.9
cpu-cycles,uncached.naotemporal,196513775.96666667
cpu-cycles,uncached.pre,133121507.93333334
cpu-cycles,uncached.temporal,198352054.8
cycle_activity.stalls_ldm_pending,naotemporal,5485812.2
cycle_activity.stalls_ldm_pending,pre,5071934.466666667
cycle_activity.stalls_ldm_pending,temporal,5421635.933333334
cycle_activity.stalls_ldm_pending,uncached.naotemporal,79708201.53333333
cycle_activity.stalls_ldm_pending,uncached.pre,19834277.5
cycle_activity.stalls_ldm_pending,uncached.temporal,78950443.7
cycle_activity.stalls_l1d_pending,naotemporal,912748.3666666667
cycle_activity.stalls_l1d_pending,pre,640376.9666666667
cycle_activity.stalls_l1d_pending,temporal,867706.8666666667
cycle_activity.stalls_l1d_pending,uncached.naotemporal,3172654.566666667
cycle_activity.stalls_l1d_pending,uncached.pre,3048374.033333333
cycle_activity.stalls_l1d_pending,uncached.temporal,3116068.566666667
resource_stalls.any,naotemporal,25418906.8
resource_stalls.any,pre,24386881.233333334
resource_stalls.any,temporal,26320130.933333334
resource_stalls.any,uncached.naotemporal,115291354.16666667
resource_stalls.any,uncached.pre,51779176.233333334
resource_stalls.any,uncached.temporal,114434480.06666666
uops_retired.stall_cycles,naotemporal,27757906.566666666
uops_retired.stall_cycles,pre,27470911.466666665
uops_retired.stall_cycles,temporal,28828668.933333334
uops_retired.stall_cycles,uncached.naotemporal,165301067.53333333
uops_retired.stall_cycles,uncached.pre,105870815.3
uops_retired.stall_cycles,uncached.temporal,165119529.03333333
L1-dcache-load-misses,naotemporal,435319.6666666667
L1-dcache-load-misses,pre,303117.6666666667
L1-dcache-load-misses,temporal,434288.3
L1-dcache-load-misses,uncached.naotemporal,397302.4666666667
L1-dcache-load-misses,uncached.pre,401867.06666666665
L1-dcache-load-misses,uncached.temporal,396342.13333333336
L1-dcache-loads,naotemporal,6325589.3
L1-dcache-loads,pre,4497477.466666667
L1-dcache-loads,temporal,6325081.433333334
L1-dcache-loads,uncached.naotemporal,12400407.466666667
L1-dcache-loads,uncached.pre,10358905.566666666
L1-dcache-loads,uncached.temporal,12365375.666666666
l2_rqsts.demand_data_rd_miss,naotemporal,14701.333333333334
l2_rqsts.demand_data_rd_miss,pre,9781.4
l2_rqsts.demand_data_rd_miss,temporal,16322.533333333333
l2_rqsts.demand_data_rd_miss,uncached.naotemporal,81467.63333333333
l2_rqsts.demand_data_rd_miss,uncached.pre,82247.7
l2_rqsts.demand_data_rd_miss,uncached.temporal,80858.53333333334
l2_rqsts.all_demand_data_rd,naotemporal,35968.3
l2_rqsts.all_demand_data_rd,pre,24591.8
l2_rqsts.all_demand_data_rd,temporal,39686.13333333333
l2_rqsts.all_demand_data_rd,uncached.naotemporal,171334.66666666666
l2_rqsts.all_demand_data_rd,uncached.pre,172733.96666666667
l2_rqsts.all_demand_data_rd,uncached.temporal,174894.96666666667
LLC-load-misses,naotemporal,29050.466666666667
LLC-load-misses,pre,5995.1
LLC-load-misses,temporal,27312.0
LLC-load-misses,uncached.naotemporal,5034.766666666666
LLC-load-misses,uncached.pre,4551.266666666666
LLC-load-misses,uncached.temporal,4983.866666666667
LLC-loads,naotemporal,72463.73333333334
LLC-loads,pre,14108.133333333333
LLC-loads,temporal,67267.26666666666
LLC-loads,uncached.naotemporal,87570.93333333333
LLC-loads,uncached.pre,88124.06666666667
LLC-loads,uncached.temporal,89979.33333333333
