"counter","version","value"
cpu-cycles,naotemporal,35874969
cpu-cycles,temporal,34764561
cycle_activity.stalls_ldm_pending,naotemporal,5232916
cycle_activity.stalls_ldm_pending,temporal,5109199
cycle_activity.stalls_l1d_pending,naotemporal,631678
cycle_activity.stalls_l1d_pending,temporal,1073101
resource_stalls.any,naotemporal,25346269
resource_stalls.any,temporal,22986652
uops_retired.stall_cycles,naotemporal,25699025
uops_retired.stall_cycles,temporal,25813341
L1-dcache-load-misses,naotemporal,429296
L1-dcache-load-misses,temporal,430273
L1-dcache-loads,naotemporal,6323413
L1-dcache-loads,temporal,6324528
l2_rqsts.demand_data_rd_miss,naotemporal,11262
l2_rqsts.demand_data_rd_miss,temporal,12037
l2_rqsts.all_demand_data_rd,naotemporal,25468
l2_rqsts.all_demand_data_rd,temporal,25538
LLC-load-misses,naotemporal,25739
LLC-load-misses,temporal,27207
LLC-loads,naotemporal,62276
LLC-loads,temporal,62450
