"counter","version","value"
cpu-cycles,naotemporal,58864683
cpu-cycles,temporal,58565002
cycle_activity.stalls_ldm_pending,naotemporal,7110919
cycle_activity.stalls_ldm_pending,temporal,7549107
cycle_activity.stalls_l1d_pending,naotemporal,2501899
cycle_activity.stalls_l1d_pending,temporal,2943837
resource_stalls.any,naotemporal,37532919
resource_stalls.any,temporal,36802241
uops_retired.stall_cycles,naotemporal,50443737
uops_retired.stall_cycles,temporal,49016148
L1-dcache-load-misses,naotemporal,425586
L1-dcache-load-misses,temporal,426399
L1-dcache-loads,naotemporal,6324377
L1-dcache-loads,temporal,6324426
l2_rqsts.demand_data_rd_miss,naotemporal,143440
l2_rqsts.demand_data_rd_miss,temporal,142969
l2_rqsts.all_demand_data_rd,naotemporal,157743
l2_rqsts.all_demand_data_rd,temporal,156802
LLC-load-misses,naotemporal,135634
LLC-load-misses,temporal,135533
LLC-loads,naotemporal,143112
LLC-loads,temporal,143029
