cpu-cycles,one,r.t.t,5369151167
cpu-cycles,one,r.n.t,5226558251
mem_load_retired.l3_miss,one,r.t.t,16736
mem_load_retired.l3_miss,one,r.n.t,16474
mem_load_retired.l3_hit,one,r.t.t,30910314
mem_load_retired.l3_hit,one,r.n.t,32369337
LLC-load-misses,one,r.t.t,23814
LLC-load-misses,one,r.n.t,20173
LLC-loads,one,r.t.t,31451279
LLC-loads,one,r.n.t,30104515
LLC-store-misses,one,r.t.t,6555
LLC-store-misses,one,r.n.t,7014
LLC-stores,one,r.t.t,36262
LLC-stores,one,r.n.t,36446
L1-dcache-load-misses,one,r.t.t,491990788
L1-dcache-load-misses,one,r.n.t,491976542
l1d.replacement,one,r.t.t,491988881
l1d.replacement,one,r.n.t,491973094
l2_lines_in.all,one,r.t.t,492506505
l2_lines_in.all,one,r.n.t,492536970
