"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","10630",1,10630,"8","4","tt",".23"
"2","13878",2,13878,"11","5","tt",".30"
"3","4325",3,4325,"14","5","tt",".10"
"4","697",4,697,"7","3","nn",".2"
"5","3107",5,3107,"3","0","nn",".7"
"6","11304",6,11304,"6","5","tn",".24"
"7","22710",7,22710,"10","8","tt",".48"
"8","22673",8,22673,"5","3","tn",".48"
"9","10777",9,10777,"10","8","tn",".23"
"10","22748",10,22748,"5","5","nt",".48"
"11","19200",11,19200,"11","1","tn",".41"
"12","6176",12,6176,"10","7","tn",".13"
"13","8181",13,8181,"10","3","tt",".18"
"14","12541",14,12541,"11","5","tn",".27"
"15","11960",15,11960,"13","7","nn",".26"
"16","3575",16,3575,"10","3","tn",".8"
"17","17853",17,17853,"12","3","tt",".38"
"18","8546",18,8546,"6","0","tn",".18"
"19","4979",19,4979,"12","11","nt",".11"
"20","4165",20,4165,"9","5","tt",".9"
"21","1024",21,1024,"14","10","nt",".3"
"22","5445",22,5445,"6","4","tn",".12"
"23","18946",23,18946,"14","0","nn",".40"
"24","5622",24,5622,"11","0","nt",".12"
"25","21456",25,21456,"1","0","nn",".46"
"26","17568",26,17568,"14","0","tn",".37"
"27","1245",27,1245,"10","8","nt",".3"
"28","6129",28,6129,"12","3","tn",".13"
"29","20464",29,20464,"6","5","tt",".43"
"30","5942",30,5942,"5","4","nn",".13"
"31","1070",31,1070,"13","5","nn",".3"
"32","3023",32,3023,"8","8","tt",".7"
"33","8630",33,8630,"13","10","nt",".19"
"34","16259",34,16259,"10","10","tn",".35"
"35","5014",35,5014,"13","7","nt",".11"
"36","21904",36,21904,"5","0","nn",".47"
"37","1721",37,1721,"9","6","tt",".4"
"38","9832",38,9832,"4","4","nn",".21"
"39","4628",39,4628,"13","9","nn",".10"
"40","3024",40,3024,"3","0","tt",".7"
"41","21709",41,21709,"11","1","tt",".46"
"42","2708",42,2708,"9","4","nt",".6"
"43","21031",43,21031,"14","4","nt",".45"
"44","12463",44,12463,"14","12","nt",".27"
"45","13692",45,13692,"6","1","nt",".29"
"46","7158",46,7158,"8","2","tt",".16"
"47","7126",47,7126,"11","6","nn",".15"
"48","6426",48,6426,"12","5","tn",".14"
"49","21714",49,21714,"13","13","nt",".46"
"50","1840",50,1840,"14","8","nn",".4"
"51","9249",51,9249,"10","5","nt",".20"
"52","19702",52,19702,"13","0","nn",".42"
"53","2198",53,2198,"10","3","tt",".5"
"54","10815",54,10815,"13","3","nn",".23"
"55","17369",55,17369,"12","10","nn",".37"
"56","10498",56,10498,"8","0","tn",".23"
"57","23791",57,23791,"13","11","tn",".50"
"58","15204",58,15204,"14","14","tt",".32"
"59","23400",59,23400,"2","1","nn",".50"
"60","409",60,409,"12","0","tn",".1"
"61","12232",61,12232,"10","5","tn",".26"
"62","4603",62,4603,"6","0","tn",".10"
"63","4186",63,4186,"13","12","nn",".9"
"64","6391",64,6391,"5","2","tt",".14"
"65","22512",65,22512,"7","6","tn",".48"
"66","11079",66,11079,"10","3","nt",".24"
"67","23364",67,23364,"13","5","nn",".50"
"68","15548",68,15548,"4","4","nn",".33"
"69","2744",69,2744,"5","3","tn",".6"
"70","1691",70,1691,"10","10","tn",".4"
"71","8430",71,8430,"10","0","tt",".18"
"72","18618",72,18618,"8","1","nt",".40"
"73","19142",73,19142,"12","4","tt",".41"
"74","5566",74,5566,"14","1","tn",".12"
"75","15893",75,15893,"5","4","tn",".34"
"76","18671",76,18671,"6","3","tt",".40"
"77","22968",77,22968,"9","5","nt",".49"
"78","20712",78,20712,"12","10","nn",".44"
"79","17709",79,17709,"9","6","nn",".38"
"80","14051",80,14051,"11","9","nn",".30"
"81","9743",81,9743,"10","2","tn",".21"
"82","22338",82,22338,"4","4","tt",".47"
"83","23557",83,23557,"13","11","nt",".50"
"84","870",84,870,"13","8","tt",".2"
"85","1334",85,1334,"13","4","tn",".3"
"86","10635",86,10635,"13","13","tt",".23"
"87","1806",87,1806,"12","4","tt",".4"
"88","14650",88,14650,"7","1","tn",".31"
"89","4396",89,4396,"7","3","tn",".10"
"90","22352",90,22352,"8","3","nn",".47"
"91","18668",91,18668,"10","5","nt",".40"
"92","3017",92,3017,"14","8","tn",".7"
"93","16352",93,16352,"13","8","nt",".35"
"94","17608",94,17608,"6","0","tt",".37"
"95","5925",95,5925,"11","4","tn",".13"
"96","16495",96,16495,"4","2","tt",".35"
"97","17545",97,17545,"12","2","nt",".37"
"98","17830",98,17830,"12","11","tt",".38"
"99","18715",99,18715,"5","3","nn",".40"
"100","12981",100,12981,"14","4","tt",".28"
"101","5240",101,5240,"9","9","tt",".12"
"102","22719",102,22719,"12","6","tt",".48"
"103","15649",103,15649,"12","2","tt",".33"
"104","5257",104,5257,"14","7","nt",".12"
"105","7630",105,7630,"5","1","nn",".17"
"106","17712",106,17712,"6","5","nt",".38"
"107","12215",107,12215,"12","6","tn",".26"
"108","9295",108,9295,"14","5","tt",".20"
"109","6610",109,6610,"12","10","tn",".14"
"110","4266",110,4266,"13","13","nn",".9"
"111","14265",111,14265,"3","0","tn",".30"
"112","230",112,230,"9","8","nt",".1"
"113","22535",113,22535,"10","7","nt",".48"
"114","18636",114,18636,"12","12","nn",".40"
"115","20858",115,20858,"10","1","tt",".44"
"116","6552",116,6552,"11","2","tn",".14"
"117","16301",117,16301,"14","12","tt",".35"
"118","12652",118,12652,"9","7","tt",".27"
"119","4124",119,4124,"9","1","tt",".9"
"120","10674",120,10674,"12","10","tn",".23"
"121","3470",121,3470,"11","7","nn",".8"
"122","11404",122,11404,"13","1","tt",".24"
"123","8857",123,8857,"6","5","nt",".19"
"124","10462",124,10462,"2","1","tn",".22"
"125","20331",125,20331,"1","0","tt",".43"
"126","17581",126,17581,"13","12","nn",".37"
"127","15918",127,15918,"13","10","nt",".34"
"128","7093",128,7093,"7","0","nt",".15"
"129","5579",129,5579,"9","4","nt",".12"
"130","20865",130,20865,"9","7","nn",".44"
"131","17170",131,17170,"12","6","nn",".37"
"132","8718",132,8718,"14","11","nt",".19"
"133","841",133,841,"11","5","tt",".2"
"134","1150",134,1150,"3","1","nn",".3"
"135","22410",135,22410,"11","6","nt",".48"
"136","9359",136,9359,"14","0","tt",".20"
"137","14438",137,14438,"14","3","tt",".31"
"138","13672",138,13672,"13","0","nt",".29"
"139","1694",139,1694,"12","7","nt",".4"
"140","18230",140,18230,"14","5","nn",".39"
"141","9345",141,9345,"14","6","tn",".20"
"142","22143",142,22143,"11","9","nn",".47"
"143","6003",143,6003,"12","11","nn",".13"
"144","6738",144,6738,"8","7","nt",".15"
"145","9941",145,9941,"13","12","nn",".21"
"146","8228",146,8228,"14","11","nn",".18"
"147","7008",147,7008,"8","8","tn",".15"
"148","23686",148,23686,"6","4","nt",".50"
"149","10604",149,10604,"9","3","tn",".23"
"150","8383",150,8383,"11","6","tn",".18"
"151","14154",151,14154,"14","11","nt",".30"
"152","18327",152,18327,"1","0","tt",".39"
"153","6225",153,6225,"10","0","tn",".14"
"154","12822",154,12822,"2","0","tn",".27"
"155","23147",155,23147,"5","5","tt",".49"
"156","12470",156,12470,"10","4","tn",".27"
"157","12438",157,12438,"11","6","tt",".27"
"158","12739",158,12739,"12","6","tn",".27"
"159","17736",159,17736,"12","6","nn",".38"
"160","11221",160,11221,"14","5","tt",".24"
"161","19883",161,19883,"6","3","nn",".42"
"162","19332",162,19332,"13","6","tt",".41"
"163","15633",163,15633,"12","4","tt",".33"
"164","13573",164,13573,"14","5","nt",".29"
"165","20673",165,20673,"12","2","nt",".44"
"166","15001",166,15001,"13","12","tn",".32"
"167","4348",167,4348,"10","6","tt",".10"
"168","16481",168,16481,"9","5","nt",".35"
"169","4441",169,4441,"10","3","tn",".10"
"170","14643",170,14643,"1","0","nn",".31"
"171","5382",171,5382,"1","1","nn",".12"
"172","3833",172,3833,"7","5","tn",".9"
"173","14705",173,14705,"6","1","nn",".31"
"174","3660",174,3660,"11","5","nn",".8"
"175","6483",175,6483,"10","4","tn",".14"
"176","3121",176,3121,"12","10","nn",".7"
"177","4789",177,4789,"9","4","tt",".11"
"178","11926",178,11926,"9","4","tn",".26"
"179","20805",179,20805,"14","13","tt",".44"
"180","14143",180,14143,"6","5","tn",".30"
"181","4632",181,4632,"11","5","nn",".10"
"182","17406",182,17406,"7","3","tn",".37"
"183","16480",183,16480,"7","4","tt",".35"
"184","3114",184,3114,"3","0","nt",".7"
"185","6962",185,6962,"12","4","tt",".15"
"186","3328",186,3328,"13","0","nn",".7"
"187","14573",187,14573,"2","1","tt",".31"
"188","18473",188,18473,"13","8","nn",".39"
"189","18655",189,18655,"9","4","nn",".40"
"190","22011",190,22011,"7","5","nn",".47"
"191","16777",191,16777,"11","0","tt",".36"
"192","16414",192,16414,"7","1","tn",".35"
"193","17774",193,17774,"9","7","tn",".38"
"194","19336",194,19336,"9","0","tn",".41"
"195","17341",195,17341,"12","8","tt",".37"
"196","5476",196,5476,"13","3","tn",".12"
"197","21619",197,21619,"11","5","nt",".46"
"198","711",198,711,"14","2","tn",".2"
"199","3847",199,3847,"13","1","nt",".9"
"200","7187",200,7187,"13","6","nt",".16"
