"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
16384,4096,"tt",6745992072,371763433,289997090,6065217025,1023258525,51194156
5120,1024,"nn",25110323474,742,356,28722406197,252,34
131072,8192,"nn",6886984562,197336,61,18953306749,1043,49
32768,5120,"nt",7667181038,34747,33637,5458071909,913895358,48358775
7168,2048,"tt",8563722098,850372335,247658679,5138764680,1047366442,66573
262144,131072,"tt",5875839923,252891657,252885532,5871459195,252892195,252885510
7168,1024,"tt",11097401353,850370235,408820861,5132819911,1047778268,21466
3072,3072,"nn",28594425530,220,44,28778921831,409,0
6144,6144,"tt",12663546523,740332827,457330094,13967794157,740579862,540597731
7168,5120,"tt",16422563420,850394021,659134111,13869119475,913922105,470762765
8192,16,"tt",9112224715,722326519,334888104,6645693832,338663,337966
65536,4096,"tt",5544387654,262765197,258304571,6061621051,1023306296,47089501
131072,8192,"tt",5653536024,252422947,252413123,6681656449,722603254,156497589
5120,16,"nt",23808096521,508,134,6578207766,735,294
7168,16,"nt",22119908088,588,109,6557613841,544,324
262144,7168,"nn",6775360985,483121,4364,22175274381,876,74
65536,12288,"tt",6176788481,262675910,262665454,8397648290,457043147,342118686
8192,7168,"tn",10642594679,722328008,370095521,22908659040,225259,222368
65536,5120,"tn",6144024352,262675586,262526325,24296245065,214090,210306
16384,7168,"nt",10277526390,163670,161200,11185396133,850368757,360626372
4096,4096,"tt",9928405072,1023303999,282077757,7472248319,1023282745,123534283
7168,2048,"nt",22125835755,458,11,5112868629,1047364636,35789
131072,65536,"nt",7032770409,464284,440884,6211801130,262671874,262527074
262144,12288,"tn",5824078858,252193708,252186191,12367806940,291723,290997
8192,2048,"nn",19768610062,585,264,28334215022,243,50
131072,7168,"tn",5841188370,252189716,252163821,22652559954,178245,177359
5120,4096,"nn",25060397179,446,96,28178762763,409,31
2048,1024,"nn",28993954976,187,27,29170484364,171,14
32768,6144,"nt",8030789437,101498,99741,8029672750,740311695,219308396
8192,6144,"tt",12009432726,722650669,485086688,6591371801,740313667,141485115
131072,65536,"nt",6948801169,480612,465640,5853643802,262695355,245398776
131072,1024,"tn",5818794994,252195291,251857643,27982147352,470,335
5120,16,"nn",24985715977,522,132,111594523978,265,15
262144,16,"nn",6768863883,482182,12735,109410358377,199,14
32768,6144,"tn",5785488088,290531180,234555865,19735603871,342061,341036
8192,16,"tn",10642375556,722327678,370905170,110396275871,12910,12296
32768,2048,"nt",7544820676,1442,134,5112916953,1047364591,38212
131072,65536,"nn",6878594647,170597,68,7095754823,10563,7
16384,7168,"nn",10146810174,803,117,22656154236,854,370
65536,6144,"tt",5590326902,262779872,259411031,4927066260,740365221,50810854
12288,6144,"tn",5776287577,457039352,181791385,19684272349,206521,204450
65536,16384,"nt",7184628180,417759,414854,5784497949,371679069,208430467
32768,16384,"nn",7867371763,1369,107,9956613463,859,20
16384,7168,"nn",10125759613,1255,605,22456827360,824,212
8192,2048,"nt",18797451716,615,156,5114527668,1047364629,125304
2048,2048,"tn",5038048037,1047364603,102426,27594685224,330,16
8192,16,"nn",19758395651,502,34,110240684443,211,28
2048,16,"tn",5036053850,1047364614,37189,110512359783,246,19
6144,1024,"tn",7210758382,740319132,185102439,28058620022,9826,9640
131072,65536,"tt",5887551570,252239645,252231158,6078773937,262738802,262236457
131072,131072,"nn",6877410337,175196,28,6822016059,167325,61
16384,16,"tn",5707932631,371678322,207624514,110568281606,2427,2255
7168,16,"nn",22987872396,483,159,110161261239,173,1
131072,65536,"nn",6881922252,180910,63,7097325346,5250,3
3072,3072,"nn",28455509760,282,27,28664477086,332,8
32768,32768,"tn",5783902204,290528202,234473203,7981578806,426466,424471
131072,4096,"nt",6548544561,185403,14473,5334692595,1023246175,17285059
8192,4096,"nn",19747579966,576,208,27756465538,526,108
16384,16,"tt",5264720830,371722329,207430359,6629950272,250261,250008
3072,16,"nn",28566591251,228,63,114293448895,247,49
6144,2048,"tn",6323533679,740318302,139281314,27854995538,8434,8198
131072,16384,"nt",6956017853,437671,415685,5802915632,371676140,208397012
32768,2048,"tt",5512668082,290531273,251994154,5135586511,1047365655,147881
65536,1024,"nt",6791829360,4967,161,5117510443,1047773014,155487
4096,4096,"nn",28178934488,377,23,28300291072,734,7
8192,4096,"nt",18819122936,1407,774,5378838579,1023247145,19310955
6144,6144,"nn",20366770324,425,102,20459624104,878,132
16384,12288,"nt",10007115696,320592,318730,5812326535,457041830,180863447
131072,1024,"tt",5194138732,252186947,251035070,5131099707,1047774367,70069
131072,6144,"tt",5210951634,252190764,251575424,3723599719,740308525,1489663
12288,6144,"tt",9036603912,457509117,371169897,8462294971,740314809,239349287
7168,1024,"tt",6480867579,850373945,117924081,5132159282,1047775942,28233
6144,6144,"nt",19325342948,36306,35683,4588596565,740310085,37339797
65536,8192,"tn",5802400061,262695094,245303610,19209214614,312798,312392
2048,16,"nt",27500937168,182,3,6574340282,657,273
6144,1024,"nt",19239632418,591,182,5117267068,1047774025,143355
16384,2048,"tt",5930960103,371685510,248509751,5140913055,1047365807,57945
16384,2048,"nt",9675803765,845,184,5112828900,1047364670,38962
7168,6144,"tn",5755619546,850362174,65963480,19452156959,122299,121316
65536,1024,"nn",7145102322,5574,443,27774185586,171,18
16384,5120,"tn",5745630246,371677242,208133679,24237488781,145892,144028
4096,2048,"nn",28334234386,428,43,29283913907,225,29
262144,8192,"tn",5815160925,252187033,252177557,19293318388,55480,55005
65536,6144,"nt",6975090159,90944,87647,5144078707,740310629,63075641
12288,3072,"nn",12636835905,642,279,27923160967,494,33
5120,5120,"tt",8878721884,914176831,243755080,6573026266,913909942,90838756
32768,16384,"tt",6720921731,291029182,284818513,6200873562,372255287,233142888
262144,5120,"tt",5197026673,252190440,252183816,4507427335,913895241,259877
262144,2048,"nt",6494303394,482100,14477,5116025957,1047364750,194081
262144,5120,"tt",5200351231,252191079,252185459,4515354257,913894767,378907
12288,16,"nt",11915575395,716,4,6568430765,575,387
131072,8192,"nt",7044662644,312206,281291,11178316645,722321453,411591108
131072,131072,"nt",6948522080,467104,443485,5875302685,252190438,250160187
6144,1024,"nn",20351379217,447,59,28845819414,179,9
5120,1024,"tn",7234785104,913896479,142926876,28046148086,262,36
32768,4096,"nt",7543714641,1580,213,5003858062,1023248403,313723
32768,16,"nn",7896053259,1381,32,108699409351,284,14
131072,65536,"nn",6876022325,183021,46,7093967314,8878,10
8192,16,"tt",9843399237,722325986,376520059,6712375423,790321,789463
12288,7168,"nt",12549872640,515630,513700,10733027090,850375437,334620752
131072,16,"nn",6929317477,163526,4039,109428704840,221,4
12288,7168,"tt",10001749318,457627389,413239334,12524080009,850373323,428062480
7168,16,"tt",5648209322,850374384,73917017,6616444891,279514,279037
262144,262144,"nn",6769444729,484751,22789,6747909029,485016,22686
65536,8192,"nt",7047391810,118782,115378,5733422783,722318897,96106107
5120,4096,"nn",25099396558,391,70,28479901040,442,8
12288,16,"nt",11868770257,606,7,6565552210,931,376
16384,5120,"nn",10109069936,751,157,24115265066,497,103
8192,4096,"nt",18760730408,992,639,5001129764,1023245933,250445
