"sizea","sizeb","temp","coresa","pkga","coresb","pkgb"
32768,3072,"nt",126939299840,214300884992,107382308864,168998207488
7168,5120,"tt",135260274688,223260966912,102225149952,158688346112
16384,6144,"nn",167318126592,285382803456,251521138688,480325926912
7168,7168,"tn",87757160448,138236919808,243964837888,500038631424
12288,12288,"tt",137409855488,236992331776,116887388160,192871137280
262144,6144,"tn",101987647488,171865276416,223117312000,452459757568
5120,4096,"nn",414463819776,706186838016,440920965120,767427870720
16384,2048,"nn",168428306432,286750146560,324787240960,648641773568
131072,12288,"tn",101353259008,170864672768,158057889792,302061977600
65536,7168,"tt",105672867840,170569760768,97584152576,152661131264
262144,131072,"tt",105677062144,176699211776,105785589760,176897392640
8192,2048,"tn",80670359552,128242679808,289381810176,611246669824
7168,3072,"nt",254080450560,509660364800,107006132224,168663187456
65536,7168,"nn",119022288896,202824482816,253095313408,512682885120
262144,262144,"nt",112247963648,194401009664,103476887552,174116569088
131072,65536,"nn",114475139072,194911141888,116981497856,200659435520
1024,16,"nn",474994966528,808556953600,1205546778624,2502346932224
7168,16,"nn",396779323392,675809591296,1158155862016,2438855393280
4096,16,"tt",114976620544,171653464064,134402015232,210958811136
262144,16,"tt",102656114688,162278408192,122832551936,203029217280
65536,1024,"tn",101055201280,170022666240,298654892032,627113459712
131072,65536,"tt",106934304768,178751537152,108765380608,182729572352
8192,3072,"tt",135872643072,217774030848,117070102528,180411695104
262144,65536,"tt",106739531776,178285182976,108862898176,182876110848
262144,3072,"nt",118636150784,194783215616,107521507328,169160998912
12288,12288,"tn",100931993600,167198851072,160022396928,303867101184
32768,16,"nt",136037007360,221063675904,131203596288,209830805504
3072,16,"tn",105667887104,166225772544,1026271477760,2295701700608
131072,5120,"nt",111147483136,187017986048,95254216704,150152413184
16384,6144,"tn",99253747712,165689688064,223423234048,452922179584
65536,16,"tn",100341907456,168695955456,1015833690112,2292973830144
5120,4096,"tn",94204067840,148281491456,291765223424,605598777344
16384,6144,"tt",107123310592,182347628544,82401558528,128646381568
6144,16,"nt",238620246016,458908762112,130706571264,208910680064
