"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
16384,4096,"tt",6042917246,371682284,285639441,5134315048,1042192774,253710
5120,1024,"nn",26971857563,392,43,27424132919,180,6
131072,8192,"nn",6453187299,188190,279,22913144771,1648,659
32768,5120,"nt",7179898974,1408,1036,5095935541,1038493573,99576
7168,2048,"tt",7660585904,1126158506,135208064,5148578536,1048578065,75349
262144,131072,"tt",5494546041,252284293,252277742,5499274950,252300509,252294385
7168,1024,"tt",7652604297,1126159510,136531045,5143739140,1048583584,137221
3072,3072,"nn",27339171956,283,3,27336724583,501,40
6144,6144,"tt",5226417409,1063775392,1755566,8869607162,1063794569,244517190
7168,5120,"tt",6406547692,1126162142,28451229,9811688353,1038557338,309565948
8192,0,"tt",5253619099,919309939,34448922,2182,52,37
65536,4096,"tt",5126850289,262698181,260013266,5121683784,1042188569,332308
131072,8192,"tt",5280218758,252279755,252276520,6533176110,919339007,85036281
5120,0,"nt",25844532950,474,3,2493,60,39
7168,0,"nt",27945387473,604,2,2153,59,41
262144,7168,"nn",6463968576,480870,104,28037306455,1172,21
65536,12288,"tt",5774796026,263285280,263281739,5911928295,463958530,211643248
8192,7168,"tn",5236235562,919309993,26371950,28141749763,408784,406912
65536,5120,"tn",5464050329,262691456,245501269,26178701312,65990,65444
16384,7168,"nt",9199339965,3971,3608,5530977933,1126153480,204254
4096,4096,"tt",5126408717,1042199159,1451569,5803757763,1042195296,33637120
7168,2048,"nt",27924452725,604,54,5121347444,1048577044,71189
131072,65536,"nt",6557266133,458716,423222,5523825738,262692106,245488618
262144,12288,"tn",5547795059,252164543,252156227,11867724807,443000,440229
8192,2048,"nn",23883086410,535,71,27378568950,284,8
131072,7168,"tn",5496119722,252186946,250247244,28383649606,252726,252095
5120,4096,"nn",27061833524,360,41,27387330882,548,14
2048,1024,"nn",27766859142,188,40,27803817110,181,13
32768,6144,"nt",7178667002,1628,1121,5220616915,1063772483,129473
8192,6144,"tt",7444374778,919358678,150547154,10795464396,1063936495,342094016
131072,65536,"nt",6556262792,473619,450420,5526720972,262693575,245340045
131072,1024,"tn",5492331336,252188988,250239637,26671812414,506,334
5120,0,"nn",25833796685,356,5,2225,57,37
262144,0,"nn",6205452555,480192,90,2289,39,32
32768,6144,"tn",5399556349,290527812,234527806,26791068658,346262,345035
8192,0,"tn",5522906671,919311184,51004285,2179,46,30
32768,2048,"nt",7177532376,1335,56,5120053069,1048577139,35674
131072,65536,"nn",6465848439,167332,74,6734509904,9319,32
16384,7168,"nn",9587069781,768,75,28202145346,1543,516
65536,6144,"tt",5181956417,262702248,262515984,5274665375,1063787782,1389979
12288,6144,"tn",5284199793,462946587,181599222,26804684364,386486,383493
65536,16384,"nt",6783547490,428998,427606,5325600839,371676909,206829499
32768,16384,"nn",7499111367,1374,71,9568882977,1304,15
16384,7168,"nn",9553891418,727,98,28208572569,1209,10
8192,2048,"nt",22816623169,563,3,5123153296,1048576992,170915
2048,2048,"tn",5044283691,1048577255,35630,26338051473,321,10
8192,0,"nn",22824250013,1194,777,2054,42,36
2048,0,"tn",5032609507,1048577186,35438,2389,53,36
6144,1024,"tn",5144746920,1063772889,128898,26677426620,186,46
131072,65536,"tt",5614550776,253445733,253439793,5784527921,263962266,260190309
131072,131072,"nn",6465207649,152761,128,6471630204,137781,80
16384,0,"tn",4838062784,371678086,206150536,2480,46,37
7168,0,"nn",27895049681,564,64,2074,51,39
131072,65536,"nn",6460784687,190783,1071,6729693320,7218,112
3072,3072,"nn",27230222422,272,45,27245823003,443,43
32768,32768,"tn",5395261491,290527588,234393413,7526301026,427472,425179
131072,4096,"nt",6217560290,186471,1577,5091529320,1042183134,72949
8192,4096,"nn",23858291485,605,44,27196785310,467,13
16384,0,"tt",4836193765,371678622,206347363,2082,58,43
3072,0,"nn",26025950050,385,26,2071,47,37
