"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
131072,24576,"nn",6478370324,1097,62,10380230649,889,9
262144,131072,"tn",6111474135,315200081,306654486,6567944348,12950,537
524288,262144,"nn",5612550080,110623,217,6234746986,10060,10
14336,2048,"tn",2470234884,333247701,23343308,20495682145,251,77
14336,8192,"nn",6543352228,125,17,14764992361,334,11
32768,16384,"tn",6944947128,404496992,323700574,7228568008,1475,303
65536,16384,"nt",6746226464,742,222,2906361516,362468544,44915918
131072,2048,"tn",6239066393,329909669,312393395,20596607217,565,164
20480,16,"nn",10764562325,155,15,1916,41,12
524288,24576,"nn",5612247654,120072,147,10368248335,849,2
2048,2048,"nt",20230866922,82,12,6441683340,1039642499,46815
524288,8192,"tn",5740745015,285781909,282139620,14790923738,3266,1497
524288,8192,"tn",5715442641,285781406,281873827,14791674886,2712,1432
16384,6144,"nn",7117870647,100,47,19339695076,296,8
4096,2048,"nt",19717384840,918,829,6344929083,1016825790,54904
6144,4096,"nn",19340836524,130,5,20231897923,207,7
32768,4096,"nn",7933843230,138,43,31988483661,299,288
4096,16,"nt",19712716722,118,12,1869,26,12
14336,4096,"tn",2319295412,333248125,21147836,19996844875,371,111
20480,16,"nn",10764874800,70,6,1953,36,21
524288,20480,"tn",5706076135,285781661,281862826,11018888370,4161,530
262144,20480,"nn",6189639776,6669,116,10989970036,807,67
524288,6144,"nn",5612385045,122299,76,19319559682,322,10
262144,4096,"nt",6084333191,7505,2191,6370332085,1020137063,121557
524288,262144,"tt",5776927813,285781532,285146415,6312035371,315200467,304052831
65536,32768,"tt",6795621063,347769342,346022017,7302559606,404498074,335027234
24576,16,"tt",7219683419,526763502,263451513,2746,28,26
65536,65536,"tn",6238886855,347769587,303302241,6922109849,4610,547
24576,16,"tn",6974955913,526763797,242353342,1655,29,15
262144,12288,"tt",6625758271,315203298,304367974,5208500587,389856354,42111996
65536,14336,"tt",6422630918,347772521,324463253,2425659662,333251649,20995229
4096,4096,"nt",19965798607,163,11,6323763822,1020201914,117995
131072,20480,"nn",6510116307,805,63,17508605893,712,685
20480,14336,"tt",8005845283,558154067,233667890,2580033717,333249911,32666947
12288,16,"tn",6704183079,390054805,14617595,2041,40,27
32768,16384,"nn",7928915082,164,10,7178597471,571,34
20480,16,"tn",7537459284,558153569,143477419,1948,37,2
8192,2048,"nn",14748508068,117,36,20669040490,177,32
262144,12288,"nn",6189499524,5647,101,7703486824,459,12
8192,16,"nn",14485486528,108,2,1811,38,6
12288,12288,"nn",7658826241,82,6,7724166993,444,2
524288,32768,"nt",5646950966,154034,63922,6700914654,404498581,293649367
131072,65536,"nn",6478551746,1965,84,6882165317,2124,25
524288,4096,"nn",5612188787,111391,228,20047928853,196,3
14336,8192,"nn",6543663806,79,16,14764160442,329,12
6144,4096,"tt",8673609886,983303438,5026735,6406561567,1020208354,165145
32768,20480,"tt",7651891610,404502134,385501275,6368928269,558154315,196489144
65536,8192,"tn",6234279673,347768210,303915414,14803986061,825,54
20480,4096,"tn",5427012997,558148420,143025793,20063246615,355,130
24576,4096,"nn",10344858881,142,29,20110594108,189,5
131072,8192,"tn",6262183145,329908686,314311125,14803748292,1571,112
65536,14336,"tt",6431948856,347772563,324118641,2367706697,333250694,15961640
2048,16,"tn",6369814722,1025499051,48304,2489,18,14
20480,2048,"tn",5501780388,558150833,147431935,32668153089,138,112
20480,4096,"nt",10791190584,148,13,6323437314,1020201815,108810
524288,6144,"nt",5534513168,135886,557,6112308849,983279831,241408
262144,65536,"nt",6206325020,19918,2110,6549062143,347769726,315359220
14336,14336,"tn",2322278262,333248763,21294290,6532735324,674,117
65536,65536,"tt",6454138838,347769121,306037549,6730015485,347770290,322583495
24576,14336,"tt",7483878124,526765617,297018700,2676733235,333250672,38951272
16384,12288,"tn",2851043807,362469920,46410903,7658671933,774,142
12288,16,"nn",7521485095,94,6,1942,38,16
16384,6144,"tn",2840692430,362469050,45781714,19282306105,499,81
14336,2048,"nt",6451658434,135,7,6195348874,984231411,45281
24576,14336,"tn",6375004516,526761427,224700976,6641008705,748,62
32768,32768,"nt",7942576772,1094,51,6675829082,404497177,294362626
20480,14336,"tn",5409862755,558150551,141679765,6608644414,733,157
524288,524288,"nt",5610932226,187886,17432,5858250710,285781515,280661000
65536,2048,"nn",6829050614,212,46,20563417104,156,8
524288,65536,"nn",5612065817,110344,99,6870262458,2145,29
65536,16,"tt",6570636482,347768678,338399329,2123,35,13
131072,65536,"tn",6264714015,329909001,314389727,6922667175,6262,105
24576,2048,"tn",6895138588,526762105,261688261,20615253229,266,63
12288,12288,"tt",2788450692,390052325,28057371,6015496084,390055092,126909177
32768,32768,"tn",6673173372,404495587,301892029,8041181605,1622,97
131072,16,"nn",6362605896,849,12,1880,38,13
6144,2048,"tn",6173732923,983266786,452880,20495872431,198,13
65536,20480,"tt",6762875307,347772339,347041075,6674897523,558152553,217586301
24576,8192,"nn",10344398434,74,28,14815886991,330,3
14336,12288,"nn",6536151679,103,26,12286509081,506,465
20480,8192,"tt",8058519765,558155933,277985631,4688884426,751208450,1432621
131072,131072,"nn",6474564156,2799,146,10418018102,4605,4393
32768,20480,"nt",7899564373,1109,511,5901237530,558151976,147998952
32768,16384,"tt",7235290839,404499440,351987226,3325672731,362471073,71013369
262144,131072,"tt",6328019195,315200817,314438949,6449311350,329910073,302715217
20480,4096,"nn",10960662353,118,36,20119923156,178,5
32768,8192,"nt",7822718748,235,26,4669739015,751204974,1492713
24576,4096,"nn",10344670891,119,10,20112705317,200,7
524288,14336,"tt",5947515689,285783081,284253913,4214729163,333250562,147297175
2048,2048,"tt",6511998580,1039403856,48733,6372721589,1023225060,56526
20480,12288,"nn",10902739355,80,5,7723922344,453,10
4096,2048,"nt",19738898971,103,10,6412864626,1034821335,40978
131072,12288,"nn",6478034113,1072,51,7706813432,508,2
65536,20480,"tn",6523965077,347768708,327183608,11039285279,2054,177
32768,6144,"nn",7943160685,105,12,19350972944,274,9
524288,16,"nn",5511883202,111910,46,1892,31,3
131072,4096,"nt",6387631743,1116,38,6323735312,1020201984,113439
8192,8192,"tt",5792964614,751209850,1822271,5969335353,751076952,2115378
24576,16,"nn",10159215685,123,18,1867,39,20
524288,65536,"nt",5639683578,148947,55858,6422660772,347769393,299320934
524288,65536,"tn",5703801590,285781713,281707012,6907937932,8521,2485
14336,8192,"tn",2362208855,333248905,24237172,14701885289,395,80
32768,14336,"tn",6768493729,404497251,289001110,6610696642,902,164
12288,8192,"tn",2538707474,390048130,10071043,14693901909,460,63
14336,16,"tt",6846986826,333251294,25594821,2038,39,11
32768,4096,"nn",7943539279,108,37,20079817149,210,10
524288,8192,"tt",6536583780,285783619,283841476,4660585647,751206674,371729
524288,32768,"nn",5612525941,128835,485,7979453231,1089,16
4096,2048,"tt",6453133596,1020202066,153222,6081857983,968235661,58817
32768,32768,"nn",7941530546,154,18,8013190785,1160,55
24576,4096,"tn",6441925064,526761816,229602697,20102892535,468,166
65536,65536,"tn",6250618591,347768760,303349210,6922793409,4115,233
16384,16384,"tn",3399528808,362469532,44121740,7120761459,790,150
20480,8192,"nt",10787845225,145,18,4699880185,751204523,3988647
32768,14336,"nn",7919518152,163,6,6600078904,574,20
524288,24576,"tn",5726575213,285780935,281750223,10406925140,4941,2468
8192,6144,"nt",14510185897,224,12,6097222156,983255757,217452
32768,16384,"tt",7311027850,404499054,357711463,3223079688,362471269,63744734
24576,16384,"tn",6580412452,526762228,239521779,7213599550,895,226
8192,16,"nn",14485775417,113,7,1782,36,9
262144,65536,"nn",6189406698,6916,242,6878051548,2151,12
262144,14336,"nt",6104162555,6555,2789,2398025248,333249196,23757369
24576,2048,"nn",10344071969,111,35,20610644628,167,4
14336,4096,"tt",6840655115,333254211,24071260,6372706949,1020138484,134697
65536,32768,"tt",6199265502,347783351,300330179,9370075752,403978829,253497138
24576,8192,"nn",10343668126,120,35,14816053835,326,7
524288,32768,"nn",5612269985,123850,114,7979188643,1088,17
6144,16,"nt",18994110093,110,7,2199,37,19
131072,14336,"nn",6478440234,927,36,6598415323,528,8
