"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
131072,24576,"nn",6909165960,1834,626,11026398072,875,73
262144,131072,"tn",6986053250,315203305,306366644,6978898854,16755,6848
524288,262144,"nn",5985388717,157521,658,6628489868,10500,1745
14336,2048,"tn",2950418590,333251918,48085611,21760737735,407,194
14336,8192,"nn",6979981247,151,63,15673591751,333,14
32768,16384,"tn",8075476208,404511386,365716641,7684494697,1168,395
65536,16384,"nt",7217396171,1883,1098,3718980428,362474963,82691536
131072,2048,"tn",6925617880,329913183,316341382,21852227778,667,147
20480,16,"nn",11458535521,235,36,2193,27,19
524288,24576,"nn",5985941273,161867,945,11010482699,901,101
2048,2048,"nt",21575069097,118,15,7087488378,1001804258,52640
524288,8192,"tn",6327524294,285784190,282221935,15695687623,2400,1036
524288,8192,"tn",6326150574,285784289,282233623,15695784652,2405,1336
16384,6144,"nn",7591922829,226,89,20524439254,308,10
4096,2048,"nt",21052473388,96,9,7210841904,1024269440,47906
6144,4096,"nn",20630264413,183,41,21514801696,229,11
32768,4096,"nn",8471027891,142,17,21310530708,207,7
4096,16,"nt",20983525640,132,15,2064,27,1
14336,4096,"tn",2984985566,333252437,50683973,21229782263,509,214
20480,16,"nn",11458204911,183,39,2237,46,16
524288,20480,"tn",6330728214,285783917,282495119,11699625359,4158,1618
262144,20480,"nn",6602808033,6632,1242,11671292389,704,24
524288,6144,"nn",5985623962,142651,577,20497305104,302,28
262144,4096,"nt",6532786241,7287,1032,7182953933,1020204015,114708
524288,262144,"tt",6357033414,285784468,285159022,6789784614,315205079,306529950
65536,32768,"tt",7529422111,347775747,347039218,7864199270,404512836,342220472
24576,16,"tt",9856952320,526783055,439997882,2171,40,27
65536,65536,"tn",7139775558,347775052,325578962,7365073532,4387,2735
24576,16,"tn",9822084027,526781140,438333892,2052,26,17
262144,12288,"tt",7164780530,315206259,311170075,3357141556,390054477,29548305
65536,14336,"tt",7233570324,347777274,329958784,3379224531,333254891,69790171
4096,4096,"nt",21052842293,205,76,7184387731,1020202746,114555
131072,20480,"nn",6910075957,1680,185,11676273965,798,57
20480,14336,"tt",8883035635,558166849,347075736,4290350817,333255790,133098084
12288,16,"tn",8926850612,390063584,30738909,2442,32,20
32768,16384,"nn",8455520473,197,75,7635702459,594,73
20480,16,"tn",7655097185,558163155,263886684,2139,35,18
8192,2048,"nn",15776247777,135,71,21946050407,147,10
262144,12288,"nn",6600531710,6620,1584,8188695039,462,36
8192,16,"nn",15419566172,126,41,2308,40,31
12288,12288,"nn",8167426289,152,62,8215256666,449,20
524288,32768,"nt",6020502242,189968,114478,7437493502,404512037,316833249
131072,65536,"nn",6909681383,2227,1139,7319169158,2124,257
524288,4096,"nn",5985333727,134104,621,21268728159,168,18
14336,8192,"nn",6979393205,130,80,15672909713,338,20
6144,4096,"tt",11697338841,983518107,16979282,7240919893,1020210339,153354
32768,20480,"tt",8691103760,404513887,401585089,8698075140,558166954,326660259
65536,8192,"tn",7010416665,347774722,316874434,15718964950,1189,265
20480,4096,"tn",7418007261,558161998,249559851,21356216074,427,120
24576,4096,"nn",11075688262,142,62,21335841213,235,17
131072,8192,"tn",6968439028,329913092,319043572,15710277672,1643,353
65536,14336,"tt",7186028323,347776523,333981762,3464169080,333255266,75698896
2048,16,"tn",7094354589,1006569281,49238,1998,31,15
20480,2048,"tn",7345199403,558161993,244632033,21876714023,424,171
20480,4096,"nt",11526681139,252,18,7183664931,1020203135,115840
524288,6144,"nt",5923925378,168731,2269,6960086928,983415507,396739
262144,65536,"nt",6628993629,33421,10689,7159643146,347775342,316755910
14336,14336,"tn",2951628808,333251998,48192421,6963397530,2465,1252
65536,65536,"tt",7266424772,347775243,327421061,7345857767,347776111,329169092
24576,14336,"tt",9395702877,526781144,403123321,3672175705,333254297,91013376
16384,12288,"tn",3632492688,362474469,80825360,8162168304,1539,520
12288,16,"nn",8006482498,157,35,4293,35,24
16384,6144,"tn",3639578711,362474155,81416202,20481438053,1639,847
14336,2048,"nt",6906657449,206,52,7311582595,1038766393,47008
24576,14336,"tn",9084471772,526779757,381102377,7070909608,1254,747
32768,32768,"nt",8495047872,1143,70,7811387866,404512494,342359750
20480,14336,"tn",7373604767,558163510,246261031,7073912341,1992,1460
524288,524288,"nt",5995839089,249911,73107,6349948642,285784947,281192301
65536,2048,"nn",7283431218,532,232,21819683323,178,21
524288,65536,"nn",5986252807,151922,539,7303420790,2314,218
65536,16,"tt",7319165115,347775094,336627535,2369,39,32
131072,65536,"tn",6890261848,329912770,313796865,7355892194,8556,451
24576,2048,"tn",9424727115,526780179,401630973,21927652971,314,92
12288,12288,"tt",3784257507,390055099,74885094,8246326804,390063944,178865031
32768,32768,"tn",7715898687,404511355,340854397,8559000521,1706,267
131072,16,"nn",6772373345,1491,247,13547,36,32
6144,2048,"tn",7012702429,983418375,3234308,21776064685,150,14
65536,20480,"tt",7520701743,347776401,347484428,8638204534,558165878,313191246
24576,8192,"nn",11034367177,322,112,15740704378,437,92
14336,12288,"nn",6979494204,93,26,8195504931,479,25
20480,8192,"tt",8905265619,558169700,351274020,5438527394,751215229,10489716
131072,131072,"nn",6910933704,3644,2123,6950132012,4185,637
32768,20480,"nt",8493250872,2021,1464,7861469288,558163730,273006080
32768,16384,"tt",8173050315,404513299,370785076,5001041526,362477817,167683944
262144,131072,"tt",6990681093,315203697,314514861,7011733586,329915071,310143178
20480,4096,"nn",11691007918,133,42,21365318310,218,24
32768,8192,"nt",8360536224,992,510,5343426217,751209851,6222678
24576,4096,"nn",11033461594,226,55,21354291087,215,8
524288,14336,"tt",6615579727,285786705,285128620,4288944816,333255872,127064567
2048,2048,"tt",6846162780,961413204,49752,7279251191,1027064158,57391
20480,12288,"nn",11620894007,154,30,8215646759,439,35
4096,2048,"nt",21053770011,164,21,7347136382,1043544854,46170
131072,12288,"nn",6909790027,1517,423,8193539830,483,43
65536,20480,"tn",7197398937,347774885,329378509,11723688469,1514,562
32768,6144,"nn",8471310254,251,90,20539225192,245,34
524288,16,"nn",5867260520,148906,690,2250,46,31
131072,4096,"nt",6837085020,1634,842,7183441108,1020202878,114180
8192,8192,"tt",5669728127,751210561,19160896,9522602589,751217949,190607873
24576,16,"nn",11017526597,183,54,2225,26,20
524288,65536,"nt",6013741185,188124,104106,6945203676,347775118,307538038
524288,65536,"tn",6321727164,285784146,281857765,7341144889,10909,6320
14336,8192,"tn",2919095758,333251824,46148742,15615952610,1978,1153
32768,14336,"tn",7807030718,404511440,348224189,7066180476,724,173
12288,8192,"tn",3102598449,390051757,31734473,15612308934,813,265
14336,16,"tt",6059774788,333257733,47615350,1852,20,5
32768,4096,"nn",8472066329,211,72,21311290109,194,13
524288,8192,"tt",7585620535,285786693,284110854,5296469449,751212172,316896
524288,32768,"nn",5985674402,160460,362,8478232940,1196,68
4096,2048,"tt",7440196396,1020203352,249793,7405394997,1038801690,73469
32768,32768,"nn",8472248000,248,83,8520653884,1106,54
24576,4096,"tn",9700620211,526780631,420577504,21405409193,271,22
65536,65536,"tn",7119930706,347775032,324224496,7364268661,4748,1341
16384,16384,"tn",3608939491,362473959,79275718,7588510446,1495,569
20480,8192,"nt",11514736978,1446,651,5328033838,751210321,4490342
32768,14336,"nn",8443121662,200,25,7019703063,514,74
524288,24576,"tn",6321781823,285784539,281998438,11048139828,4979,2900
8192,6144,"nt",15486539199,208,36,6933319880,983412161,959186
32768,16384,"tt",7992625428,404513711,359286462,4461495539,362476953,130615578
24576,16384,"tn",9450974732,526780386,406061899,7692565440,1724,825
8192,16,"nn",15419575445,88,18,2018,41,22
262144,65536,"nn",6601248272,7648,2401,7313364601,2219,257
262144,14336,"nt",6527573488,9330,6290,2977944930,333252036,47381007
24576,2048,"nn",11033219595,220,58,21882310173,152,6
14336,4096,"tt",4492258675,333258839,150643684,7196826835,1020204825,123833
65536,32768,"tt",7509220430,347775871,345993270,7282881615,404511976,302226617
24576,8192,"nn",10987708016,249,87,15848630817,431,42
524288,32768,"nn",5985745108,162650,1548,8477784777,1105,133
6144,16,"nt",20218569034,118,52,2150,41,35
131072,14336,"nn",6909793698,2218,552,7018087860,528,18
32768,2048,"tn",8112774328,404511408,367725595,21887617835,265,36
262144,4096,"tn",6773696741,315203476,306861634,21318191701,1190,461
14336,6144,"tt",5145573305,333257144,198872158,7154293016,983308876,2118451
20480,16,"tt",7412433784,558163011,247243240,4832,40,33
14336,8192,"nn",6920377993,180,65,15814875843,363,33
6144,16,"nn",20218531346,168,17,1853,40,3
65536,16384,"tn",7162075216,347775180,327082397,7670921826,1694,321
24576,24576,"tn",9930241530,526781341,436667749,11168642194,1976,1015
262144,262144,"nn",6602179863,13614,5377,6639770408,12532,1985
524288,12288,"tn",6324831665,285784260,282100622,8216456154,2235,1143
24576,6144,"nt",10879944614,328,111,6933137728,983406361,794034
20480,16384,"nn",11610604787,249,62,7635677929,589,69
131072,20480,"tt",7169704510,329913341,329754872,9250838205,558167469,362454336
20480,8192,"nn",11690594344,189,58,15753581881,330,12
24576,4096,"tt",9016823835,526781249,376265450,7196500446,1020205052,129876
8192,6144,"nn",15732848891,236,74,20663261156,317,68
65536,14336,"nt",7199277631,2565,1428,2977695600,333252574,47223979
2048,2048,"nn",21942778592,138,45,22067332941,202,16
524288,131072,"tn",6319951619,285784226,281865452,6969367986,21395,9089
131072,14336,"nt",6831399406,4114,2464,2984717088,333252311,47649200
262144,12288,"tn",6767728255,315203596,306554155,8226796854,1812,1027
65536,32768,"tt",7537363587,347775924,347027086,7794095808,404514655,337179386
131072,4096,"tt",7332104778,329915070,327713993,7179802260,1020204178,127886
20480,6144,"nn",11691096535,100,46,20594506883,274,18
524288,14336,"nn",5985047202,145750,399,7002035011,514,21
12288,6144,"tt",5527273920,390059730,195639351,7124408569,983313029,1788946
16384,6144,"tn",3657291811,362474017,82502562,20481878459,1467,558
65536,8192,"nn",7284296531,445,170,15678239326,374,92
524288,16384,"tt",6695091200,285786336,285243541,5028261709,362478024,167022945
14336,2048,"tn",2953829971,333251803,48194727,21762712746,285,110
262144,2048,"nt",6532541687,6194,975,7280540862,1034485684,45754
65536,4096,"tn",7168990163,347774557,327501783,21333248310,718,165
524288,524288,"nt",5999709641,212235,73068,6299715692,285785123,281287474
24576,24576,"nn",11031726053,159,59,11096158444,889,35
524288,131072,"tn",6317890833,285784443,281810581,6969552391,21453,10439
2048,16,"tt",6908530077,984159323,49034,2483,41,33
131072,65536,"tt",7199972413,329914265,329055051,7124598984,347775733,314145587
65536,20480,"nt",7322511554,2560,1363,8142747656,558165163,292501433
8192,8192,"tt",5676081697,751215885,15581232,9224218292,751222409,190782038
32768,2048,"nt",8373023793,251,36,7330426221,1041183413,47711
24576,14336,"nt",10877411148,1868,790,3011967060,333252171,49486546
65536,6144,"nt",7206790105,628,300,6936338311,983419786,1153895
12288,4096,"nn",8169443976,128,43,21306554461,252,19
32768,2048,"nn",8472966381,259,56,21840824322,168,22
12288,8192,"tt",6802387388,390062389,224692350,5453619296,751214750,13274924
524288,16,"tn",6700072532,285784931,282872858,5926,40,36
65536,6144,"nn",7283925002,407,243,20519394923,304,31
16384,16384,"nt",7522846777,1587,828,3712970688,362474446,82480877
24576,2048,"nt",10883578174,268,72,7301435486,1037210340,45346
16384,14336,"nn",7579885555,162,25,7019477860,523,31
262144,6144,"tt",7412456196,315204975,313045368,6927679445,983317053,269980
262144,131072,"tn",6987745724,315203554,306330889,6979394107,17206,5120
32768,16384,"tn",8070826484,404511797,365535505,7685913785,808,228
524288,20480,"tn",6315144493,285784576,282231636,11697829552,4152,2528
65536,16,"tn",7206488489,347774938,329144394,2515,36,31
524288,4096,"nn",5986244579,158789,1043,21268515421,197,10
65536,2048,"nt",7207227959,456,203,7166960402,1018069670,48929
32768,20480,"nn",8463261002,262,91,11725000785,811,88
262144,16,"tt",7262362795,315203725,309150201,10694,42,30
24576,12288,"nt",10866643337,1706,674,3120733557,390052125,31465004
262144,12288,"nt",6520500567,7867,4667,3114138436,390052871,30995143
524288,524288,"tn",6749871848,285784182,281488893,6032125581,164815,55881
32768,6144,"nt",8370550315,329,44,6926687262,983396487,254753
6144,6144,"nt",20284771418,163,15,6928552071,983397887,433302
8192,4096,"nn",15734341814,153,55,21435599473,200,10
32768,2048,"nt",8372710171,284,31,7247628176,1029610828,47946
262144,6144,"tt",7447560873,315204775,313462510,6928754124,983299480,266027
16384,12288,"nt",7492759321,1092,661,3101170969,390052413,29934320
