"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
131072,24576,"nn",8481878676,1277,43,13593224844,917,13
262144,131072,"tn",6103394401,315200392,306583954,8536655316,12991,1520
524288,262144,"nn",7362053433,131738,437,11118831221,14801,10740
14336,2048,"tn",2607179711,333248392,36726029,27807171635,525,230
14336,8192,"nn",8574331182,90,19,19409045286,346,9
32768,16384,"tn",7061009043,404497144,327684037,9387129481,993,192
65536,16384,"nt",8963647592,1026,367,3221355930,362469184,60287462
131072,2048,"tn",6276143321,329910178,310011637,37056698955,732,349
20480,16,"nn",14361734245,118,13,2009,36,21
524288,24576,"nn",7348566748,118943,76,13594076790,915,6
2048,2048,"nt",27721720987,329,263,6430660601,1030555483,45849
524288,8192,"tn",5762474739,285781572,282311293,26472780452,5896,758
524288,8192,"tn",5701436513,285780772,281700724,19434317890,4250,522
16384,6144,"nn",9330804097,117,56,25998502083,355,76
4096,2048,"nt",27048274743,656,566,6330374383,1014686472,49876
6144,4096,"nn",25883893381,99,16,27020200572,208,4
32768,4096,"nn",10410148071,195,18,27088847866,198,4
4096,16,"nt",27043504538,84,4,1868,38,3
14336,4096,"tn",2486871964,333247686,28929190,27131514316,469,106
20480,16,"nn",14361610169,105,3,1996,39,18
524288,20480,"tn",5698263973,285781424,281810047,14427585729,6082,377
262144,20480,"nn",8115869261,5386,121,19634704957,817,715
524288,6144,"nn",7355279589,139414,153,26057559905,273,23
262144,4096,"nt",8115255815,6911,2071,6369037144,1020136578,119032
524288,262144,"tt",7032332548,285896504,281678964,8407429023,311044691,295963740
65536,32768,"tt",6796641548,347771322,346054439,7183765045,404496676,322429078
24576,16,"tt",8484751292,526764041,360109333,2127,43,23
65536,65536,"tn",6398028341,347769429,311081654,12320040920,6178,3672
24576,16,"tn",7925149357,526762824,320810298,2213,38,16
262144,12288,"tt",6637238640,315202954,309130015,2779273626,390049927,11852964
65536,14336,"tt",6516185923,347771759,325454251,2538647157,333250679,21647950
4096,4096,"nt",27054430632,132,31,6319755553,1020201592,118256
131072,20480,"nn",8482184127,1179,70,14403777588,738,20
20480,14336,"tt",8250500506,558153599,262921986,2984776157,333250715,55619208
12288,16,"tn",8185450138,390050356,15856650,2910,36,23
32768,16384,"nn",10401457206,114,5,9357152273,585,31
20480,16,"tn",7821476397,558151178,166035733,1827,34,4
8192,2048,"nn",19354758833,106,30,27731456675,136,5
262144,12288,"nn",8104203192,4959,124,10072925260,456,10
8192,16,"nn",19350954292,100,9,1805,40,4
12288,12288,"nn",11038168361,97,2,10046780912,453,6
