"sizea","sizeb","temp","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
20480,20480,"tt",7023987431,558154290,251887456,9726113135,558155639,380362786
16384,24576,"tt",3283705369,362471268,73890380,7950774334,526767148,317650046
12288,262144,"tt",2887609145,390049051,25428168,6673861142,315202503,308826007
14336,16384,"tt",4359608048,333259632,23604812,6287530515,362212761,46686831
16384,262144,"tt",3307295958,362471550,72974063,6609446538,315203907,311067685
12288,65536,"tt",2749402869,390051534,23801986,6488981603,347773189,314282119
16384,4096,"tt",4356050168,362474990,132842043,6325353668,1020208942,144501
20480,16,"tt",6776006637,558152915,140111927,2644,27,16
14336,8192,"tt",4588886683,333254025,179823423,4786584927,751210638,5262797
20480,2048,"tt",6779021819,558157154,222281865,6419056639,1035255019,54487
20480,8192,"tt",7993604710,558166187,276626874,4747733143,751218643,5506341
20480,14336,"tt",7090307578,558161206,174980177,3540073369,333024470,33862778
12288,14336,"tt",2722245277,390050839,24029615,6401224059,333253468,135044042
14336,131072,"tt",2653356817,333249817,39857639,6371819248,329911644,314837938
14336,2048,"tt",7222227223,333252907,27035406,6473200194,1021786641,324463
16384,65536,"tt",3282747211,362470637,73100085,6602875954,347770693,323999661
16384,16,"tt",7639085728,362471206,45110340,5367,29,21
12288,2048,"tt",8182173921,390050637,33742746,6447635962,1041589835,50759
20480,131072,"tt",7032548437,558152860,248196116,6636324925,329913648,329642901
14336,65536,"tt",2637276779,333249374,40522654,6550896813,347769862,319808021
20480,524288,"tt",6605877704,558153048,217780156,5933341308,285785552,285736300
12288,12288,"tt",2819030438,390050935,30627527,6066853916,390054427,128324881
20480,6144,"tt",7830687320,558163334,294714383,6125167964,983385932,972174
14336,16,"tt",7270643449,333250207,25588067,4909,33,23
12288,8192,"tt",5158465944,390051091,170559761,4789844369,751206296,6953412
12288,16384,"tt",2737568150,390050298,24864612,6944190058,362474248,152664372
12288,20480,"tt",2727862573,390049634,24221090,8444901425,558155101,233357532
14336,6144,"tt",4163900051,333251101,139355773,6152600282,983380592,518339
16384,12288,"tt",6921968695,362476745,157249473,2845099733,390054318,27959877
14336,32768,"tt",2818705976,333266208,27478173,9191023341,403979916,257202318
16384,14336,"tt",7070570833,362475924,157565946,2721543920,333253094,42616313
16384,6144,"tt",7244524579,362475552,47634904,6525714878,983168908,673253
20480,32768,"tt",6809377118,558152595,236515333,7869469126,404499696,388811717
16384,8192,"tt",5624468689,362475199,202844633,4730612166,751210531,4654203
20480,262144,"tt",7131528576,558154892,252012156,6389266280,315203364,315109907
16384,32768,"tt",3301983540,362470873,74958956,7210159796,404499032,340748185
20480,12288,"tt",7614898123,558157334,238493706,2838771783,390054338,25447475
20480,4096,"tt",7374686208,558153232,268301599,6331897357,1020204090,130261
20480,24576,"tt",6866602525,558155345,240367074,9220134928,526767505,420858854
12288,524288,"tt",2867740244,390049672,23879077,6175857435,285784206,283262101
12288,32768,"tt",2748096572,390050819,24775459,6855390663,404499280,312688061
14336,262144,"tt",2545547888,333286817,25836971,10024365659,311019202,298223552
12288,131072,"tt",2794719965,390049169,24128360,6380760790,329911731,314338974
20480,16384,"tt",6119286155,558160407,153148840,4949890664,362214833,52742205
16384,131072,"tt",3340773547,362470904,76705580,6418786899,329912959,319628513
14336,4096,"tt",4039942933,333251865,96372552,6324230850,1020204732,142686
16384,20480,"tt",3314547911,362471793,75771156,8873971797,558156092,262934668
14336,14336,"tt",2777971046,333250890,51082739,6603193606,333254348,140544880
12288,4096,"tt",5382908569,390051761,80941526,6327383629,1020204231,142337
14336,524288,"tt",2697121819,333249840,41884840,6466092981,285783969,283505557
12288,16,"tt",7305248366,390051449,15131656,4981,27,20
14336,12288,"tt",6664943798,333256696,141106257,2790871422,390053703,24016765
12288,6144,"tt",7625397862,390055574,18387438,6126713964,983195202,386523
14336,20480,"tt",3501684396,333260650,31321226,9150562890,557829725,156056395
20480,65536,"tt",6833302697,558152760,238380830,6944153415,347770836,346640099
16384,524288,"tt",3371887915,362470344,76331875,6151879304,285783880,284516955
16384,2048,"tt",4437730512,362470167,94537247,6375225535,1029359559,59872
12288,24576,"tt",2756587222,390050109,26569631,7695387417,526765206,308678270
16384,16384,"tt",4352096608,362471830,149335547,6822763954,362472841,215763872
14336,24576,"tt",2636552214,333249709,41179623,7689410493,526767969,305011183
20480,65536,"tt",6426022847,558153857,210007484,6890929655,347770910,344862648
16384,8192,"tt",5553411966,362484640,203858630,4810349874,751219921,9751462
16384,6144,"tt",4808303280,362478667,180055361,6265053091,983495785,1271269
12288,4096,"tt",5821296158,390050786,79497419,6331617287,1020203621,143218
12288,8192,"tt",5096862603,390053775,169884008,4757839641,751209605,5371037
12288,6144,"tt",4704545219,390050259,128666110,6115980211,983982214,309237
16384,16,"tt",7519537783,362471894,47818361,5026,38,22
16384,262144,"tt",3463113102,362470577,84358283,6237130791,315203513,311321381
14336,32768,"tt",2629555237,333250393,40594891,6905080424,404499954,318157356
16384,14336,"tt",5093062338,362478641,48197940,4454935017,333023266,26302874
20480,16,"tt",6522118662,558149836,149145726,3136,39,36
14336,2048,"tt",5404071467,333250875,59177376,6420026153,1036487375,55489
16384,32768,"tt",3958310954,362486671,50534427,9089162082,403975862,254826359
14336,24576,"tt",2635613920,333249394,41522126,7687252255,526765872,288357352
14336,14336,"tt",5157879743,333257942,27097785,5288490220,333025614,26359024
20480,6144,"tt",7809662973,558161439,294171559,6115834148,983615463,641605
12288,262144,"tt",2869529841,390049099,25004859,6680690138,315202347,310751942
14336,262144,"tt",2708543492,333249651,41935182,6605003128,315203533,309032334
16384,20480,"tt",3363533808,362471597,78944181,8844021386,558155845,271658425
