"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1","96",1,"96.1","8","8","tt",".1"
"2","99",2,"99.1","7","9","tt",".1"
"8","113",8,"113.1","5","13","tt",".1"
"10","90",10,"90.1","6","7","tt",".1"
"11","115",11,"115.1","7","13","tt",".1"
"16","105",16,"105.1","5","11","tt",".1"
"18","71",18,"71.1","7","2","tt",".1"
"22","64",22,"64.1","8","0","tt",".1"
"24","78",24,"78.1","6","4","tt",".1"
"25","68",25,"68.1","8","1","tt",".1"
"26","80",26,"80.1","8","4","tt",".1"
"27","88",27,"88.1","8","6","tt",".1"
"31","85",31,"85.1","5","6","tt",".1"
"32","110",32,"110.1","6","12","tt",".1"
"34","66",34,"66.1","6","1","tt",".1"
"35","107",35,"107.1","7","11","tt",".1"
"36","63",36,"63.1","7","0","tt",".1"
"38","65",38,"65.1","5","1","tt",".1"
"39","112",39,"112.1","8","12","tt",".1"
"40","106",40,"106.1","6","11","tt",".1"
"42","120",42,"120.1","8","14","tt",".1"
"44","81",44,"81.1","5","5","tt",".1"
"46","76",46,"76.1","8","3","tt",".1"
"49","62",49,"62.1","6","0","tt",".1"
"54","77",54,"77.1","5","4","tt",".1"
"55","89",55,"89.1","5","7","tt",".1"
"56","93",56,"93.1","5","8","tt",".1"
"58","74",58,"74.1","6","3","tt",".1"
"59","83",59,"83.1","7","5","tt",".1"
"61","102",61,"102.1","6","10","tt",".1"
"65","87",65,"87.1","7","6","tt",".1"
"67","75",67,"75.1","7","3","tt",".1"
"70","104",70,"104.1","8","10","tt",".1"
"71","79",71,"79.1","7","4","tt",".1"
"73","116",73,"116.1","8","13","tt",".1"
"74","103",74,"103.1","7","10","tt",".1"
"76","84",76,"84.1","8","5","tt",".1"
"77","72",77,"72.1","8","2","tt",".1"
"78","100",78,"100.1","8","9","tt",".1"
"80","117",80,"117.1","5","14","tt",".1"
"83","101",83,"101.1","5","10","tt",".1"
"87","114",87,"114.1","6","13","tt",".1"
"88","109",88,"109.1","5","12","tt",".1"
"89","92",89,"92.1","8","7","tt",".1"
"90","111",90,"111.1","7","12","tt",".1"
"91","70",91,"70.1","6","2","tt",".1"
"92","95",92,"95.1","7","8","tt",".1"
"96","86",96,"86.1","6","6","tt",".1"
"97","69",97,"69.1","5","2","tt",".1"
"98","118",98,"118.1","6","14","tt",".1"
"99","61",99,"61.1","5","0","tt",".1"
"102","82",102,"82.1","6","5","tt",".1"
"107","73",107,"73.1","5","3","tt",".1"
"108","94",108,"94.1","6","8","tt",".1"
"109","108",109,"108.1","8","11","tt",".1"
"110","119",110,"119.1","7","14","tt",".1"
"113","67",113,"67.1","7","1","tt",".1"
"116","97",116,"97.1","5","9","tt",".1"
"117","91",117,"91.1","7","7","tt",".1"
"120","98",120,"98.1","6","9","tt",".1"
"122","108",122,"108.2","8","11","tt",".2"
"124","79",124,"79.2","7","4","tt",".2"
"129","75",129,"75.2","7","3","tt",".2"
"130","69",130,"69.2","5","2","tt",".2"
"133","77",133,"77.2","5","4","tt",".2"
"134","73",134,"73.2","5","3","tt",".2"
"138","63",138,"63.2","7","0","tt",".2"
"139","115",139,"115.2","7","13","tt",".2"
"142","102",142,"102.2","6","10","tt",".2"
"144","87",144,"87.2","7","6","tt",".2"
"145","64",145,"64.2","8","0","tt",".2"
"146","66",146,"66.2","6","1","tt",".2"
"148","103",148,"103.2","7","10","tt",".2"
"150","98",150,"98.2","6","9","tt",".2"
"152","86",152,"86.2","6","6","tt",".2"
"153","76",153,"76.2","8","3","tt",".2"
"156","113",156,"113.2","5","13","tt",".2"
"164","114",164,"114.2","6","13","tt",".2"
"167","95",167,"95.2","7","8","tt",".2"
"169","107",169,"107.2","7","11","tt",".2"
"171","110",171,"110.2","6","12","tt",".2"
"172","70",172,"70.2","6","2","tt",".2"
"173","109",173,"109.2","5","12","tt",".2"
"174","62",174,"62.2","6","0","tt",".2"
"176","89",176,"89.2","5","7","tt",".2"
