"name","run.no.in.std.order","run.no","run.no.std.rp","size","temp","mem","shuff","Blocks"
"1","96",1,"96.1","5","n","wc","shuffle",".1"
"2","99",2,"99.1","8","n","wc","shuffle",".1"
"3","19",3,"19.1","8","t","wb","seq",".1"
"4","42",4,"42.1","1","t","wc","seq",".1"
"5","46",5,"46.1","5","t","wc","seq",".1"
"6","3",6,"3.1","2","n","wb","seq",".1"
"7","47",7,"47.1","6","t","wc","seq",".1"
"8","113",8,"113.1","2","e","wc","shuffle",".1"
"9","53",9,"53.1","2","e","wc","seq",".1"
"10","90",10,"90.1","9","e","wb","shuffle",".1"
"11","115",11,"115.1","4","e","wc","shuffle",".1"
"12","50",12,"50.1","9","t","wc","seq",".1"
"13","48",13,"48.1","7","t","wc","seq",".1"
"14","34",14,"34.1","3","n","wc","seq",".1"
"15","60",15,"60.1","9","e","wc","seq",".1"
"16","105",16,"105.1","4","t","wc","shuffle",".1"
"17","39",17,"39.1","8","n","wc","seq",".1"
"18","71",18,"71.1","0","t","wb","shuffle",".1"
"19","49",19,"49.1","8","t","wc","seq",".1"
"20","29",20,"29.1","8","e","wb","seq",".1"
"21","30",21,"30.1","9","e","wb","seq",".1"
"22","64",22,"64.1","3","n","wb","shuffle",".1"
"23","18",23,"18.1","7","t","wb","seq",".1"
"24","78",24,"78.1","7","t","wb","shuffle",".1"
"25","68",25,"68.1","7","n","wb","shuffle",".1"
"26","80",26,"80.1","9","t","wb","shuffle",".1"
"27","88",27,"88.1","7","e","wb","shuffle",".1"
"28","26",28,"26.1","5","e","wb","seq",".1"
"29","21",29,"21.1","0","e","wb","seq",".1"
"30","4",30,"4.1","3","n","wb","seq",".1"
"31","85",31,"85.1","4","e","wb","shuffle",".1"
"32","110",32,"110.1","9","t","wc","shuffle",".1"
"33","51",33,"51.1","0","e","wc","seq",".1"
"34","66",34,"66.1","5","n","wb","shuffle",".1"
"35","107",35,"107.1","6","t","wc","shuffle",".1"
"36","63",36,"63.1","2","n","wb","shuffle",".1"
"37","20",37,"20.1","9","t","wb","seq",".1"
"38","65",38,"65.1","4","n","wb","shuffle",".1"
"39","112",39,"112.1","1","e","wc","shuffle",".1"
"40","106",40,"106.1","5","t","wc","shuffle",".1"
"41","6",41,"6.1","5","n","wb","seq",".1"
"42","120",42,"120.1","9","e","wc","shuffle",".1"
"43","44",43,"44.1","3","t","wc","seq",".1"
"44","81",44,"81.1","0","e","wb","shuffle",".1"
"45","31",45,"31.1","0","n","wc","seq",".1"
"46","76",46,"76.1","5","t","wb","shuffle",".1"
"47","40",47,"40.1","9","n","wc","seq",".1"
"48","15",48,"15.1","4","t","wb","seq",".1"
"49","62",49,"62.1","1","n","wb","shuffle",".1"
"50","37",50,"37.1","6","n","wc","seq",".1"
"51","11",51,"11.1","0","t","wb","seq",".1"
"52","10",52,"10.1","9","n","wb","seq",".1"
"53","36",53,"36.1","5","n","wc","seq",".1"
"54","77",54,"77.1","6","t","wb","shuffle",".1"
"55","89",55,"89.1","8","e","wb","shuffle",".1"
"56","93",56,"93.1","2","n","wc","shuffle",".1"
"57","38",57,"38.1","7","n","wc","seq",".1"
"58","74",58,"74.1","3","t","wb","shuffle",".1"
"59","83",59,"83.1","2","e","wb","shuffle",".1"
"60","12",60,"12.1","1","t","wb","seq",".1"
"61","102",61,"102.1","1","t","wc","shuffle",".1"
"62","5",62,"5.1","4","n","wb","seq",".1"
"63","8",63,"8.1","7","n","wb","seq",".1"
"64","43",64,"43.1","2","t","wc","seq",".1"
