"size","reps","mem","temp","shuff","cyc","l3r","l3m"
8192,32,wc,n,shuffle,1152111113,707,108
32768,8,wc,n,shuffle,1171116990,1510,90
32768,8,wb,t,seq,866801583,4205716,3719178
1024,256,wc,t,seq,1005448323,408,63
8192,32,wc,t,seq,1003564264,699,52
2048,128,wb,n,seq,235821723,4193201,79307
12288,21,wc,t,seq,987345349,929,95
2048,128,wc,e,shuffle,1177949102,488,82
2048,128,wc,e,seq,1005357428,380,64
262144,1,wb,e,shuffle,1291129902,7446614,4195888
6144,42,wc,e,shuffle,1177035996,710,96
262144,1,wc,t,seq,1002099535,8755,1916
16384,16,wc,t,seq,1002452359,1059,119
4096,64,wc,n,seq,1044661551,631,72
262144,1,wc,e,seq,1002188481,8690,3735
6144,42,wc,t,shuffle,1176070753,646,110
32768,8,wc,n,seq,1043404823,1754,273
512,512,wb,t,shuffle,242736282,3964879,24392
32768,8,wc,t,seq,1002069633,1456,370
32768,8,wb,e,seq,840747246,4205596,3527088
262144,1,wb,e,seq,942720488,4205341,4203570
4096,64,wb,n,shuffle,290807448,4197242,167269
16384,16,wb,t,seq,764198319,4205320,3106350
16384,16,wb,t,shuffle,881624657,4305675,2797307
16384,16,wb,n,shuffle,870712450,4245523,2751444
262144,1,wb,t,shuffle,1291543082,7453582,4195913
16384,16,wb,e,shuffle,1162604328,4297058,4167661
8192,32,wb,e,seq,377245067,4205433,860639
512,512,wb,e,seq,228257110,4190940,30058
4096,64,wb,n,seq,239720317,4197294,101428
6144,42,wb,e,shuffle,468505814,4148899,955729
262144,1,wc,t,shuffle,1316223336,2120899,104
512,512,wc,e,seq,1002402973,343,98
8192,32,wb,n,shuffle,652755048,4210693,1781816
12288,21,wc,t,shuffle,1186245355,784,92
2048,128,wb,n,shuffle,270171733,4194164,79246
262144,1,wb,t,seq,943336991,4205557,4203918
6144,42,wb,n,shuffle,527724007,4141294,1241197
1024,256,wc,e,shuffle,1169145215,416,90
8192,32,wc,t,shuffle,1203040863,729,71
8192,32,wb,n,seq,429849566,4203967,1175912
262144,1,wc,e,shuffle,1315954556,2123791,108
4096,64,wc,t,seq,1004373170,679,108
512,512,wb,e,shuffle,243619620,3964290,28784
512,512,wc,n,seq,1045138318,389,46
8192,32,wb,t,shuffle,657383661,4221633,1801167
262144,1,wc,n,seq,1043313532,8697,3683
6144,42,wb,t,seq,364681069,4138353,840035
1024,256,wb,n,shuffle,251827837,4194322,10455
12288,21,wc,n,seq,1027586540,1004,84
512,512,wb,t,seq,227781647,4186496,30163
262144,1,wb,n,seq,941642832,4205142,4204013
8192,32,wc,n,seq,1044175759,750,123
12288,21,wb,t,shuffle,779235056,4149767,2364895
32768,8,wb,e,shuffle,1185108275,4621250,4191029
2048,128,wc,n,shuffle,1126316586,404,82
16384,16,wc,n,seq,1043710782,865,136
4096,64,wb,t,shuffle,299289543,4200237,207370
2048,128,wb,e,shuffle,257810709,4194396,18505
1024,256,wb,t,seq,241432001,4192797,102628
