"size","reps","mem","temp","shuff","cyc","l3r","l3m"
12288,85,wc,n,shuffle,29823150905,438,46
262144,4,wc,n,shuffle,30316178511,10165,3178
262144,4,wb,t,seq,18355925459,16811227,16275400
1024,1024,wc,t,seq,19386862985,188,36
12288,85,wc,t,seq,19311791134,192,26
2048,512,wb,n,seq,1019416032,16641133,33863
16384,64,wc,t,seq,19365075221,224,35
2048,512,wc,e,shuffle,29988730218,183,4
2048,512,wc,e,seq,19366485875,202,15
1048576,1,wb,e,shuffle,30265502791,29796203,16782691
8192,128,wc,e,shuffle,30120437469,244,50
1048576,1,wc,t,seq,19334028151,33467,17978
32768,32,wc,t,seq,19373204961,512,45
4096,256,wc,n,seq,19375124836,149,20
1048576,1,wc,e,seq,19357898350,33430,13198
8192,128,wc,t,shuffle,30034560145,530,55
262144,4,wc,n,seq,19364570582,15355,677
512,2048,wb,t,shuffle,327957010,9382,8289
262144,4,wc,t,seq,19374100966,18620,996
262144,4,wb,e,seq,18416369791,16811617,16323114
1048576,1,wb,e,seq,18759927809,16811570,16787829
4096,256,wb,n,shuffle,1255196918,16778503,69096
32768,32,wb,t,seq,11883053916,16811370,9985967
32768,32,wb,t,shuffle,15145173846,16780232,9811371
32768,32,wb,n,shuffle,15777305721,16780636,9805468
1048576,1,wb,t,shuffle,30020397183,29772659,16781758
32768,32,wb,e,shuffle,16178541270,16780936,9906000
12288,85,wb,e,seq,2142073464,16745734,863784
512,2048,wb,e,seq,308657364,9884,8313
4096,256,wb,n,seq,1061299807,16778402,68235
8192,128,wb,e,shuffle,1550085252,16778953,180802
1048576,1,wc,t,shuffle,30764586758,8898564,114
512,2048,wc,e,seq,19370072790,178,23
12288,85,wb,n,shuffle,2762438108,16714480,873751
16384,64,wc,t,shuffle,30069623185,223,36
2048,512,wb,n,shuffle,1158128049,16057762,33846
1048576,1,wb,t,seq,18742688384,16811405,16787616
8192,128,wb,n,shuffle,1572740688,16778865,185634
1024,1024,wc,e,shuffle,29822284818,218,53
12288,85,wc,t,shuffle,29851258265,247,20
12288,85,wb,n,seq,2206105835,16745662,911038
1048576,1,wc,e,shuffle,30875620673,8897752,126
4096,256,wc,t,seq,19367594699,218,55
512,2048,wb,e,shuffle,393579260,9290,8234
512,2048,wc,n,seq,19375509068,191,19
